funding_time,date,funding_rate,mark_price
1574841600000,2019-11-27 08:00:00,0.00010000,
1574870400000,2019-11-27 16:00:00,0.00010000,
1574899200000,2019-11-28 00:00:00,0.00010000,
1574928000000,2019-11-28 08:00:00,0.00001401,
1574956800000,2019-11-28 16:00:00,-0.00010610,
1574985600000,2019-11-29 00:00:00,-0.00022765,
1575014400000,2019-11-29 08:00:00,-0.00020527,
1575043200000,2019-11-29 16:00:00,-0.00008117,
1575072000000,2019-11-30 00:00:00,0.00000127,
1575100800000,2019-11-30 08:00:00,-0.00003953,
1575129600000,2019-11-30 16:00:00,0.00010000,
1575158400000,2019-12-01 00:00:00,0.00010000,
1575187200000,2019-12-01 08:00:00,0.00010000,
1575216000000,2019-12-01 16:00:00,0.00010000,
1575244800000,2019-12-02 00:00:00,0.00010000,
1575273600000,2019-12-02 08:00:00,0.00010000,
1575302400000,2019-12-02 16:00:00,0.00010000,
1575331200000,2019-12-03 00:00:00,0.00010000,
1575360000000,2019-12-03 08:00:00,0.00010000,
1575388800000,2019-12-03 16:00:00,0.00010000,
1575417600000,2019-12-04 00:00:00,0.00010000,
1575446400000,2019-12-04 08:00:00,0.00010000,
1575475200000,2019-12-04 16:00:00,0.00010000,
1575504000000,2019-12-05 00:00:00,0.00001618,
1575532800001,2019-12-05 08:00:00,0.00010000,
1575561600000,2019-12-05 16:00:00,0.00010000,
1575590400000,2019-12-06 00:00:00,0.00010000,
1575619200000,2019-12-06 08:00:00,0.00008067,
1575648000000,2019-12-06 16:00:00,0.00010000,
1575676800000,2019-12-07 00:00:00,0.00010000,
1575705600001,2019-12-07 08:00:00,0.00010000,
1575734400000,2019-12-07 16:00:00,0.00010000,
1575763200000,2019-12-08 00:00:00,0.00010000,
1575792000000,2019-12-08 08:00:00,0.00010000,
1575820800000,2019-12-08 16:00:00,0.00003335,
1575849600000,2019-12-09 00:00:00,0.00010000,
1575878400000,2019-12-09 08:00:00,0.00010000,
1575907200000,2019-12-09 16:00:00,0.00010000,
1575936000000,2019-12-10 00:00:00,0.00010000,
1575964800001,2019-12-10 08:00:00,0.00010000,
1575993600000,2019-12-10 16:00:00,0.00010000,
1576022400000,2019-12-11 00:00:00,0.00010000,
1576051200000,2019-12-11 08:00:00,0.00010000,
1576080000000,2019-12-11 16:00:00,0.00010000,
1576108800000,2019-12-12 00:00:00,0.00010000,
