funding_time,date,funding_rate,mark_price
1578297600000,2020-01-06 08:00:00,0.00010000,
1578326400000,2020-01-06 16:00:00,0.00487889,
1578355200000,2020-01-07 00:00:00,0.00180851,
1578384000001,2020-01-07 08:00:00,0.00075005,
1578412800000,2020-01-07 16:00:00,0.00022266,
1578441600000,2020-01-08 00:00:00,0.00010000,
1578470400000,2020-01-08 08:00:00,0.00139017,
1578499200001,2020-01-08 16:00:00,0.00065731,
1578528000000,2020-01-09 00:00:00,0.00010000,
1578556800000,2020-01-09 08:00:00,0.00010000,
1578585600000,2020-01-09 16:00:00,0.00010000,
1578614400000,2020-01-10 00:00:00,0.00010000,
1578643200000,2020-01-10 08:00:00,0.00010000,
1578672000000,2020-01-10 16:00:00,0.00010000,
1578700800000,2020-01-11 00:00:00,0.00010000,
1578729600000,2020-01-11 08:00:00,0.00010000,
1578758400000,2020-01-11 16:00:00,0.00010000,
1578787200000,2020-01-12 00:00:00,0.00010000,
1578816000000,2020-01-12 08:00:00,0.00010000,
1578844800000,2020-01-12 16:00:00,0.00010000,
1578873600001,2020-01-13 00:00:00,0.00022677,
1578902400000,2020-01-13 08:00:00,0.00010000,
1578931200000,2020-01-13 16:00:00,0.00010000,
1578960000000,2020-01-14 00:00:00,0.00023193,
1578988800000,2020-01-14 08:00:00,0.00010000,
1579017600001,2020-01-14 16:00:00,0.00058179,
1579046400000,2020-01-15 00:00:00,0.00275417,
1579075200000,2020-01-15 08:00:00,0.00181173,
1579104000000,2020-01-15 16:00:00,0.00180187,
1579132800000,2020-01-16 00:00:00,0.00109311,
1579161600000,2020-01-16 08:00:00,0.00010000,
1579190400000,2020-01-16 16:00:00,0.00010000,
1579219200000,2020-01-17 00:00:00,0.00010000,
1579248000000,2020-01-17 08:00:00,0.00010000,
1579276800000,2020-01-17 16:00:00,0.00010000,
1579305600001,2020-01-18 00:00:00,0.00010000,
1579334400001,2020-01-18 08:00:00,0.00010000,
1579363200000,2020-01-18 16:00:00,0.00033018,
1579392000000,2020-01-19 00:00:00,0.00185072,
1579420800000,2020-01-19 08:00:00,0.00164121,
1579449600000,2020-01-19 16:00:00,0.00087585,
1579478400000,2020-01-20 00:00:00,0.00049196,
1579507200000,2020-01-20 08:00:00,0.00010000,
1579536000000,2020-01-20 16:00:00,0.00010000,
1579564800000,2020-01-21 00:00:00,0.00010000,
1579593600000,2020-01-21 08:00:00,0.00010000,
1579622400000,2020-01-21 16:00:00,0.00034253,
1579651200000,2020-01-22 00:00:00,0.00017282,
1579680000001,2020-01-22 08:00:00,0.00013911,
1579708800000,2020-01-22 16:00:00,0.00010000,
1579737600000,2020-01-23 00:00:00,0.00042104,
1579766400000,2020-01-23 08:00:00,0.00029574,
1579795200000,2020-01-23 16:00:00,0.00010000,
1579824000000,2020-01-24 00:00:00,0.00010000,
1579852800000,2020-01-24 08:00:00,0.00010000,
1579881600001,2020-01-24 16:00:00,0.00010000,
1579910400000,2020-01-25 00:00:00,0.00010000,
1579939200000,2020-01-25 08:00:00,0.00010000,
1579968000001,2020-01-25 16:00:00,0.00010000,
1579996800000,2020-01-26 00:00:00,0.00010000,
1580025600000,2020-01-26 08:00:00,0.00010000,
1580054400000,2020-01-26 16:00:00,0.00010000,
1580083200000,2020-01-27 00:00:00,0.00010000,
1580112000001,2020-01-27 08:00:00,0.00010000,
1580140800000,2020-01-27 16:00:00,0.00010000,
1580169600000,2020-01-28 00:00:00,0.00010000,
1580198400000,2020-01-28 08:00:00,0.00025437,
1580227200000,2020-01-28 16:00:00,0.00029490,
1580256000001,2020-01-29 00:00:00,0.00111354,
1580284800000,2020-01-29 08:00:00,0.00108821,
1580313600002,2020-01-29 16:00:00,0.00129547,
1580342400000,2020-01-30 00:00:00,0.00104493,
1580371200000,2020-01-30 08:00:00,0.00084960,
1580400000000,2020-01-30 16:00:00,0.00094568,
1580428800000,2020-01-31 00:00:00,0.00163247,
1580457600000,2020-01-31 08:00:00,0.00139455,
1580486400000,2020-01-31 16:00:00,0.00065705,
1580515200000,2020-02-01 00:00:00,0.00011588,
1580544000000,2020-02-01 08:00:00,0.00021319,
1580572800000,2020-02-01 16:00:00,0.00034136,
1580601600000,2020-02-02 00:00:00,0.00073987,
1580630400000,2020-02-02 08:00:00,0.00052875,
1580659200000,2020-02-02 16:00:00,0.00070499,
1580688000000,2020-02-03 00:00:00,0.00076429,
1580716800000,2020-02-03 08:00:00,0.00060280,
1580745600000,2020-02-03 16:00:00,0.00068694,
1580774400000,2020-02-04 00:00:00,0.00097581,
1580803200001,2020-02-04 08:00:00,0.00065478,
1580832000000,2020-02-04 16:00:00,0.00087324,
1580860800002,2020-02-05 00:00:00,0.00084913,
1580889600000,2020-02-05 08:00:00,0.00015617,
1580918400000,2020-02-05 16:00:00,0.00055073,
1580947200000,2020-02-06 00:00:00,0.00154527,
1580976000000,2020-02-06 08:00:00,0.00185237,
1581004800000,2020-02-06 16:00:00,0.00129262,
1581033600000,2020-02-07 00:00:00,0.00121796,
1581062400000,2020-02-07 08:00:00,0.00107989,
1581091200001,2020-02-07 16:00:00,0.00194481,
1581120000000,2020-02-08 00:00:00,0.00098417,
1581148800000,2020-02-08 08:00:00,0.00031831,
1581177600000,2020-02-08 16:00:00,0.00068328,
1581206400000,2020-02-09 00:00:00,0.00090964,
1581235200000,2020-02-09 08:00:00,0.00094769,
1581264000000,2020-02-09 16:00:00,0.00123672,
1581292800000,2020-02-10 00:00:00,0.00084757,
1581321600000,2020-02-10 08:00:00,0.00108900,
1581350400009,2020-02-10 16:00:00,0.00073909,
1581379200000,2020-02-11 00:00:00,0.00050019,
1581408000000,2020-02-11 08:00:00,0.00063707,
1581436800000,2020-02-11 16:00:00,0.00069900,
1581465600000,2020-02-12 00:00:00,0.00271290,
1581494400001,2020-02-12 08:00:00,0.00412417,
1581523200000,2020-02-12 16:00:00,0.00225375,
1581552000001,2020-02-13 00:00:00,0.00260997,
1581580800000,2020-02-13 08:00:00,0.00399863,
1581609600000,2020-02-13 16:00:00,0.00071174,
1581638400000,2020-02-14 00:00:00,0.00046998,
1581667200000,2020-02-14 08:00:00,0.00065324,
1581696000000,2020-02-14 16:00:00,0.00123369,
1581724800000,2020-02-15 00:00:00,0.00203384,
1581753600000,2020-02-15 08:00:00,0.00074374,
1581782400000,2020-02-15 16:00:00,0.00092091,
1581811200000,2020-02-16 00:00:00,0.00010000,
1581840000000,2020-02-16 08:00:00,0.00061959,
1581868800000,2020-02-16 16:00:00,0.00013594,
1581897600000,2020-02-17 00:00:00,0.00010000,
1581926400000,2020-02-17 08:00:00,0.00010000,
1581955200000,2020-02-17 16:00:00,0.00027680,
1581984000000,2020-02-18 00:00:00,0.00032492,
1582012800000,2020-02-18 08:00:00,0.00052507,
1582041600000,2020-02-18 16:00:00,0.00047347,
1582070400000,2020-02-19 00:00:00,0.00090213,
1582099200001,2020-02-19 08:00:00,0.00063226,
1582128000000,2020-02-19 16:00:00,0.00068491,
1582156800004,2020-02-20 00:00:00,0.00014727,
1582185600000,2020-02-20 08:00:00,0.00010000,
1582214400000,2020-02-20 16:00:00,0.00010000,
1582243200000,2020-02-21 00:00:00,0.00010000,
1582272000000,2020-02-21 08:00:00,0.00021036,
1582300800000,2020-02-21 16:00:00,0.00020904,
1582329600000,2020-02-22 00:00:00,0.00017202,
1582358400001,2020-02-22 08:00:00,0.00039830,
1582387200000,2020-02-22 16:00:00,0.00036526,
1582416000000,2020-02-23 00:00:00,0.00024281,
1582444800000,2020-02-23 08:00:00,0.00064350,
1582473600000,2020-02-23 16:00:00,0.00064068,
1582502400015,2020-02-24 00:00:00,0.00045487,
1582531200000,2020-02-24 08:00:00,0.00020174,
1582560000000,2020-02-24 16:00:00,0.00010000,
1582588800001,2020-02-25 00:00:00,0.00030932,
1582617600000,2020-02-25 08:00:00,0.00029794,
1582646400001,2020-02-25 16:00:00,0.00011103,
1582675200000,2020-02-26 00:00:00,0.00010000,
1582704000001,2020-02-26 08:00:00,0.00012143,
1582732800000,2020-02-26 16:00:00,0.00010000,
1582761600001,2020-02-27 00:00:00,0.00010000,
