date,open,high,low,close,volume
2025-10-02,0.05,1.28,0.05,0.598,467974635.0
2025-10-03,0.598,0.622,0.50397,0.52205,183111494.0
2025-10-04,0.52228,0.5309,0.47393,0.49652,54817079.0
2025-10-05,0.49673,0.51568,0.48074,0.49129,41924497.0
2025-10-06,0.49135,0.49742,0.47557,0.49564,35582940.0
2025-10-07,0.4957,0.50186,0.43458,0.43709,41637580.0
2025-10-08,0.4371,0.43735,0.38049,0.4142,46436292.0
2025-10-09,0.4142,0.4142,0.35967,0.36209,46539384.0
2025-10-10,0.36206,0.37296,0.15,0.25895,87295823.0
2025-10-11,0.25879,0.28143,0.24622,0.25795,58351894.0
2025-10-12,0.25796,0.26839,0.23768,0.26433,75963763.0
2025-10-13,0.26434,0.289,0.25448,0.2831,130122177.0
2025-10-14,0.28313,0.2946,0.24912,0.28679,299973497.0
2025-10-15,0.28679,0.28998,0.25741,0.2607,1959186542.0
2025-10-16,0.2607,0.2739,0.24241,0.24725,5552340986.0
2025-10-17,0.24723,0.2534,0.22473,0.2294,78119478.0
2025-10-18,0.22941,0.23533,0.22288,0.23244,33280137.0
2025-10-19,0.23243,0.2417,0.22531,0.23661,47386302.0
2025-10-20,0.2366,0.24409,0.22962,0.23788,33161035.0
2025-10-21,0.23784,0.27963,0.22499,0.2583,104771169.0
2025-10-22,0.25828,0.26279,0.22191,0.22853,82353563.0
2025-10-23,0.22853,0.23826,0.22534,0.23396,33087934.0
2025-10-24,0.23396,0.24151,0.22675,0.23639,31708074.0
2025-10-25,0.23639,0.24365,0.22873,0.23884,15213387.0
2025-10-26,0.23885,0.25597,0.23711,0.25145,24538112.0
2025-10-27,0.25147,0.25266,0.22607,0.2291,20445468.0
2025-10-28,0.22913,0.2378,0.22251,0.23103,31290231.0
2025-10-29,0.23102,0.23202,0.216,0.21921,27158431.0
2025-10-30,0.21923,0.22233,0.18546,0.19178,39555737.0
2025-10-31,0.19174,0.19426,0.17685,0.18215,32080678.0
2025-11-01,0.18214,0.18578,0.17807,0.18155,17511343.0
2025-11-02,0.18153,0.18315,0.17094,0.17379,14233047.0
2025-11-03,0.1738,0.1741,0.14888,0.16054,41022819.0
2025-11-04,0.16055,0.16223,0.1501,0.15918,49423829.0
2025-11-05,0.15924,0.18505,0.15056,0.17559,41341761.0
2025-11-06,0.17559,0.17986,0.15688,0.15839,29493277.0
2025-11-07,0.1584,0.18832,0.1561,0.18113,31529829.0
2025-11-08,0.18122,0.20025,0.17524,0.18983,52094335.0
2025-11-09,0.18981,0.20402,0.17946,0.19773,36300972.0
2025-11-10,0.1977,0.21241,0.18867,0.1924,23924311.0
2025-11-11,0.1924,0.19534,0.17468,0.17478,18420490.0
2025-11-12,0.17481,0.18072,0.16597,0.16718,18540613.0
2025-11-13,0.16717,0.17054,0.15292,0.15763,20543743.0
2025-11-14,0.15762,0.16495,0.14775,0.15057,48047281.0
2025-11-15,0.15059,0.16145,0.15022,0.1582,16449075.0
2025-11-16,0.15817,0.16816,0.14277,0.14815,37156545.0
2025-11-17,0.14814,0.15006,0.13653,0.13836,24974043.0
2025-11-18,0.13837,0.15121,0.13495,0.13959,28015202.0
2025-11-19,0.13958,0.14024,0.12204,0.12975,19423881.0
2025-11-20,0.12975,0.13366,0.1184,0.12089,23343650.0
2025-11-21,0.12088,0.23821,0.11045,0.14318,185944885.0
2025-11-22,0.14318,0.15809,0.12487,0.12897,128693868.0
2025-11-23,0.12891,0.1309,0.12126,0.12307,19277862.0
2025-11-24,0.12307,0.12497,0.11717,0.12098,11698152.0
2025-11-25,0.12099,0.13325,0.1162,0.12478,32792231.0
2025-11-26,0.12469,0.14064,0.12308,0.1281,51206358.0
2025-11-27,0.12806,0.13024,0.1192,0.11995,16639897.0
2025-11-28,0.11993,0.12349,0.11368,0.11684,25701171.0
2025-11-29,0.11684,0.11973,0.11225,0.11314,12922565.0
2025-11-30,0.11316,0.11946,0.11025,0.11355,19807621.0
2025-12-01,0.11355,0.11366,0.1012,0.10829,36030736.0
2025-12-02,0.10831,0.12782,0.10475,0.12465,30219540.0
2025-12-03,0.12464,0.15171,0.12074,0.12923,142592858.0
2025-12-04,0.12918,0.13962,0.12524,0.12761,31700776.0
2025-12-05,0.12764,0.13427,0.11932,0.12201,23469389.0
2025-12-06,0.12188,0.13182,0.12076,0.12819,20606829.0
2025-12-07,0.12818,0.14865,0.11978,0.13937,73436003.0
2025-12-08,0.13934,0.14666,0.13009,0.13284,48316064.0
2025-12-09,0.13302,0.13638,0.1283,0.13386,13246396.0
2025-12-10,0.13384,0.13639,0.1284,0.12941,8381198.0
2025-12-11,0.12937,0.12943,0.12219,0.12591,13570959.0
2025-12-12,0.12592,0.12666,0.11801,0.12033,10240596.0
2025-12-13,0.12034,0.12277,0.1199,0.12215,5217101.0
2025-12-14,0.12214,0.12214,0.11139,0.11275,9490592.0
2025-12-15,0.11275,0.1152,0.10698,0.11017,9593573.0
2025-12-16,0.11017,0.11575,0.10642,0.11098,22303284.0
2025-12-17,0.11097,0.11166,0.10397,0.10539,11265209.0
2025-12-18,0.1054,0.10745,0.09999,0.10204,16701768.0
2025-12-19,0.10205,0.11254,0.10129,0.1088,15429286.0
2025-12-20,0.10881,0.11299,0.10865,0.10946,7886762.0
2025-12-21,0.1095,0.11016,0.10562,0.10908,3981998.0
2025-12-22,0.10904,0.11102,0.10704,0.11052,4291766.0
2025-12-23,0.11051,0.11194,0.10588,0.10869,8455630.0
2025-12-24,0.10865,0.11558,0.10625,0.11323,17603592.0
2025-12-25,0.1133,0.12705,0.11158,0.11893,37684973.0
2025-12-26,0.11889,0.12904,0.1131,0.11483,25513764.0
2025-12-27,0.11482,0.1186,0.11298,0.11778,10565434.0
2025-12-28,0.1178,0.12234,0.11428,0.11523,15759435.0
2025-12-29,0.11523,0.12543,0.11448,0.1149,26020009.0
2025-12-30,0.1149,0.13076,0.11149,0.12676,52844932.0
2025-12-31,0.12682,0.12692,0.11826,0.12112,18794910.0
2026-01-01,0.12112,0.12658,0.12028,0.12423,14498414.0
2026-01-02,0.12425,0.12888,0.12341,0.12849,12135141.0
2026-01-03,0.12848,0.13229,0.12563,0.13072,9624027.0
2026-01-04,0.13071,0.13179,0.12665,0.12837,5023082.0
2026-01-05,0.12838,0.13156,0.12193,0.12894,17265468.0
2026-01-06,0.12893,0.12968,0.12062,0.12589,11217244.0
2026-01-07,0.1259,0.12609,0.11493,0.11702,11909141.0
2026-01-08,0.11703,0.11808,0.11382,0.11491,6954067.0
2026-01-09,0.11492,0.11969,0.11458,0.11721,8152343.0
2026-01-10,0.11715,0.11811,0.11469,0.11542,2754713.0
2026-01-11,0.11546,0.11898,0.11458,0.11582,3130189.0
2026-01-12,0.11584,0.11782,0.11318,0.11574,4848911.0
2026-01-13,0.11572,0.12497,0.11548,0.1234,10663939.0
2026-01-14,0.12335,0.13086,0.12281,0.12706,10744517.0
2026-01-15,0.12707,0.13572,0.12279,0.12602,23623914.0
2026-01-16,0.12602,0.14096,0.12235,0.13619,21741522.0
2026-01-17,0.13618,0.13837,0.12872,0.12944,10449260.0
2026-01-18,0.12943,0.14026,0.12629,0.12797,17841213.0
2026-01-19,0.12796,0.12796,0.1168,0.12178,14854709.0
2026-01-20,0.12176,0.12346,0.11577,0.11765,11117626.0
2026-01-21,0.11763,0.12843,0.11735,0.12373,21378665.0
2026-01-22,0.12373,0.12929,0.12339,0.12458,14206841.0
2026-01-23,0.12457,0.14747,0.12437,0.14041,60732297.0
2026-01-24,0.14041,0.15307,0.13773,0.14083,48852834.0
2026-01-25,0.14085,0.14251,0.12116,0.1216,26723084.0
2026-01-26,0.12158,0.13791,0.11247,0.12196,47029709.0
