date,open,high,low,close,volume
2026-01-15,0.812,1.574,0.812,0.9409,32337685.1
2026-01-16,0.9388,0.992,0.7595,0.7786,13148058.3
2026-01-17,0.7795,0.8521,0.7624,0.8207,6700544.0
2026-01-18,0.821,1.3,0.806,1.2264,27389648.7
2026-01-19,1.2248,1.49,1.068,1.1507,24665826.7
2026-01-20,1.151,1.2441,1.0511,1.1346,8882795.2
2026-01-21,1.1348,1.176,0.921,1.1389,9349888.3
2026-01-22,1.1388,1.283,1.0018,1.004,9857933.8
2026-01-23,1.0038,1.0688,0.9289,0.9665,4688592.3
2026-01-24,0.9667,1.0576,0.8901,1.0145,5000914.3
2026-01-25,1.0145,1.0253,0.7876,0.8217,4204601.8
2026-01-26,0.8238,0.873,0.7764,0.8144,2857328.4
2026-01-27,0.8179,0.9476,0.7707,0.9148,4181746.7
2026-01-28,0.9136,1.0583,0.8612,0.9154,10701055.0
2026-01-29,0.9154,0.9355,0.7974,0.8043,3170029.5
2026-01-30,0.8026,0.89,0.7931,0.8457,4024450.9
2026-01-31,0.8452,0.8689,0.7,0.7312,4468135.3
2026-02-01,0.7317,0.989,0.7286,0.8252,10512403.2
2026-02-02,0.8247,0.85,0.768,0.811,3378879.8
2026-02-03,0.8103,0.9429,0.7935,0.862,5111821.7
2026-02-04,0.8612,0.89,0.7533,0.7708,3678880.9
2026-02-05,0.77,0.849,0.73,0.7485,4246723.4
2026-02-06,0.7483,0.821,0.7078,0.8091,2478117.1
2026-02-07,0.809,0.8442,0.74,0.7567,1943048.6
2026-02-08,0.7569,0.7576,0.709,0.7153,1458083.5
2026-02-09,0.7153,0.7341,0.69,0.7198,1750858.1
2026-02-10,0.719,0.768,0.7,0.73,2768247.7
2026-02-11,0.7306,0.7399,0.6315,0.6378,2476228.9
2026-02-12,0.6375,0.6471,0.6078,0.624,2318055.8
2026-02-13,0.6236,0.6588,0.6179,0.6489,1174588.3
2026-02-14,0.6484,0.6618,0.632,0.6473,1222036.7
2026-02-15,0.6495,0.657,0.614,0.6416,1276418.5
2026-02-16,0.6406,0.6896,0.633,0.6784,2161155.1
2026-02-17,0.6784,0.7297,0.6583,0.7139,1788800.2
2026-02-18,0.7125,0.7286,0.6436,0.6511,1624632.8
2026-02-19,0.6527,0.6805,0.6467,0.6645,906883.9
2026-02-20,0.6642,0.674,0.6554,0.6616,792545.7
2026-02-21,0.6611,0.6866,0.6528,0.6774,881696.6
2026-02-22,0.6759,0.7049,0.6279,0.6315,1314975.2
2026-02-23,0.6287,0.6377,0.5937,0.6154,1188832.9
2026-02-24,0.6141,0.6666,0.6099,0.6476,1592078.3
2026-02-25,0.6479,0.6833,0.6345,0.6611,1440898.6
2026-02-26,0.6621,0.6794,0.6294,0.6386,1041210.1
2026-02-27,0.6398,0.6607,0.6124,0.6199,965745.7
2026-02-28,0.6189,0.6245,0.5694,0.5902,1045599.2
2026-03-01,0.5907,0.609,0.5657,0.5807,929184.1
2026-03-02,0.5805,0.6195,0.5764,0.5973,1287036.6
2026-03-03,0.5972,0.6298,0.5969,0.617,1343991.4
2026-03-04,0.6176,0.6251,0.5992,0.6097,930238.8
2026-03-05,0.6095,0.6137,0.5723,0.5815,896589.3
2026-03-06,0.5813,0.6068,0.5748,0.5848,1118762.0
2026-03-07,0.5855,0.6007,0.5634,0.5939,789059.8
2026-03-08,0.5951,0.6215,0.576,0.6117,1472712.6
2026-03-09,0.6116,0.6373,0.6069,0.6203,1122293.2
2026-03-10,0.6228,0.6377,0.6089,0.6144,676401.0
2026-03-11,0.6144,0.6547,0.5966,0.6524,844142.0
2026-03-12,0.652,0.6611,0.6275,0.6301,652314.7
2026-03-13,0.6306,0.6436,0.6198,0.6201,470557.7
2026-03-14,0.6202,0.6314,0.596,0.6311,806852.0
2026-03-15,0.6311,0.6531,0.6186,0.6337,682217.8
2026-03-16,0.6342,0.6686,0.622,0.6552,727814.7
2026-03-17,0.655,0.6568,0.627,0.6311,543848.3
2026-03-18,0.6325,0.6328,0.6087,0.6132,374438.0
2026-03-19,0.6131,0.616,0.4772,0.5057,6171077.9
2026-03-20,0.5039,0.5198,0.4756,0.4932,1986837.8
2026-03-21,0.4927,0.4956,0.4744,0.4799,895228.9
2026-03-22,0.4796,0.482,0.4437,0.4489,1201185.2
2026-03-23,0.4499,0.4656,0.436,0.4471,1628063.7
2026-03-24,0.4476,0.4735,0.4363,0.466,1200390.6
2026-03-25,0.467,0.4693,0.447,0.452,766418.8
2026-03-26,0.4526,0.4615,0.4331,0.4537,724439.7
2026-03-27,0.4539,0.4613,0.4237,0.4331,598944.8
2026-03-28,0.4331,0.4395,0.4273,0.4296,356503.4
