date,open,high,low,close,volume
2025-10-03,1.55,2.07,1.55,1.873,14454507.24
2025-10-04,1.873,1.908,1.809,1.854,5710764.91
2025-10-05,1.855,1.917,1.824,1.885,3219855.7
2025-10-06,1.885,2.01,1.834,1.917,23607394.66
2025-10-07,1.916,1.952,1.773,1.779,6922446.59
2025-10-08,1.779,1.818,1.744,1.789,3633241.84
2025-10-09,1.79,1.794,1.665,1.705,4240246.85
2025-10-10,1.706,1.706,0.557,1.361,12468376.96
2025-10-11,1.361,1.979,1.322,1.608,14348534.19
2025-10-12,1.608,2.046,1.574,1.967,12529712.14
2025-10-13,1.967,2.017,1.917,1.982,7146834.16
2025-10-14,1.983,2.0,1.745,1.989,6530949.43
2025-10-15,1.988,2.082,1.855,1.902,8076881.9
2025-10-16,1.902,2.0,1.744,1.777,7896450.86
2025-10-17,1.778,1.81,1.611,1.775,14559917.47
2025-10-18,1.775,1.918,1.767,1.892,26452342.26
2025-10-19,1.892,2.041,1.808,1.937,185774365.2
2025-10-20,1.936,2.245,1.885,1.932,557724080.59
2025-10-21,1.932,2.02,1.822,1.853,4510732.21
2025-10-22,1.853,1.862,1.771,1.821,2902813.23
2025-10-23,1.821,1.915,1.812,1.914,2280330.55
2025-10-24,1.917,2.064,1.916,2.029,3006455.37
2025-10-25,2.03,2.043,1.956,1.989,1601289.88
2025-10-26,1.989,2.113,1.969,2.095,1875699.99
2025-10-27,2.095,2.143,2.015,2.05,1771429.98
2025-10-28,2.05,2.091,1.899,1.927,2858897.31
2025-10-29,1.926,2.02,1.912,1.98,2713081.23
2025-10-30,1.98,2.0,1.88,1.965,3197308.63
2025-10-31,1.965,2.037,1.956,1.958,2611616.2
2025-11-01,1.957,2.055,1.952,2.032,1698250.94
2025-11-02,2.031,2.093,1.98,2.077,1826415.7
2025-11-03,2.077,2.089,1.795,1.849,5589412.12
2025-11-04,1.849,1.881,1.516,1.627,10139884.02
2025-11-05,1.627,1.713,1.544,1.704,3612952.31
2025-11-06,1.704,1.736,1.623,1.702,2700893.12
2025-11-07,1.702,1.804,1.645,1.777,3535937.4
2025-11-08,1.776,1.841,1.748,1.836,2283685.11
2025-11-09,1.836,2.02,1.777,1.982,2785718.14
2025-11-10,1.982,2.04,1.971,2.017,1354404.63
2025-11-11,2.018,2.054,1.984,1.994,1389980.96
2025-11-12,1.993,2.046,1.976,2.009,1409381.91
2025-11-13,2.01,2.139,1.969,2.066,2240293.78
2025-11-14,2.065,2.093,1.992,2.002,2551329.65
2025-11-15,2.001,2.039,1.996,1.999,421195.19
2025-11-16,1.999,2.081,1.99,2.001,1091282.75
2025-11-17,2.001,2.035,1.77,1.821,1710035.93
2025-11-18,1.821,1.927,1.779,1.888,1455943.14
2025-11-19,1.887,1.929,1.782,1.861,1289691.19
2025-11-20,1.861,1.863,1.593,1.594,2861308.48
2025-11-21,1.594,1.617,1.422,1.513,4120511.66
2025-11-22,1.514,1.532,1.459,1.493,661000.57
2025-11-23,1.493,1.534,1.487,1.493,534727.81
2025-11-24,1.491,1.568,1.477,1.552,980185.7
2025-11-25,1.55,1.556,1.492,1.527,424882.63
2025-11-26,1.528,1.547,1.459,1.511,672418.51
2025-11-27,1.51,1.542,1.502,1.532,361596.06
2025-11-28,1.532,1.568,1.518,1.528,603095.47
2025-11-29,1.528,1.539,1.486,1.488,270029.2
2025-11-30,1.488,1.501,1.452,1.455,284619.03
2025-12-01,1.456,1.459,1.317,1.384,1541577.37
2025-12-02,1.383,1.507,1.347,1.465,1224947.38
2025-12-03,1.466,1.501,1.436,1.486,1100367.66
2025-12-04,1.487,1.498,1.403,1.425,1208128.3
2025-12-05,1.426,1.432,1.286,1.292,967346.7
2025-12-06,1.292,1.292,1.234,1.243,1154785.05
2025-12-07,1.243,1.247,1.188,1.2,985887.58
2025-12-08,1.199,1.237,1.186,1.207,1402653.16
2025-12-09,1.208,1.329,1.191,1.287,1978357.82
2025-12-10,1.287,1.299,1.228,1.234,2384663.83
2025-12-11,1.234,1.236,1.173,1.22,1198785.94
2025-12-12,1.221,1.267,1.158,1.177,1465079.67
2025-12-13,1.177,1.182,1.121,1.14,1371440.91
2025-12-14,1.14,1.156,1.096,1.114,1554179.65
2025-12-15,1.114,1.289,1.096,1.14,6351714.67
2025-12-16,1.14,1.181,1.081,1.177,2654692.62
2025-12-17,1.176,1.227,1.157,1.171,2875333.28
2025-12-18,1.171,1.208,1.106,1.135,1925229.92
2025-12-19,1.136,1.232,1.123,1.217,2040909.28
2025-12-20,1.217,1.246,1.198,1.214,1414922.95
2025-12-21,1.215,1.23,1.186,1.229,1030379.46
2025-12-22,1.229,1.254,1.195,1.206,1242785.99
2025-12-23,1.206,1.216,1.164,1.186,1056287.97
2025-12-24,1.187,1.189,1.129,1.163,1040290.31
2025-12-25,1.163,1.164,1.117,1.121,1439585.27
2025-12-26,1.121,1.254,1.12,1.174,2198841.95
2025-12-27,1.174,1.195,1.168,1.187,1081292.12
2025-12-28,1.187,1.191,1.164,1.173,843614.38
2025-12-29,1.174,1.217,1.162,1.166,1086332.94
2025-12-30,1.167,1.176,1.129,1.13,1001797.84
2025-12-31,1.13,1.133,1.075,1.093,1426930.51
2026-01-01,1.093,1.118,1.086,1.102,1167114.6
2026-01-02,1.102,1.138,1.091,1.13,2385682.71
2026-01-03,1.13,1.154,1.109,1.14,1778120.98
2026-01-04,1.14,1.215,1.14,1.163,1961309.32
2026-01-05,1.162,1.229,1.136,1.218,2543574.64
2026-01-06,1.217,1.315,1.199,1.277,2566113.32
2026-01-07,1.278,1.28,1.209,1.242,1405921.97
2026-01-08,1.241,1.249,1.171,1.213,1421822.16
2026-01-09,1.212,1.269,1.203,1.253,1232291.78
2026-01-10,1.253,1.343,1.248,1.293,1530188.72
2026-01-11,1.293,1.308,1.275,1.295,433754.5
2026-01-12,1.296,1.326,1.275,1.288,675915.41
2026-01-13,1.289,1.38,1.281,1.38,1149898.97
2026-01-14,1.381,1.425,1.381,1.409,931430.95
2026-01-15,1.41,1.43,1.37,1.398,1268556.94
2026-01-16,1.399,1.404,1.335,1.353,636336.71
2026-01-17,1.352,1.352,1.308,1.308,235904.36
2026-01-18,1.308,1.368,1.307,1.315,360859.93
2026-01-19,1.314,1.315,1.216,1.287,893748.77
2026-01-20,1.287,1.289,1.139,1.141,2292527.04
2026-01-21,1.141,1.201,1.111,1.181,1249285.88
2026-01-22,1.182,1.217,1.167,1.195,1163246.26
2026-01-23,1.196,1.221,1.172,1.196,1162740.37
2026-01-24,1.195,1.203,1.192,1.196,337483.04
2026-01-25,1.197,1.206,1.117,1.147,1175021.34
2026-01-26,1.147,1.265,1.145,1.245,2153101.2
2026-01-27,1.245,1.251,1.193,1.196,1741810.66
2026-01-28,1.196,1.234,1.191,1.208,1406450.1
2026-01-29,1.208,1.222,1.168,1.204,2393917.7
2026-01-30,1.204,1.227,1.187,1.208,3119517.08
2026-01-31,1.209,1.221,1.048,1.138,3825186.42
2026-02-01,1.138,1.159,1.079,1.108,2678582.8
2026-02-02,1.109,1.297,1.071,1.236,6366020.01
2026-02-03,1.236,1.305,1.196,1.257,3230959.51
2026-02-04,1.256,1.358,1.196,1.197,2699455.71
2026-02-05,1.198,1.206,1.019,1.027,5889223.02
2026-02-06,1.027,1.242,0.96,1.19,5038989.5
2026-02-07,1.189,1.201,1.137,1.175,1737114.67
2026-02-08,1.175,1.195,1.147,1.157,602303.97
2026-02-09,1.157,1.17,1.1,1.157,1515126.97
2026-02-10,1.158,1.166,1.11,1.144,537512.64
2026-02-11,1.144,1.147,1.07,1.08,823074.95
2026-02-12,1.08,1.122,1.071,1.11,823434.77
2026-02-13,1.109,1.228,1.096,1.186,1465017.98
2026-02-14,1.186,1.405,1.184,1.401,5498603.72
2026-02-15,1.401,1.444,1.281,1.333,2371832.51
2026-02-16,1.334,1.452,1.33,1.371,2624325.14
2026-02-17,1.37,1.516,1.354,1.508,2408580.3
2026-02-18,1.508,1.533,1.425,1.461,2387322.57
2026-02-19,1.462,1.477,1.347,1.382,1506462.66
2026-02-20,1.382,1.648,1.381,1.578,4604149.54
2026-02-21,1.578,1.653,1.552,1.617,2749934.0
2026-02-22,1.617,1.659,1.551,1.602,1975897.99
2026-02-23,1.601,1.665,1.508,1.571,3411015.47
2026-02-24,1.572,1.773,1.526,1.741,2597143.6
2026-02-25,1.741,1.965,1.703,1.831,6389840.87
2026-02-26,1.83,1.926,1.8,1.857,3185072.14
2026-02-27,1.858,1.897,1.757,1.835,1833018.67
2026-02-28,1.835,1.838,1.698,1.764,2050067.89
2026-03-01,1.765,1.822,1.674,1.744,1949850.06
2026-03-02,1.743,1.982,1.724,1.93,2810395.08
2026-03-03,1.929,2.014,1.847,1.956,3497982.49
2026-03-04,1.956,1.986,1.857,1.869,1922370.15
2026-03-05,1.87,1.989,1.858,1.941,1598072.85
2026-03-06,1.941,1.97,1.766,1.793,1482631.25
2026-03-07,1.793,1.856,1.764,1.826,972909.83
2026-03-08,1.827,1.939,1.817,1.863,1459030.48
2026-03-09,1.863,1.967,1.853,1.903,1303755.66
2026-03-10,1.903,2.092,1.897,1.954,2741802.77
2026-03-11,1.953,2.004,1.919,1.924,1231233.42
2026-03-12,1.925,1.999,1.894,1.984,994446.13
2026-03-13,1.984,2.017,1.839,1.863,1460257.81
2026-03-14,1.863,1.898,1.825,1.895,564855.42
2026-03-15,1.893,1.959,1.838,1.928,707948.76
2026-03-16,1.93,1.953,1.818,1.824,1121428.25
2026-03-17,1.824,1.84,1.724,1.805,1721658.47
2026-03-18,1.806,1.864,1.727,1.743,1366044.46
2026-03-19,1.742,1.784,1.655,1.75,1124010.23
2026-03-20,1.751,1.78,1.707,1.77,596911.13
2026-03-21,1.771,1.809,1.746,1.753,426613.11
2026-03-22,1.752,1.763,1.657,1.667,827379.49
2026-03-23,1.669,1.778,1.629,1.699,1111042.13
2026-03-24,1.699,1.769,1.652,1.756,1142796.31
2026-03-25,1.756,1.777,1.705,1.706,932171.13
2026-03-26,1.707,1.707,1.549,1.559,969386.46
2026-03-27,1.559,1.6,1.475,1.493,1113129.99
2026-03-28,1.494,1.546,1.474,1.503,459983.37
