date,open,high,low,close,volume
2025-04-11,0.4199,0.6,0.4199,0.528,17599961.7
2025-04-12,0.5283,0.6181,0.5195,0.6136,28880391.3
2025-04-13,0.6136,0.6373,0.5227,0.5408,11757790.5
2025-04-14,0.5404,0.5924,0.5342,0.5777,9145698.0
2025-04-15,0.5779,0.63,0.5556,0.5585,11969384.7
2025-04-16,0.5584,0.5646,0.5286,0.5368,8808906.6
2025-04-17,0.5367,0.5723,0.5253,0.5565,6086202.0
2025-04-18,0.5565,0.6,0.5424,0.5869,8274093.4
2025-04-19,0.5867,0.5924,0.5642,0.5827,4245128.3
2025-04-20,0.5826,0.5894,0.5482,0.5734,5144550.4
2025-04-21,0.5736,0.6013,0.5609,0.5677,6279965.5
2025-04-22,0.5676,0.6999,0.5505,0.6898,12441352.1
2025-04-23,0.6898,0.8518,0.6898,0.7264,32865810.3
2025-04-24,0.7263,0.7751,0.6732,0.7751,19554076.3
2025-04-25,0.7749,0.9855,0.7371,0.9239,42578607.6
2025-04-26,0.9241,1.1805,0.9188,1.1062,49090985.1
2025-04-27,1.1062,1.1681,1.0466,1.0685,27188997.7
2025-04-28,1.0691,1.4372,1.0275,1.4029,54676778.1
2025-04-29,1.4027,1.5352,1.3401,1.3789,39722521.0
2025-04-30,1.3789,1.5496,1.1967,1.5391,40473855.2
2025-05-01,1.539,1.795,1.4944,1.6394,50023988.3
2025-05-02,1.6394,1.894,1.5871,1.7599,42607890.3
2025-05-03,1.7608,1.8489,1.66,1.6927,27344036.2
2025-05-04,1.6937,1.7567,1.5784,1.638,31753345.8
2025-05-05,1.638,1.849,1.5786,1.6538,36124748.2
2025-05-06,1.6538,1.7029,1.3827,1.4898,51568227.5
2025-05-07,1.4896,1.5266,1.2703,1.3919,40733488.6
2025-05-08,1.3922,2.1416,1.3653,2.0871,73864077.5
2025-05-09,2.0877,2.1852,1.8767,1.9484,63084025.4
2025-05-10,1.9484,2.0608,1.8735,2.0124,35474240.5
2025-05-11,2.0122,2.06,1.8604,1.9472,28388170.7
2025-05-12,1.9473,2.2213,1.8314,1.9963,59061975.0
2025-05-13,1.9963,2.1563,1.8806,2.0465,29852638.7
2025-05-14,2.0465,2.0567,1.9195,1.9888,22289186.2
2025-05-15,1.989,2.0366,1.7,1.8256,26880319.7
2025-05-16,1.8255,1.9396,1.7666,1.7953,18783003.5
2025-05-17,1.7953,1.8065,1.6463,1.6861,17666641.9
2025-05-18,1.6862,2.1034,1.6679,2.0322,39351056.9
2025-05-19,2.0319,2.0645,1.7723,1.9482,38396582.4
2025-05-20,1.9485,2.0446,1.8655,1.9398,24773963.0
2025-05-21,1.9399,2.1433,1.888,1.985,31896881.4
2025-05-22,1.9851,2.0728,1.9467,2.0506,22255505.2
2025-05-23,2.0504,2.2663,1.8985,1.9393,51696772.5
2025-05-24,1.9395,2.0747,1.9239,2.006,17339601.1
2025-05-25,2.0062,2.0503,1.8214,2.0315,22158286.4
2025-05-26,2.0315,2.29,2.0178,2.1323,34643757.3
2025-05-27,2.1324,2.589,2.0523,2.4455,44871534.4
2025-05-28,2.4454,2.48,2.276,2.3299,25678710.2
2025-05-29,2.3299,2.4542,2.2,2.2547,26083401.8
2025-05-30,2.2543,2.3176,1.9286,1.9341,38015144.5
2025-05-31,1.9342,2.1437,1.8048,2.0152,41328026.2
2025-06-01,2.0152,2.1156,1.892,2.0644,24519289.7
2025-06-02,2.0641,2.0698,1.863,1.9741,26737024.0
2025-06-03,1.9742,2.0827,1.9189,1.9408,26041942.3
2025-06-04,1.9408,1.9836,1.6911,1.7854,29521960.2
2025-06-05,1.7849,1.8487,1.6071,1.6539,34041555.1
2025-06-06,1.654,1.9,1.6192,1.8569,40728266.3
2025-06-07,1.8569,1.9192,1.8038,1.8278,21984390.6
2025-06-08,1.8281,1.89,1.7484,1.8253,12993530.0
2025-06-09,1.8254,2.04,1.7641,2.0123,29879932.9
2025-06-10,2.0122,2.1361,1.9311,2.1071,20193733.8
2025-06-11,2.1071,2.3227,2.0469,2.111,25388538.0
2025-06-12,2.1112,2.1565,1.854,1.8599,32775331.3
2025-06-13,1.8607,1.911,1.7061,1.9099,32004157.2
2025-06-14,1.9098,1.9359,1.77,1.8086,15794411.6
2025-06-15,1.8086,1.868,1.7781,1.8422,10566327.1
2025-06-16,1.8423,2.0146,1.7,1.825,25732337.1
2025-06-17,1.8247,2.0,1.6544,1.6994,28220331.6
2025-06-18,1.6995,1.7226,1.5685,1.6953,22077722.1
2025-06-19,1.6953,1.7396,1.6361,1.6702,17230307.9
2025-06-20,1.6702,1.7699,1.5195,1.5462,21844550.6
2025-06-21,1.5463,1.5774,1.3469,1.4051,23972727.1
2025-06-22,1.4054,1.4503,1.2608,1.3732,39304794.6
2025-06-23,1.3733,1.763,1.335,1.6934,42220531.0
2025-06-24,1.6935,1.7318,1.565,1.5977,26359018.7
2025-06-25,1.5977,1.6474,1.4281,1.4335,28017724.5
2025-06-26,1.4335,1.5765,1.3832,1.443,28168633.6
2025-06-27,1.4428,1.5292,1.406,1.4591,19973787.7
2025-06-28,1.4592,1.5457,1.4379,1.52,10917192.1
2025-06-29,1.52,1.6707,1.4776,1.6241,16359461.8
2025-06-30,1.6241,1.6372,1.4675,1.5044,21238872.0
2025-07-01,1.5045,1.518,1.4198,1.4317,10380817.5
2025-07-02,1.4315,1.66,1.4025,1.606,22718388.1
2025-07-03,1.606,1.715,1.5872,1.658,20534856.8
2025-07-04,1.6579,1.6761,1.51,1.5492,17862854.5
2025-07-05,1.5492,1.6222,1.5148,1.5414,10982331.7
2025-07-06,1.5415,1.5949,1.5173,1.5528,11613026.2
2025-07-07,1.5528,1.5973,1.4642,1.4976,11665399.9
2025-07-08,1.4976,1.5208,1.43,1.4732,12907573.6
2025-07-09,1.4733,1.5791,1.4422,1.5599,19635654.7
2025-07-10,1.56,1.7922,1.5541,1.7616,28864705.5
2025-07-11,1.7614,1.8809,1.4628,1.7134,27740623.1
