date,strategy_id,strategy_version,candidate_asset,selected_asset,model_candidate_exposure,trend_permission_active,actual_held_asset,authorized_tradable_asset,held_asset,current_asset,effective_market_exposure,current_exposure,exposure,regime,market_state,execution_state,execution_target_asset,execution_target_exposure,trend_state,trend_score,buy_threshold,model_candidate_return_gross,model_candidate_return_net,model_candidate_equity,authorized_return_gross,authorized_return_net,authorized_equity,btc_close,btc_return,btc_baseline_equity,btc_baseline_index,return_gross,return_net,equity,drawdown_pct,fees_daily,fees_cumulative,funding_daily,funding_cumulative,borrow_cost_daily,borrow_cost_cumulative,slippage_cost_daily,slippage_cost_cumulative,turnover,cash_day,btc_day,in_market,is_rebalance_day,asset_transition_day,trend_block_day,stress_block_day,trend_gate_pass,leverage_active,leverage_state_reason,trend_activation_threshold,reason_code,rolling_return_7d,rolling_return_30d,rolling_return_90d,rolling_vol_30d,rolling_sharpe_90d,source_validated,baseline_cash,baseline_full_risk,btc_candidate_persistence_rows,persistence_entry_filter_ready,early_risk_active,candidate_entry_day,candidate_exit_day,hard_invalidation,override_state,candidate_reason,portfolio_held_asset,held_asset_public,baseline_held_asset,baseline_asset_source,overlay_candidate_raw,overlay_candidate_clean,use_baseline_exposure,is_exposed,trend_state_label,prev_trend_score,crossed_up_today,crossed_down_today,days_in_position,switch_day_forced_1x,entry_buffer_day_forced_1x,baseline_equity_curve,baseline_dd_lookback,stress_block_active,tradable_transition_day,tradable_governed_asset,leverage_eligible,target_leverage,effective_leverage,daily_borrow_cost,tradable_slippage_cost,realistic_ret_gross,realistic_ret,equity_curve,trading_fees_daily,fee_side_mode,taker_fee_bps,maker_fee_bps,staking_discount_pct,referral_discount_pct,effective_trading_fee_bps,annual_borrow_cost_pct,tradable_transition_slippage_bps
2018-05-05,current_strategy,phase68g_btc_persistence_10d_early_risk_075,CASH,CASH,0.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.1666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9864.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,cash,0.1,candidate_asset_not_btc,,,,,,True,True,False,0,False,False,False,False,False,CASH,candidate_asset_not_btc,CASH,CASH,CASH,production_core_v1,CASH,CASH,False,False,nezname,-0.1666666666666666,False,False,0,False,False,1.0,0.0,False,False,CASH,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,8.0
2018-05-06,current_strategy,phase68g_btc_persistence_10d_early_risk_075,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.1666666666666666,0.0,0.0,-0.00045,0.99955,0.0,0.0,1.0,9659.01,-0.0207816301703163,0.9792183698296836,97.92183698296836,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,switch_day,0.1,candidate_asset_not_btc,,,,,,True,True,False,0,False,False,False,False,False,CASH,candidate_asset_not_btc,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,nezname,-0.1666666666666666,False,False,0,False,False,0.99955,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,8.0
2018-05-07,current_strategy,phase68g_btc_persistence_10d_early_risk_075,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.1666666666666666,0.0,0.0,0.0,0.99955,0.0,0.0,1.0,9365.0,-0.0304389373238044,0.94941200324412,94.941200324412,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,entry_buffer_day,0.1,candidate_asset_not_btc,,,,,,True,True,False,0,False,False,False,False,False,CASH,candidate_asset_not_btc,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,nezname,-0.1666666666666666,False,False,0,False,False,0.99955,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,8.0
2018-05-08,current_strategy,phase68g_btc_persistence_10d_early_risk_075,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.1666666666666666,0.0,0.0,0.0,0.99955,0.0,0.0,1.0,9187.56,-0.0189471436198612,0.9314233576642336,93.14233576642334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,trend_gate,0.1,candidate_asset_not_btc,,,,,,True,True,False,0,False,False,False,False,False,CASH,candidate_asset_not_btc,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,nezname,-0.1666666666666666,False,False,0,False,False,0.99955,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,8.0
2018-05-09,current_strategy,phase68g_btc_persistence_10d_early_risk_075,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.1666666666666666,0.0,0.0,0.0,0.99955,0.0,0.0,1.0,9310.0,0.0133267156894758,0.9438361719383616,94.38361719383616,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,trend_gate,0.1,candidate_asset_not_btc,,,,,,True,True,False,0,False,False,False,False,False,CASH,candidate_asset_not_btc,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,nezname,-0.1666666666666666,False,False,0,False,False,0.99955,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,8.0
2018-05-10,current_strategy,phase68g_btc_persistence_10d_early_risk_075,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.1666666666666666,0.0,0.0,0.0,0.99955,0.0,0.0,1.0,9002.2,-0.0330612244897958,0.912631792376318,91.2631792376318,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,trend_gate,0.1,candidate_asset_not_btc,,,,,,True,True,False,0,False,False,False,False,False,CASH,candidate_asset_not_btc,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,nezname,-0.1666666666666666,False,False,0,False,False,0.99955,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,8.0
2018-05-11,current_strategy,phase68g_btc_persistence_10d_early_risk_075,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.1666666666666666,0.0,0.0,0.0,0.99955,0.0,0.0,1.0,8400.0,-0.0668947590588967,0.8515815085158152,85.15815085158151,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,trend_gate,0.1,candidate_asset_not_btc,0.0,,,,,True,True,False,0,False,False,False,False,False,CASH,candidate_asset_not_btc,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,nezname,-0.1666666666666666,False,False,0,False,False,0.99955,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,8.0
2018-05-12,current_strategy,phase68g_btc_persistence_10d_early_risk_075,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.1666666666666666,0.0,0.0,0.0,0.99955,0.0,0.0,1.0,8465.94,0.0078500000000001,0.8582664233576645,85.82664233576645,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,trend_gate,0.1,candidate_asset_not_btc,0.0,,,,,True,True,False,0,False,False,False,False,False,CASH,candidate_asset_not_btc,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,nezname,-0.1666666666666666,False,False,0,False,False,0.99955,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,8.0
2018-05-13,current_strategy,phase68g_btc_persistence_10d_early_risk_075,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.1666666666666666,0.0,0.0,0.0,0.99955,0.0,0.0,1.0,8679.71,0.0252505923736761,0.8799381589618818,87.99381589618818,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,trend_gate,0.1,candidate_asset_not_btc,0.0,,,,,True,True,False,0,False,False,False,False,False,CASH,candidate_asset_not_btc,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,nezname,-0.1666666666666666,False,False,0,False,False,0.99955,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,8.0
2018-05-14,current_strategy,phase68g_btc_persistence_10d_early_risk_075,BASE,BASE,1.0,False,CASH,CASH,CASH,CASH,0.0,0.0,0.0,CASH,OUT_OF_MARKET,OUT_OF_MARKET,CASH,0.0,nezname,-0.1666666666666666,0.0,0.0,0.0,0.99955,0.0,0.0,1.0,8663.34,-0.0018860077122391,0.8782785888077862,87.82785888077862,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False,trend_gate,0.1,candidate_asset_not_btc,0.0,,,,,True,True,False,0,False,False,False,False,False,CASH,candidate_asset_not_btc,CASH,CASH,BASE,production_core_v1,BASE,BASE,False,False,nezname,-0.1666666666666666,False,False,0,False,False,0.99955,0.0,False,False,CASH,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,taker,4.5,1.5,0.0,0.0,4.5,12.0,8.0
