date,live_strategy_index,live_strategy_exposure_x,live_strategy_return_net,live_strategy_vs_btc_return,live_strategy_source,strategy_execution_index,model_index,btc_index,strategy_execution_exposure_x,strategy_execution_return_net,strategy_execution_vs_btc_return,strategy_execution_source,model_authorized_exposure_x,model_authorized_return_net,model_authorized_return_gross,model_transition_cost,model_asset_transition_day,real_account_index,real_account_exposure_x,real_account_return_net,real_account_vs_btc_return,real_account_source,chart_scope
2018-05-05,1.0,0.0,0.0,0.0,pre_live,1.0,1.0,1.0,0.0,0.0,0.0,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,real_account_flat_no_history,real_account_flat_no_history
2018-05-06,1.0,0.0,0.0,0.0207816302,pre_live,1.0,1.0,0.9792183698,0.0,0.0,0.0207816302,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0207816302,real_account_flat_no_history,real_account_flat_no_history
2018-05-07,1.0,0.0,0.0,0.0304389373,pre_live,1.0,1.0,0.9494120032,0.0,0.0,0.0304389373,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0304389373,real_account_flat_no_history,real_account_flat_no_history
2018-05-08,1.0,0.0,0.0,0.0189471436,pre_live,1.0,1.0,0.9314233577,0.0,0.0,0.0189471436,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0189471436,real_account_flat_no_history,real_account_flat_no_history
2018-05-09,1.0,0.0,0.0,-0.0133267157,pre_live,1.0,1.0,0.9438361719,0.0,0.0,-0.0133267157,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0133267157,real_account_flat_no_history,real_account_flat_no_history
2018-05-10,1.0,0.0,0.0,0.0330612245,pre_live,1.0,1.0,0.9126317924,0.0,0.0,0.0330612245,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0330612245,real_account_flat_no_history,real_account_flat_no_history
2018-05-11,1.0,0.0,0.0,0.0668947591,pre_live,1.0,1.0,0.8515815085,0.0,0.0,0.0668947591,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0668947591,real_account_flat_no_history,real_account_flat_no_history
2018-05-12,1.0,0.0,0.0,-0.00785,pre_live,1.0,1.0,0.8582664234,0.0,0.0,-0.00785,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.00785,real_account_flat_no_history,real_account_flat_no_history
2018-05-13,1.0,0.0,0.0,-0.0252505924,pre_live,1.0,1.0,0.879938159,0.0,0.0,-0.0252505924,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0252505924,real_account_flat_no_history,real_account_flat_no_history
2018-05-14,1.0,0.0,0.0,0.0018860077,pre_live,1.0,1.0,0.8782785888,0.0,0.0,0.0018860077,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0018860077,real_account_flat_no_history,real_account_flat_no_history
2018-05-15,1.0,0.0,0.0,0.0232404592,pre_live,1.0,1.0,0.8578669911,0.0,0.0,0.0232404592,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0232404592,real_account_flat_no_history,real_account_flat_no_history
2018-05-16,1.0,0.0,0.0,0.0155991491,pre_live,1.0,1.0,0.8444849959,0.0,0.0,0.0155991491,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0155991491,real_account_flat_no_history,real_account_flat_no_history
2018-05-17,1.0,0.0,0.0,0.0346386555,pre_live,1.0,1.0,0.8152331711,0.0,0.0,0.0346386555,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0346386555,real_account_flat_no_history,real_account_flat_no_history
