model_key,overlay,phase,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,worst_day_pct,worst_3d_pct,worst_5d_pct,time_under_water_days_max,avg_leverage,max_leverage,max_leverage_hit_pct,leverage_change_days_pct,trade_count_proxy,cash_days_pct
phase45_without_BNBUSDT,fixed_2p00x,L1,1384881.29,236.13,-55.82,1.52,2.012,-26.94,-33.79,-36.23,424,0.609,2.0,30.45,3.27,94,69.55
phase45_without_BNBUSDT,fixed_1p75x,L1,573751.09,200.51,-50.7,1.52,2.012,-23.57,-29.78,-32.03,424,0.533,1.75,30.45,3.27,94,69.55
phase45_without_BNBUSDT,fixed_1p50x,L1,219240.15,165.93,-45.12,1.52,2.012,-20.21,-25.7,-27.74,424,0.457,1.5,30.45,3.27,94,69.55
phase45_without_BNBUSDT,fixed_1p25x,L1,77051.04,132.85,-39.05,1.52,2.012,-16.84,-21.56,-23.35,415,0.381,1.25,0.0,3.27,94,69.55
phase45_without_BNBUSDT,fixed_1p00x,L1,24789.52,101.66,-32.45,1.52,2.012,-13.47,-17.36,-18.86,415,0.304,1.0,0.0,3.27,94,69.55
phase45_without_BNBUSDT,vol_target_slow_lmax_1p50,L2,112940.87,144.44,-44.03,1.633,1.885,-18.8,-24.18,-26.06,424,0.429,1.5,20.18,8.98,258,69.55
phase45_without_BNBUSDT,vol_target_fastslow_lmax_1p50_speed_10pct,L2,77277.21,132.94,-41.22,1.64,1.981,-16.83,-20.5,-20.54,415,0.399,1.5,10.4,18.16,522,69.55
phase45_without_BNBUSDT_and_DOGEUSDT,fixed_2p00x,L1,1093968.53,226.21,-57.82,1.492,2.008,-26.94,-33.79,-36.23,424,0.611,2.0,30.55,3.27,94,69.45
phase45_without_BNBUSDT_and_DOGEUSDT,fixed_1p75x,L1,466057.76,192.68,-52.18,1.492,2.008,-23.57,-29.78,-32.03,424,0.535,1.75,30.55,3.27,94,69.45
phase45_without_BNBUSDT_and_DOGEUSDT,fixed_1p50x,L1,183215.21,159.93,-46.06,1.492,2.008,-20.21,-25.7,-27.74,424,0.458,1.5,30.55,3.27,94,69.45
phase45_without_BNBUSDT_and_DOGEUSDT,fixed_1p25x,L1,66269.7,128.43,-39.46,1.492,2.008,-16.84,-21.56,-23.35,415,0.382,1.25,0.0,3.27,94,69.45
phase45_without_BNBUSDT_and_DOGEUSDT,fixed_1p00x,L1,21948.63,98.57,-32.45,1.492,2.008,-13.47,-17.36,-18.86,415,0.305,1.0,0.0,3.27,94,69.45
phase45_without_BNBUSDT_and_DOGEUSDT,vol_target_slow_lmax_1p50,L2,95477.54,139.28,-46.06,1.602,1.878,-18.8,-24.18,-26.06,424,0.43,1.5,20.15,9.05,260,69.45
phase45_without_BNBUSDT_and_DOGEUSDT,vol_target_fastslow_lmax_1p50_speed_10pct,L2,66763.67,128.65,-42.02,1.61,1.974,-16.83,-20.48,-20.54,415,0.401,1.5,10.65,17.99,517,69.45
