window,train_start,train_end,test_start,test_end,model,market_score_floor,min_confidence,max_yz_vol,max_atr_pct,btc_lt_floor,dynamic_weight,kill_dd,cooldown_days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count
1,2018-05-04,2020-04-22,2020-04-23,2020-10-19,base,10.0,35.0,0.7,70.0,-20.0,True,0.0,0,33.1,49.23,-9.99,1.686,2.078,112
2,2018-10-31,2020-10-19,2020-10-20,2021-04-17,rs,10.0,35.0,0.7,70.0,-20.0,True,0.0,0,77.52,123.33,-10.23,3.24,4.057,102
3,2019-04-29,2021-04-17,2021-04-18,2021-10-14,base,10.0,35.0,0.7,70.0,-20.0,False,0.0,0,-15.6,-21.14,-28.56,-0.612,-0.316,10
4,2019-10-26,2021-10-14,2021-10-15,2022-04-12,base,10.0,35.0,0.7,70.0,-20.0,True,0.1,20,6.31,8.94,-0.06,2.009,72.185,6
5,2020-04-23,2022-04-12,2022-04-13,2022-10-09,rs,10.0,35.0,0.7,70.0,-20.0,True,0.0,0,0.0,0.0,0.0,0.0,0.0,0
6,2020-10-20,2022-10-09,2022-10-10,2023-04-07,base,10.0,35.0,0.7,70.0,-20.0,False,0.1,20,1.88,2.64,-4.14,0.285,0.187,1
7,2021-04-18,2023-04-07,2023-04-08,2023-10-04,base,10.0,35.0,0.7,70.0,-20.0,False,0.15,10,-12.58,-17.16,-20.38,-1.203,-0.444,8
8,2021-10-15,2023-10-04,2023-10-05,2024-04-01,base,10.0,35.0,0.7,70.0,-20.0,False,0.15,20,13.8,19.84,-10.78,1.136,0.779,13
9,2022-04-13,2024-04-01,2024-04-02,2024-09-28,rs,10.0,35.0,0.7,70.0,-20.0,False,0.15,20,1.71,2.4,-0.1,1.116,1508480.814,2
10,2022-10-10,2024-09-28,2024-09-29,2025-03-27,rs,10.0,35.0,0.7,70.0,-20.0,False,0.15,20,-10.54,-14.44,-10.54,-2.174,-0.589,10
11,2023-04-08,2025-03-27,2025-03-28,2025-09-23,rs,10.0,35.0,0.7,70.0,-20.0,True,0.0,0,34.54,51.49,-8.14,2.052,2.387,85
