variant,max_prev_day_pump,max_3d_pump,min_dv_rank,min_persistence,robust_score,median_window_sharpe,median_window_sortino,median_window_cagr_pct,median_window_return_pct,worst_window_dd_pct,positive_window_ratio,full_total_return_pct,full_cagr_pct,full_max_drawdown_pct,full_sharpe,full_sortino,full_trade_count
baseline_v1,,,0.0,0,1.168,0.75,0.349,20.01,9.23,-28.79,0.625,4393.93,62.19,-36.56,1.176,1.372,174
p1=0.2_p3=0.4_dv=0.0_pers=0,0.2,0.4,0.0,0,1.168,0.75,0.349,20.01,9.23,-28.79,0.625,4393.93,62.19,-36.56,1.176,1.372,174
p1=0.2_p3=0.5_dv=0.0_pers=0,0.2,0.5,0.0,0,1.168,0.75,0.349,20.01,9.23,-28.79,0.625,4393.93,62.19,-36.56,1.176,1.372,174
p1=0.2_p3=None_dv=0.0_pers=0,0.2,,0.0,0,1.168,0.75,0.349,20.01,9.23,-28.79,0.625,4393.93,62.19,-36.56,1.176,1.372,174
p1=0.25_p3=0.4_dv=0.0_pers=0,0.25,0.4,0.0,0,1.168,0.75,0.349,20.01,9.23,-28.79,0.625,4393.93,62.19,-36.56,1.176,1.372,174
p1=0.25_p3=0.5_dv=0.0_pers=0,0.25,0.5,0.0,0,1.168,0.75,0.349,20.01,9.23,-28.79,0.625,4393.93,62.19,-36.56,1.176,1.372,174
p1=0.25_p3=None_dv=0.0_pers=0,0.25,,0.0,0,1.168,0.75,0.349,20.01,9.23,-28.79,0.625,4393.93,62.19,-36.56,1.176,1.372,174
p1=None_p3=0.4_dv=0.0_pers=0,,0.4,0.0,0,1.168,0.75,0.349,20.01,9.23,-28.79,0.625,4393.93,62.19,-36.56,1.176,1.372,174
p1=None_p3=0.5_dv=0.0_pers=0,,0.5,0.0,0,1.168,0.75,0.349,20.01,9.23,-28.79,0.625,4393.93,62.19,-36.56,1.176,1.372,174
p1=None_p3=None_dv=0.0_pers=0,,,0.0,0,1.168,0.75,0.349,20.01,9.23,-28.79,0.625,4393.93,62.19,-36.56,1.176,1.372,174
p1=0.2_p3=0.4_dv=0.0_pers=2,0.2,0.4,0.0,2,-1.665,0.619,0.285,9.33,4.45,-25.45,0.688,498.19,25.52,-27.96,0.926,0.609,141
p1=0.2_p3=0.5_dv=0.0_pers=2,0.2,0.5,0.0,2,-1.665,0.619,0.285,9.33,4.45,-25.45,0.688,498.19,25.52,-27.96,0.926,0.609,141
p1=0.2_p3=None_dv=0.0_pers=2,0.2,,0.0,2,-1.665,0.619,0.285,9.33,4.45,-25.45,0.688,498.19,25.52,-27.96,0.926,0.609,141
p1=0.25_p3=0.4_dv=0.0_pers=2,0.25,0.4,0.0,2,-1.665,0.619,0.285,9.33,4.45,-25.45,0.688,498.19,25.52,-27.96,0.926,0.609,141
p1=0.25_p3=0.5_dv=0.0_pers=2,0.25,0.5,0.0,2,-1.665,0.619,0.285,9.33,4.45,-25.45,0.688,498.19,25.52,-27.96,0.926,0.609,141
p1=0.25_p3=None_dv=0.0_pers=2,0.25,,0.0,2,-1.665,0.619,0.285,9.33,4.45,-25.45,0.688,498.19,25.52,-27.96,0.926,0.609,141
p1=None_p3=0.4_dv=0.0_pers=2,,0.4,0.0,2,-1.665,0.619,0.285,9.33,4.45,-25.45,0.688,498.19,25.52,-27.96,0.926,0.609,141
p1=None_p3=0.5_dv=0.0_pers=2,,0.5,0.0,2,-1.665,0.619,0.285,9.33,4.45,-25.45,0.688,498.19,25.52,-27.96,0.926,0.609,141
p1=None_p3=None_dv=0.0_pers=2,,,0.0,2,-1.665,0.619,0.285,9.33,4.45,-25.45,0.688,498.19,25.52,-27.96,0.926,0.609,141
p1=0.2_p3=0.4_dv=0.5_pers=0,0.2,0.4,0.5,0,-1.91,0.605,0.302,17.35,7.84,-28.79,0.625,1235.37,39.01,-36.56,1.139,0.898,156
p1=0.2_p3=0.5_dv=0.5_pers=0,0.2,0.5,0.5,0,-1.91,0.605,0.302,17.35,7.84,-28.79,0.625,1235.37,39.01,-36.56,1.139,0.898,156
