model,overlay_mode,breadth_threshold,kill_multiplier,cooldown_days,kill_days_pct,start_date,end_date,days,years,start_equity,end_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,active_day_fraction,score
phase20_combo_all_2d,combo_all_2d,0.35,0.0,0.0,38.39241138292561,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,83.01592874185602,8201.592874185602,123.94260180177947,-17.58020987039196,2.022876122138024,2.8699457682361076,0.2126809785322017,88.67775072295582
phase20_combo_all_2d,combo_all_2d,0.4,0.0,0.0,38.39241138292561,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,83.01592874185602,8201.592874185602,123.94260180177947,-17.58020987039196,2.022876122138024,2.8699457682361076,0.2126809785322017,88.67775072295582
phase20_combo_all_2d,combo_all_2d,0.6,0.0,0.0,43.38492261607589,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,80.45068786834952,7945.068786834952,122.66385460946485,-17.580209870391972,2.0321256325668644,2.836494320193567,0.1967049425861208,88.46142696636672
phase20_combo_mixed,combo_mixed,0.35,0.0,0.0,37.49375936095856,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,81.41231625183441,8041.231625183441,123.14707079806224,-17.58020987039196,2.00650242671077,2.938971921032307,0.20868696954568147,87.98997248597344
phase20_combo_mixed,combo_mixed,0.4,0.0,0.0,37.49375936095856,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,81.41231625183441,8041.231625183441,123.14707079806224,-17.58020987039196,2.00650242671077,2.938971921032307,0.20868696954568147,87.98997248597344
phase20_combo_mixed,combo_mixed,0.6,0.0,0.0,43.185222166749874,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,78.96191877869454,7796.1918778694535,121.90635328993564,-17.58020987039196,2.0058248983325497,2.8570131027255212,0.19470793809286072,87.53878314867363
phase20_btc_3d_neg,btc_3d_neg,0.35,0.0,0.0,46.63005491762357,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,37.435906507046404,3643.59065070464,93.65769166234617,-15.660211401427171,2.3700850930693833,2.328215387256644,0.18122815776335496,87.33425598812758
phase20_btc_3d_neg,btc_3d_neg,0.4,0.0,0.0,46.63005491762357,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,37.435906507046404,3643.59065070464,93.65769166234617,-15.660211401427171,2.3700850930693833,2.328215387256644,0.18122815776335496,87.33425598812758
phase20_btc_3d_neg,btc_3d_neg,0.5,0.0,0.0,46.63005491762357,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,37.435906507046404,3643.59065070464,93.65769166234617,-15.660211401427171,2.3700850930693833,2.328215387256644,0.18122815776335496,87.33425598812758
phase20_btc_3d_neg,btc_3d_neg,0.6,0.0,0.0,46.63005491762357,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,37.435906507046404,3643.59065070464,93.65769166234617,-15.660211401427171,2.3700850930693833,2.328215387256644,0.18122815776335496,87.33425598812758
phase20_combo_mixed,combo_mixed,0.5,0.0,0.0,39.44083874188717,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,77.13486599678016,7613.486599678016,120.96060461795327,-17.58020987039195,1.988617381965088,2.8816229876739037,0.20469296055916125,86.77758320429326
phase20_btc_2d_neg,btc_2d_neg,0.35,0.0,0.0,47.67848227658512,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,34.5014167922435,3350.1416792243504,90.79496179488547,-16.775519504198822,2.362358024440675,2.138068958867059,0.1767348976535197,85.80453138796715
phase20_btc_2d_neg,btc_2d_neg,0.4,0.0,0.0,47.67848227658512,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,34.5014167922435,3350.1416792243504,90.79496179488547,-16.775519504198822,2.362358024440675,2.138068958867059,0.1767348976535197,85.80453138796715
