model,reentry_mode,kill_multiplier,kill_day_pct,reentry_day_pct,start_ts,end_ts,bars,days,years,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,avg_exposure
phase20_btc_3d_neg_k05,none,0.5,46.74080774756558,0.0,2017-08-17 04:00:00,2026-03-17 20:00:00,18793,3134,8.580424366872005,1995.0880996465526,42.55375617520434,-29.96416580605632,1.3385847285615025,0.9132155580241283,0.23295908050870004
phase23_btc2d_pos,btc_2d_pos,0.5,46.74080774756558,10.158037567179269,2017-08-17 04:00:00,2026-03-17 20:00:00,18793,3134,8.580424366872005,1853.0535655250073,41.39219777054326,-31.61309853237585,1.2786092503169917,0.8637384222198803,0.23295908050870004
phase23_btc2d_and_breadth50,btc_2d_pos_and_breadth_1d_ge_050,0.5,46.74080774756558,5.204065343478955,2017-08-17 04:00:00,2026-03-17 20:00:00,18793,3134,8.580424366872005,1749.8241129786372,40.50018495039649,-33.26682100113083,1.274353083579484,0.870229510507702,0.23295908050870004
always_daily,none,1.0,0.0,0.0,2017-08-17 04:00:00,2026-03-17 20:00:00,18793,3134,8.580424366872005,2986.787334369976,49.13981315558009,-35.407137398124675,1.2614084971983677,0.911496729354042,0.23295908050870004
phase23_btc1d_and_breadth60,btc_1d_pos_and_breadth_1d_ge_060,0.5,46.74080774756558,8.492523812057682,2017-08-17 04:00:00,2026-03-17 20:00:00,18793,3134,8.580424366872005,1661.4030186488026,39.70044819191179,-38.64086225019398,1.2374056918387977,0.8406265317470438,0.23295908050870004
phase23_breadth1d_50,breadth_1d_ge_050,0.5,46.74080774756558,14.079710530516682,2017-08-17 04:00:00,2026-03-17 20:00:00,18793,3134,8.580424366872005,2128.1779635090775,43.58065990445618,-34.447117975641795,1.2220871334395245,0.8981195820857875,0.23295908050870004
phase23_breadth1d_60,breadth_1d_ge_060,0.5,46.74080774756558,9.705741499494493,2017-08-17 04:00:00,2026-03-17 20:00:00,18793,3134,8.580424366872005,1592.9582566549773,39.056655993575816,-38.99290574016029,1.2183889352482216,0.8284845747219358,0.23295908050870004
phase23_btc1d_and_breadth50,btc_1d_pos_and_breadth_1d_ge_050,0.5,46.74080774756558,11.365934124408025,2017-08-17 04:00:00,2026-03-17 20:00:00,18793,3134,8.580424366872005,1531.3040488391614,38.45673819648488,-38.64086225019378,1.2051342235528275,0.8180834171108209,0.23295908050870004
phase23_btc1d_pos,btc_1d_pos,0.5,46.74080774756558,15.22907465545682,2017-08-17 04:00:00,2026-03-17 20:00:00,18793,3134,8.580424366872005,1523.4803875689036,38.379184534338016,-38.68691614392663,1.1981594666619886,0.8138235142794611,0.23295908050870004
phase23_btc1d_or_breadth60,btc_1d_pos_or_breadth_1d_ge_060,0.5,46.74080774756558,16.44229234289363,2017-08-17 04:00:00,2026-03-17 20:00:00,18793,3134,8.580424366872005,1460.3950359756855,37.741481215785065,-39.03869540310247,1.1795410771752652,0.8020256464556059,0.23295908050870004
