start_ts,end_ts,selected_mode,bars,days,avg_exposure,sum_selected_ret_next,sum_best_available_next,sum_leader_gap_ret,compound_selected_ret_next,compound_best_available_next,compound_gap_approx,positive_gap_bars,pain_bars_gt_2pct_gap,turnover_sum,cost_sum
2021-03-27 16:00:00,2021-04-19 04:00:00,ETHUSDT,136,24,1.0,0.1392046158776207,8.754534407341858,8.615329791464235,0.12808197055896708,3901.6830859144575,3901.5550039438986,136,113,4.0,0.006
2020-08-10 16:00:00,2020-08-31 20:00:00,ETHUSDT,128,22,1.0,0.06223300548774209,5.1417469109489975,5.079513905461256,0.05557879185992465,142.81127988405393,142.75570109219402,128,86,8.0,0.012
2020-12-30 00:00:00,2021-01-03 20:00:00,BTCUSDT,30,5,1.0,0.18373923609074186,2.466203027411849,2.282463791321107,0.19381846919745738,9.092193376864856,8.898374907667398,30,25,0.0,0.0
2024-12-03 20:00:00,2024-12-16 16:00:00,ETHUSDT,78,14,1.0,-0.010987368248918994,2.2393347836155955,2.250322151864515,-0.02317254258240109,7.867539168728184,7.890711711310585,78,43,2.0,0.003
2021-10-19 16:00:00,2021-10-28 12:00:00,ETHUSDT,54,10,1.0,-0.010757709673656683,1.7638664954571066,1.7746242051307628,-0.016836341855871018,4.333585223171166,4.3504215650270375,54,31,2.0,0.003
2023-12-15 20:00:00,2023-12-27 00:00:00,BTCUSDT,68,13,1.0,0.019900528124319646,1.708183388809503,1.6882828606851832,0.018130476596168732,4.31292133018991,4.294790853593741,68,34,2.0,0.003
2023-11-09 00:00:00,2023-11-16 04:00:00,BTCUSDT,44,8,1.0,-0.0319330369254811,1.6442990244144418,1.6762320613399226,-0.0330958997030707,3.926322185699685,3.9594180854027554,44,30,2.0,0.003
2024-11-27 16:00:00,2024-12-03 04:00:00,BTCUSDT,34,7,1.0,0.14103278587957258,1.5273305257055676,1.3862977398259952,0.14730254961164135,3.365991908563662,3.2186893589520205,34,27,2.0,0.003
2021-08-26 00:00:00,2021-09-01 12:00:00,ETHUSDT,40,7,1.0,0.1695015748645155,1.5033165322990487,1.333814957434533,0.17919932419557805,3.290653525914733,3.111454201719155,40,26,1.0,0.0015
2024-03-03 00:00:00,2024-03-09 20:00:00,ETHUSDT,42,7,1.0,0.14897068304722144,1.462937961036183,1.3139672779889615,0.14670878550863153,3.139633970044521,2.9929251845358893,42,23,0.0,0.0
2020-11-22 04:00:00,2020-11-26 20:00:00,ETHUSDT,29,5,1.0,-0.16832549118636458,1.339901186153508,1.5082266773398723,-0.16021496056188367,2.620025492081481,2.7802404526433646,29,23,2.0,0.003
2020-09-06 00:00:00,2020-09-10 16:00:00,BTCUSDT,29,5,1.0,0.01857334125430641,1.3675553944726144,1.3489820532183079,0.01703608521289568,2.6174286205882313,2.6003925353753354,29,16,0.0,0.0
2021-09-01 20:00:00,2021-09-07 20:00:00,ETHUSDT,37,7,1.0,-0.1036342386450859,1.2730751020394426,1.3767093406845285,-0.10361083092489176,2.44118465133993,2.5447954822648216,37,27,0.0,0.0
2024-11-13 16:00:00,2024-11-18 00:00:00,BTCUSDT,27,6,1.0,-0.001305338449965705,1.2853275748052677,1.286632913255233,-0.0035017891541252455,2.4720230310096816,2.4755248201638067,27,22,2.0,0.003
2020-10-16 00:00:00,2020-10-25 20:00:00,BNBUSDT,60,10,1.0,-0.021155330698616304,1.1566490641188796,1.1778043948174957,-0.024520346532522108,2.096758803817561,2.121279150350083,60,20,6.0,0.009000000000000001
2021-04-20 00:00:00,2021-04-23 20:00:00,BTCUSDT,24,4,1.0,-0.08267035587846101,1.043523026340885,1.1261933822193462,-0.08498611864848726,1.704953944843679,1.7899400634921663,24,19,0.0,0.0
2025-07-16 16:00:00,2025-07-23 12:00:00,ETHUSDT,42,8,1.0,0.061649503987042394,1.0658372319155256,1.0041877279284828,0.06013775659455933,1.8285353093663406,1.7683975527717812,42,19,0.0,0.0
2024-03-12 00:00:00,2024-03-16 20:00:00,BTCUSDT,30,5,1.0,-0.09922828890845,1.0015195585205912,1.1007478474290415,-0.09757032677406963,1.639929144149602,1.7374994709236717,30,16,6.0,0.009000000000000001
2020-11-18 04:00:00,2020-11-21 20:00:00,BTCUSDT,23,4,1.0,0.028355807738353406,1.0223683325826847,0.9940125248443312,0.027470008912902744,1.6791650700131333,1.6516950611002306,23,15,0.0,0.0
2020-07-08 20:00:00,2020-07-14 20:00:00,ETHUSDT,37,7,1.0,-0.08788916145174976,0.9673748023962786,1.0552639638480283,-0.08804996425093148,1.5632325508863478,1.6512825151372792,37,18,2.0,0.003
2020-09-25 00:00:00,2020-10-01 20:00:00,BTCUSDT,42,7,1.0,-0.0009059039602762422,0.9836087632481599,0.9845146672084361,-0.001725807525118972,1.6217659363670713,1.6234917438921903,42,23,1.0,0.0015
2023-03-30 00:00:00,2023-04-08 08:00:00,BTCUSDT,57,10,1.0,-0.015371306984696964,0.9802123077624163,0.9955836147471132,-0.01665474401158462,1.5658419821482688,1.5824967261598535,57,10,0.0,0.0
2020-11-28 00:00:00,2020-12-03 16:00:00,BTCUSDT,35,6,1.0,0.1365401239602013,1.007749919738951,0.8712097957787497,0.14311897338888802,1.6711396637824265,1.5280206903935385,35,18,1.0,0.0015
2024-02-28 00:00:00,2024-03-02 16:00:00,ETHUSDT,23,4,1.0,0.053413182448334304,0.9619288982588134,0.9085157158104793,0.0531208254073785,1.5410868731458658,1.4879660477384873,23,15,2.0,0.003
2023-11-01 00:00:00,2023-11-07 00:00:00,TRXUSDT,37,7,1.0,-0.000627648575426203,0.9179297084174632,0.9185573569928895,-0.0011322696860521786,1.456573390671982,1.4577056603580343,37,21,0.0,0.0
2021-11-07 04:00:00,2021-11-11 12:00:00,BNBUSDT,27,5,1.0,-0.0439671842799659,0.9034836539334881,0.947450838213454,-0.04508881129497322,1.4123201910395649,1.457409002334538,27,21,0.0,0.0
2021-11-19 16:00:00,2021-11-25 12:00:00,ETHUSDT,36,7,1.0,0.053272718648783496,0.9259667704480196,0.8726940517992362,0.0494094501954514,1.4665450238091684,1.417135573613717,36,13,0.0,0.0
2023-04-12 00:00:00,2023-04-20 20:00:00,ETHUSDT,54,9,1.0,-0.0525681220296705,0.860208009686873,0.9127761317165436,-0.05367133969033422,1.3328100386251327,1.3864813783154668,54,16,2.0,0.003
2024-12-31 00:00:00,2025-01-07 12:00:00,BNBUSDT,46,8,1.0,-0.0023849172173210156,0.8746209083414695,0.8770058255587905,-0.00363561038926008,1.3599959817036291,1.3636315920928892,46,15,10.0,0.015
2020-08-05 00:00:00,2020-08-10 08:00:00,BNBUSDT,33,6,1.0,-0.011305319411865807,0.8770842475577088,0.8883895669695745,-0.013431333945836177,1.3310674900615256,1.3444988240073616,33,11,0.0,0.0
2019-05-13 12:00:00,2019-05-15 20:00:00,BTCUSDT,13,3,1.0,0.060750579802084696,0.912736214996655,0.8519856351945706,0.05945385368590261,1.3813670106310307,1.3219131569451281,13,12,0.0,0.0
2023-03-20 16:00:00,2023-03-26 12:00:00,BTCUSDT,36,7,1.0,0.005742364639501554,0.8458793764507113,0.8401370118112096,0.001542193477800602,1.2839508473916585,1.282408653913858,36,12,0.0,0.0
2024-11-21 08:00:00,2024-11-23 08:00:00,BTCUSDT,13,3,1.0,0.0045426416712062,0.8517609565302612,0.8472183148590551,0.0043379437956567735,1.2698914265965926,1.2655534828009358,13,12,0.0,0.0
2024-11-08 00:00:00,2024-11-11 00:00:00,SOLUSDT,19,4,1.0,0.0443369977227642,0.847596053237615,0.8032590555148509,0.04412882399287699,1.2673850504046404,1.2232562264117635,19,12,3.0,0.0045000000000000005
2020-09-11 00:00:00,2020-09-14 08:00:00,BTCUSDT,21,4,1.0,0.0463111159913423,0.8035876202219387,0.7572765042305966,0.04669613609946799,1.1824367457453482,1.1357406096458802,21,15,0.0,0.0
2020-09-01 08:00:00,2020-09-03 12:00:00,ETHUSDT,14,3,1.0,-0.150321845293232,0.7171223040770713,0.8674441493703033,-0.1430736392742794,0.9786539817333335,1.1217276210076128,14,11,0.0,0.0
2020-12-23 20:00:00,2020-12-25 20:00:00,BTCUSDT,13,3,1.0,0.07138366820770879,0.8386376383981644,0.7672539701904556,0.07218384729149752,1.1897235462289655,1.117539698937468,13,12,0.0,0.0
2023-12-11 00:00:00,2023-12-15 12:00:00,BTCUSDT,28,5,1.0,-0.035513663611536614,0.7470745008427365,0.7825881644542729,-0.03804808930852199,1.0717041354596333,1.1097522247681553,28,15,2.0,0.003
2020-12-28 00:00:00,2020-12-29 16:00:00,BTCUSDT,11,2,1.0,0.004751949806878302,0.7762298220142293,0.7714778722073511,0.0040090703612933876,1.0852053336712726,1.0811962633099792,11,9,0.0,0.0
2023-11-26 12:00:00,2023-12-04 00:00:00,BTCUSDT,46,9,1.0,0.02494866504850321,0.7197084999665001,0.6947598349179968,0.023659370989104644,1.0345618890031614,1.0109025180140567,46,12,10.0,0.015
2024-02-07 04:00:00,2024-02-14 00:00:00,AVAXUSDT,42,8,1.0,-0.0029707495689817107,0.6909001627183471,0.6938709122873287,-0.006086670600842337,0.9781906819323907,0.984277352533233,42,14,6.0,0.009000000000000001
2025-01-17 12:00:00,2025-01-20 16:00:00,BTCUSDT,20,4,1.0,-0.013274445463673389,0.700057786996989,0.7133322324606622,-0.016730673076922664,0.9658747161646104,0.9826053892415331,20,11,0.0,0.0
2021-11-14 12:00:00,2021-11-19 08:00:00,BNBUSDT,30,6,1.0,-0.15831166148538542,0.6097303635932536,0.768042025078639,-0.15035360004552356,0.8122097650054114,0.962563365050935,30,17,2.0,0.003
2024-01-09 12:00:00,2024-01-14 20:00:00,BNBUSDT,33,6,1.0,-0.0200813556710112,0.6718249556300759,0.6919063113010872,-0.021809532526082753,0.9320000249074174,0.9538095574335002,33,14,2.0,0.003
2024-11-11 08:00:00,2024-11-13 08:00:00,SOLUSDT,13,3,1.0,-0.00459092764964289,0.6833449157464424,0.6879358433960853,-0.00845124752805193,0.9295806632932184,0.9380319108212704,13,12,2.0,0.003
2023-12-04 16:00:00,2023-12-07 20:00:00,BTCUSDT,20,4,1.0,0.03342063805449851,0.6830023738860752,0.6495817358315766,0.03283684963636646,0.9469325685671184,0.9140957189307519,20,12,0.0,0.0
2020-09-20 12:00:00,2020-09-23 08:00:00,BTCUSDT,18,4,1.0,-0.03511128504500259,0.663637303943538,0.6987485889885408,-0.03520025695504503,0.8727376594282714,0.9079379163833164,18,10,0.0,0.0
2025-01-21 00:00:00,2025-01-26 12:00:00,BTCUSDT,34,6,1.0,0.02229424998793809,0.6652781283758276,0.6429838783878894,0.020844211855501227,0.9142256612074067,0.8933814493519054,34,14,0.0,0.0
2020-12-17 04:00:00,2020-12-20 08:00:00,BTCUSDT,20,4,1.0,0.061794232596713995,0.6721225486856611,0.6103283160889472,0.06180634518985939,0.9165960169708063,0.8547896717809469,20,9,0.0,0.0
2020-07-15 04:00:00,2020-07-21 04:00:00,ETHUSDT,37,7,1.0,0.014715620745981695,0.6146869641659712,0.5999713434199895,0.013936409914045989,0.8250840938582802,0.8111476839442342,37,8,0.0,0.0
2024-02-17 16:00:00,2024-02-24 20:00:00,ETHUSDT,44,8,1.0,-0.08320903841443231,0.543300194363489,0.6265092327779214,-0.08216750528533334,0.7125315709795839,0.7946990762649172,44,10,8.0,0.012
2020-07-07 16:00:00,2020-07-08 12:00:00,LINKUSDT,6,2,1.0,0.09643683072927468,0.6794158253730054,0.5829789946437307,0.09772476871688163,0.8693169210514515,0.7715921523345699,6,4,0.0,0.0
2025-08-12 20:00:00,2025-08-17 00:00:00,ETHUSDT,26,6,1.0,-0.02501836016745301,0.543229247636592,0.5682476078040448,-0.026881486193284787,0.7028690356947587,0.7297505218880435,26,14,0.0,0.0
2021-10-30 16:00:00,2021-11-02 12:00:00,ETHUSDT,18,4,1.0,0.040625623328037694,0.550343901250328,0.5097182779222902,0.039747453667940524,0.7095174970009663,0.6697700433330258,18,10,0.0,0.0
2019-06-13 08:00:00,2019-06-13 16:00:00,BTCUSDT,3,1,1.0,0.016282495210944,0.6449248923420846,0.6286423971311407,0.016337246473412836,0.6789312264845382,0.6625939800111253,3,2,0.0,0.0
2020-09-15 16:00:00,2020-09-18 16:00:00,BTCUSDT,19,4,1.0,0.014069075100072503,0.5157045735274952,0.5016354984274228,0.013913103151522943,0.657076131226519,0.643163028074996,19,11,0.0,0.0
2023-01-23 08:00:00,2023-01-27 16:00:00,LTCUSDT,27,5,1.0,-0.03334323199765749,0.47112287491495,0.5044661069126075,-0.033909357678512664,0.5837678082044835,0.6176771658829961,27,8,0.0,0.0
2025-09-01 00:00:00,2025-09-08 00:00:00,SOLUSDT,43,8,1.0,-0.009137577322965808,0.4785488252802342,0.48768640260319995,-0.010507654305270009,0.6057604366877014,0.6162680909929714,43,6,4.0,0.006
2019-04-24 04:00:00,2019-04-29 00:00:00,BTCUSDT,30,6,1.0,-0.020590065938577692,0.4704236121121261,0.4910136780507038,-0.02215770650307336,0.587884572080017,0.6100422785830903,30,9,0.0,0.0
2025-01-27 16:00:00,2025-02-01 04:00:00,BNBUSDT,28,6,1.0,-0.014392748634201102,0.4704790990752814,0.48487184770948244,-0.015500742947839874,0.5878025270912295,0.6033032700390694,28,12,2.0,0.003
2020-06-01 00:00:00,2020-06-06 20:00:00,ETHUSDT,36,6,1.0,0.02176385853899961,0.4889196077058845,0.4671557491668849,0.017211776037523885,0.6172194248505152,0.6000076488129913,36,9,1.0,0.0015
2020-11-06 00:00:00,2020-11-07 04:00:00,BTCUSDT,8,2,1.0,0.005899172559517698,0.4883305890330432,0.4824314164735255,0.005539037022827875,0.6000523230956278,0.5945132860728,8,7,1.0,0.0015
2020-12-08 08:00:00,2020-12-12 04:00:00,BTCUSDT,24,5,1.0,-0.0120433497830491,0.4611526546447512,0.4731960044278003,-0.0136897376533337,0.5685923503488823,0.582282088002216,24,8,0.0,0.0
2025-08-25 08:00:00,2025-08-31 16:00:00,ETHUSDT,39,7,1.0,-0.0711262247628477,0.41765148686276177,0.4887777116256095,-0.07129054620773534,0.5105735215291087,0.5818640677368441,39,6,4.0,0.006
2024-01-15 12:00:00,2024-01-20 00:00:00,BNBUSDT,28,6,1.0,-0.03393134948010941,0.435036807698568,0.4689681571786774,-0.03445590113902275,0.5356075695787978,0.5700634707178206,28,9,4.0,0.006
2024-03-10 16:00:00,2024-03-11 16:00:00,BNBUSDT,7,2,1.0,-0.014115985447329305,0.45194662374205175,0.466062609189381,-0.014323407463249005,0.5447934067521882,0.5591168142154372,7,6,0.0,0.0
2023-11-21 16:00:00,2023-11-26 04:00:00,BTCUSDT,28,6,1.0,0.015580659669720328,0.45236882903782666,0.43678816936810627,0.01438302789955026,0.5624546664944812,0.5480716385949309,28,7,2.0,0.003
2019-04-17 00:00:00,2019-04-20 00:00:00,BTCUSDT,19,4,1.0,0.020251368397844565,0.4414909366789537,0.42123956828110926,0.020236321158339843,0.5422310019983636,0.5219946808400238,19,8,1.0,0.0015
2019-05-04 20:00:00,2019-05-08 20:00:00,BTCUSDT,25,5,1.0,0.0425725672359933,0.4503389423413557,0.40776637510536234,0.04214634313700283,0.5588572827863538,0.516710939649351,25,7,0.0,0.0
2024-01-30 20:00:00,2024-02-03 04:00:00,TRXUSDT,21,5,1.0,0.005474470193885906,0.42730628253420244,0.4218318123403164,0.005016790853326736,0.521195055481221,0.5161782646278943,21,8,4.0,0.006
2020-10-02 04:00:00,2020-10-05 20:00:00,BTCUSDT,23,4,1.0,0.0259837533056615,0.4350421319367554,0.40905837863109396,0.02615700494143569,0.535751051382999,0.5095940464415634,23,9,0.0,0.0
2023-02-18 00:00:00,2023-02-20 12:00:00,LTCUSDT,16,3,1.0,-0.05989130731428399,0.3784777784123242,0.4383690857266082,-0.05900436334787729,0.44735094923174734,0.5063553125796246,16,10,1.0,0.0015
2020-12-20 16:00:00,2020-12-23 04:00:00,BTCUSDT,16,4,1.0,-0.0340988355798263,0.3962191019084935,0.4303179374883199,-0.036188466360216776,0.46929965188559386,0.5054881182458106,16,9,0.0,0.0
2023-02-01 00:00:00,2023-02-06 08:00:00,LTCUSDT,33,6,1.0,0.006351581980133196,0.4162551095911963,0.40990352761106313,0.0043357076494277,0.5057135893017628,0.5013778816523351,33,5,0.0,0.0
2025-01-15 12:00:00,2025-01-17 04:00:00,BTCUSDT,11,3,1.0,0.053376880494133305,0.45248335978105153,0.39910647928691817,0.051752478791138756,0.5513403587929104,0.4995878800017717,11,8,2.0,0.003
2019-06-25 20:00:00,2019-06-27 12:00:00,BTCUSDT,11,3,1.0,-0.059542490910186194,0.3671829669567137,0.4267254578668999,-0.06757968540360026,0.42486607106398,0.49244575646758026,11,9,0.0,0.0
2021-11-02 20:00:00,2021-11-04 20:00:00,ETHUSDT,13,3,1.0,-0.010022083116075296,0.3975048178708703,0.4075269009869456,-0.01034665318776673,0.47670475167927573,0.48705140486704246,13,9,0.0,0.0
2021-03-26 00:00:00,2021-03-27 08:00:00,BTCUSDT,9,2,1.0,0.048440719698036,0.43706472411012903,0.388624004412093,0.04874636476407157,0.5225383993906454,0.4737920346265738,9,5,1.0,0.0015
2020-11-12 12:00:00,2020-11-15 08:00:00,BTCUSDT,18,4,1.0,-0.005514690030607496,0.3825529251872373,0.3880676152178448,-0.006066352827067467,0.4567941278830412,0.46286048071010866,18,8,0.0,0.0
2019-05-16 08:00:00,2019-05-17 20:00:00,BTCUSDT,10,2,1.0,-0.0634522887407737,0.3413729312504992,0.4048252199912729,-0.06463786531130866,0.3840984615585725,0.4487363268698812,10,7,0.0,0.0
2020-07-27 00:00:00,2020-07-28 20:00:00,ETHUSDT,12,2,1.0,-0.024532336985069698,0.3587720317068545,0.3833043686919242,-0.026005601206413487,0.41833908066227243,0.4443446818686859,12,8,0.0,0.0
2024-03-17 04:00:00,2024-03-18 16:00:00,TRXUSDT,10,2,1.0,-0.003675396522640399,0.3626435788817796,0.36631897540442,-0.003853564547206201,0.4240535317103522,0.4279070962575584,10,8,0.0,0.0
2019-04-06 20:00:00,2019-04-09 00:00:00,BNBUSDT,14,4,1.0,-0.08094752956462324,0.30244456628423083,0.3833920958488541,-0.07906891399512395,0.3360701435092077,0.41513905750433167,14,7,0.0,0.0
2020-10-30 00:00:00,2020-11-02 04:00:00,BTCUSDT,20,4,1.0,-0.0011043528662053083,0.34525451443589084,0.34635886730209614,-0.0022453273219702474,0.4056482531757961,0.40789358049776636,20,6,0.0,0.0
2023-03-26 20:00:00,2023-03-29 16:00:00,BTCUSDT,18,4,1.0,0.014758210969245395,0.35597777920846907,0.3412195682392236,0.013606597528251552,0.41980634240249537,0.4061997448742438,18,8,0.0,0.0
2023-11-18 00:00:00,2023-11-20 12:00:00,TRXUSDT,16,3,1.0,0.0144094384329577,0.35035474447592707,0.3359453060429694,0.014318870766713454,0.4117854977573794,0.3974666269906659,16,7,2.0,0.003
2024-12-22 16:00:00,2024-12-26 04:00:00,BTCUSDT,22,5,1.0,0.011005747042863515,0.34671915929245595,0.33571341224959245,0.009060430814913145,0.4053263408549759,0.39626591004006273,22,7,0.0,0.0
2020-11-08 16:00:00,2020-11-11 00:00:00,BTCUSDT,15,4,1.0,0.00628062312910482,0.33738763531884586,0.331107012189741,0.003979276989361624,0.39129990431515727,0.38732062732579564,15,9,0.0,0.0
2021-05-12 00:00:00,2021-05-12 20:00:00,BTCUSDT,6,1,1.0,-0.13029210550708797,0.2361546821986978,0.3664467877057858,-0.12630430213234978,0.2535532297309766,0.3798575318633264,6,6,1.0,0.0015
2024-11-18 08:00:00,2024-11-20 08:00:00,BTCUSDT,13,3,1.0,0.028590515870771396,0.3463838574783062,0.31779334160753486,0.028148753712571084,0.4052214162481951,0.377072662535624,13,7,2.0,0.003
2020-10-26 04:00:00,2020-10-29 00:00:00,BNBUSDT,18,4,1.0,-0.014008301356660806,0.3117322461138661,0.3257405474705268,-0.01517604677465989,0.3602717006553662,0.37544774743002607,18,7,2.0,0.003
2021-10-13 12:00:00,2021-10-14 08:00:00,BTCUSDT,6,2,1.0,0.0208417948536417,0.35069549574661163,0.32985370089296995,0.02069581271469878,0.3888012019792313,0.3681053892645325,6,5,0.0,0.0
2024-12-19 16:00:00,2024-12-21 04:00:00,ETHUSDT,10,3,1.0,0.030589418941908884,0.34054111903285017,0.30995170009094125,0.02283448809812394,0.3822613474808676,0.35942685938274366,10,7,4.0,0.006
2019-06-11 00:00:00,2019-06-13 00:00:00,BTCUSDT,13,3,1.0,0.02120720898841403,0.3256676146460192,0.3044604056576052,0.02088286684635343,0.3760064264166283,0.35512355957027486,13,7,1.0,0.0015
2024-01-06 20:00:00,2024-01-09 04:00:00,BNBUSDT,15,4,1.0,-0.0354702809809295,0.28047582266050713,0.31594610364143666,-0.036024070397253305,0.3170731928025128,0.3530972631997661,15,7,2.0,0.003
2024-01-21 16:00:00,2024-01-24 20:00:00,BNBUSDT,20,4,1.0,-0.09696340281453789,0.23375979688951778,0.33072319970405567,-0.09388646288209557,0.25769620204320587,0.35158266492530144,20,5,0.0,0.0
2020-12-12 12:00:00,2020-12-14 20:00:00,BTCUSDT,15,3,1.0,0.057749413146157696,0.3504145033094755,0.2926650901633178,0.05873631244289834,0.40917145783395603,0.3504351453910577,15,7,0.0,0.0
2024-11-24 08:00:00,2024-11-26 00:00:00,BTCUSDT,11,3,1.0,-0.03568386725891801,0.275205776081235,0.310889643340153,-0.03592021918578747,0.3060752889299052,0.3419955081156927,11,5,0.0,0.0
2024-12-17 00:00:00,2024-12-19 04:00:00,BTCUSDT,14,3,1.0,-0.06842121217909079,0.24509295719307908,0.31351416937216997,-0.0669721391848298,0.26716864682969566,0.33414078601452546,14,5,2.0,0.003
2023-01-21 00:00:00,2023-01-23 00:00:00,LTCUSDT,13,3,1.0,-0.024534919597986603,0.2733589152881065,0.2978938348860931,-0.024886123764026213,0.3089561844763189,0.3338423082403451,13,8,1.0,0.0015
2024-02-14 20:00:00,2024-02-17 04:00:00,AVAXUSDT,15,4,1.0,-0.0617262541366427,0.24361141020000654,0.3053376643366492,-0.0608216457671924,0.27205383388680016,0.33287547965399256,15,7,6.0,0.009000000000000001
2019-03-28 00:00:00,2019-03-30 08:00:00,BNBUSDT,15,3,1.0,-0.0148126301435948,0.2769018668555884,0.2917144969991832,-0.015241547698099933,0.3135521744408696,0.3287937221389695,15,5,3.0,0.0045000000000000005
