variant,enter_conf_min,hold_conf_min,st_bull_threshold,lt_bull_threshold,score,aggr_total_return_pct,aggr_cagr_pct,aggr_max_drawdown_pct,aggr_sharpe,aggr_sortino,aggr_trade_count,aggr_cash_days_pct,bal_total_return_pct,bal_cagr_pct,bal_max_drawdown_pct,bal_sharpe,bal_sortino,bal_trade_count,bal_cash_days_pct
e35_h30_st35_lt35,35.0,30.0,35.0,35.0,11.783,9031.72,77.52,-36.64,1.328,1.616,200,69.38,5507.45,66.85,-39.53,1.252,1.694,410,69.38
e40_h30_st35_lt35,40.0,30.0,35.0,35.0,11.481,8743.92,76.8,-36.64,1.32,1.605,198,69.45,5330.98,66.17,-39.53,1.244,1.681,408,69.45
e35_h30_st30_lt35,35.0,30.0,30.0,35.0,11.051,8392.14,75.89,-38.98,1.305,1.622,213,67.71,5529.05,66.93,-40.51,1.249,1.726,435,67.71
e40_h30_st30_lt35,40.0,30.0,30.0,35.0,10.943,8296.85,75.64,-38.98,1.302,1.618,210,67.71,5465.89,66.69,-40.51,1.246,1.722,432,67.71
e35_h30_st30_lt30,35.0,30.0,30.0,30.0,10.538,8252.04,75.52,-36.64,1.288,1.614,223,66.46,5125.21,65.36,-40.14,1.218,1.678,454,66.46
e40_h30_st30_lt30,40.0,30.0,30.0,30.0,10.43,8158.32,75.27,-36.64,1.285,1.611,220,66.46,5066.58,65.12,-40.14,1.215,1.674,451,66.46
e35_h30_st35_lt30,35.0,30.0,35.0,30.0,9.002,8295.95,75.63,-38.51,1.294,1.59,211,68.13,4945.13,64.62,-42.32,1.213,1.637,430,68.13
e40_h30_st35_lt30,40.0,30.0,35.0,30.0,8.706,8031.35,74.92,-38.51,1.287,1.579,209,68.2,4786.36,63.95,-42.32,1.205,1.624,428,68.2
e35_h25_st30_lt35,35.0,25.0,30.0,35.0,7.568,7650.53,73.86,-44.4,1.275,1.567,223,66.91,5267.65,65.92,-45.29,1.231,1.691,447,66.91
e40_h25_st30_lt35,40.0,25.0,30.0,35.0,7.461,7563.57,73.61,-44.4,1.272,1.564,220,66.91,5207.42,65.69,-45.29,1.228,1.687,444,66.91
e35_h25_st30_lt30,35.0,25.0,30.0,30.0,6.621,7446.05,73.27,-42.66,1.256,1.557,233,65.76,4832.48,64.15,-45.5,1.198,1.64,466,65.76
e40_h25_st30_lt30,40.0,25.0,30.0,30.0,6.518,7361.38,73.02,-42.66,1.254,1.554,230,65.76,4777.14,63.92,-45.5,1.195,1.636,463,65.76
e40_h25_st35_lt30,40.0,25.0,35.0,30.0,4.415,6453.2,70.19,-44.83,1.222,1.51,227,65.9,4366.23,62.09,-47.48,1.172,1.595,456,65.9
e35_h25_st35_lt30,35.0,25.0,35.0,30.0,4.084,6220.33,69.41,-44.83,1.213,1.501,230,65.87,4207.32,61.35,-47.48,1.163,1.584,459,65.87
e40_h25_st35_lt35,40.0,25.0,35.0,35.0,3.167,6383.73,69.96,-47.31,1.232,1.504,216,67.15,4415.68,62.32,-49.92,1.187,1.614,436,67.15
e35_h25_st35_lt35,35.0,25.0,35.0,35.0,2.835,6153.32,69.18,-47.31,1.223,1.494,219,67.12,4255.0,61.57,-49.92,1.178,1.602,439,67.12
