ts,selected,market_score,best_symbol_raw,best_score_raw,prev_selected,prev_score_raw
2018-05-04,CASH,15.764928830347563,CASH,,CASH,
2018-05-05,CASH,19.60755111810539,CASH,,CASH,
2018-05-06,CASH,14.996869339598925,CASH,,CASH,
2018-05-07,CASH,7.762620658741388,CASH,,CASH,
2018-05-08,CASH,2.2785570900340044,CASH,,CASH,
2018-05-09,CASH,0.9773495421441103,CASH,,CASH,
2018-05-10,CASH,-9.380750322860717,CASH,,CASH,
2018-05-11,CASH,-20.155462640002327,CASH,,CASH,
2018-05-12,CASH,-20.024007540324337,CASH,,CASH,
2018-05-13,CASH,-15.098308385704714,CASH,,CASH,
2018-05-14,CASH,-15.427197538902794,CASH,,CASH,
2018-05-15,CASH,-19.102621927199365,CASH,,CASH,
2018-05-16,CASH,-20.825649464769747,CASH,,CASH,
2018-05-17,CASH,-26.817127919844054,CASH,,CASH,
2018-05-18,CASH,-23.668400905311103,CASH,,CASH,
2018-05-19,CASH,-24.0056329282364,CASH,,CASH,
2018-05-20,CASH,-19.936371030233886,CASH,,CASH,
2018-05-21,CASH,-23.95917654799851,CASH,,CASH,
2018-05-22,CASH,-30.985268616555825,CASH,,CASH,
2018-05-23,CASH,-32.44491525480868,CASH,,CASH,
2018-05-24,CASH,-29.938051778551323,CASH,,CASH,
2018-05-25,CASH,-31.224204791454554,CASH,,CASH,
2018-05-26,CASH,-32.82505891981829,CASH,,CASH,
2018-05-27,CASH,-33.65199805007004,CASH,,CASH,
2018-05-28,CASH,-37.5648655625413,CASH,,CASH,
2018-05-29,CASH,-31.57030581660759,CASH,,CASH,
2018-05-30,CASH,-33.124040478940614,CASH,,CASH,
2018-05-31,CASH,-32.01249127031038,CASH,,CASH,
2018-06-01,CASH,-31.011968893573012,CASH,,CASH,
2018-06-02,CASH,-27.18165997634459,CASH,,CASH,
2018-06-03,CASH,-23.619389620282433,CASH,,CASH,
2018-06-04,CASH,-26.04683766187491,CASH,,CASH,
2018-06-05,CASH,-22.508956138421425,CASH,,CASH,
2018-06-06,CASH,-22.74190536246806,CASH,,CASH,
2018-06-07,CASH,-20.34486403587534,CASH,,CASH,
2018-06-08,CASH,-20.161843665607083,CASH,,CASH,
2018-06-09,CASH,-19.5896310464594,CASH,,CASH,
2018-06-10,CASH,-27.296533921700693,CASH,,CASH,
2018-06-11,CASH,-25.04146560731866,CASH,,CASH,
2018-06-12,CASH,-31.662662764848545,CASH,,CASH,
2018-06-13,CASH,-31.542633178094057,CASH,,CASH,
2018-06-14,CASH,-28.218449722790105,CASH,,CASH,
2018-06-15,CASH,-34.123550261754,CASH,,CASH,
2018-06-16,CASH,-33.89996066028649,CASH,,CASH,
2018-06-17,CASH,-36.0898837014193,CASH,,CASH,
2018-06-18,CASH,-33.12000098539057,CASH,,CASH,
2018-06-19,CASH,-31.773587789205813,CASH,,CASH,
2018-06-20,CASH,-31.924552551196783,CASH,,CASH,
2018-06-21,CASH,-33.119775038461725,CASH,,CASH,
2018-06-22,CASH,-40.30286230736963,CASH,,CASH,
2018-06-23,CASH,-39.629857461711936,CASH,,CASH,
2018-06-24,CASH,-39.456984150030195,CASH,,CASH,
2018-06-25,CASH,-39.06385316564055,CASH,,CASH,
2018-06-26,CASH,-41.283706429767136,CASH,,CASH,
2018-06-27,CASH,-40.81354015463929,CASH,,CASH,
2018-06-28,CASH,-43.38809547603203,CASH,,CASH,
2018-06-29,CASH,-42.29149543180097,CASH,,CASH,
2018-06-30,CASH,-40.50540457429416,CASH,,CASH,
2018-07-01,CASH,-40.73112396711975,CASH,,CASH,
2018-07-02,CASH,-38.24143030750933,CASH,,CASH,
2018-07-03,CASH,-40.943697912529736,CASH,,CASH,
2018-07-04,CASH,-39.882469809507114,CASH,,CASH,
2018-07-05,CASH,-41.79403344458463,CASH,,CASH,
2018-07-06,CASH,-41.26484660672375,CASH,,CASH,
2018-07-07,CASH,-37.98311127441258,CASH,,CASH,
2018-07-08,CASH,-38.895737513625946,CASH,,CASH,
2018-07-09,CASH,-39.68057572356447,CASH,,CASH,
2018-07-10,CASH,-45.15256954916882,CASH,,CASH,
2018-07-11,CASH,-42.702547971909425,CASH,,CASH,
2018-07-12,CASH,-46.02331255867158,CASH,,CASH,
2018-07-13,CASH,-47.26609118169923,CASH,,CASH,
2018-07-14,CASH,-47.087530346480264,CASH,,CASH,
2018-07-15,CASH,-45.265256963630435,CASH,,CASH,
2018-07-16,CASH,-33.49308958711159,CASH,,CASH,
2018-07-17,CASH,-27.4313056316387,CASH,,CASH,
2018-07-18,CASH,-27.385545331052988,CASH,,CASH,
2018-07-19,CASH,-30.043149631308324,CASH,,CASH,
2018-07-20,CASH,-35.91782331799579,CASH,,CASH,
2018-07-21,CASH,-32.900056474421376,CASH,,CASH,
2018-07-22,CASH,-33.57349305920883,CASH,,CASH,
2018-07-23,CASH,-30.967156140528658,CASH,,CASH,
2018-07-24,CASH,-18.91335004635247,CASH,,CASH,
2018-07-25,CASH,-18.369389701841342,CASH,,CASH,
2018-07-26,CASH,-19.392042895774985,CASH,,CASH,
2018-07-27,CASH,-13.569128535045024,CASH,,CASH,
2018-07-28,CASH,-10.147526745145997,CASH,,CASH,
2018-07-29,CASH,-12.317600305438637,CASH,,CASH,
2018-07-30,CASH,-13.918310973513442,CASH,,CASH,
2018-07-31,CASH,-16.65960392620357,CASH,,CASH,
2018-08-01,CASH,-18.829844746715693,CASH,,CASH,
2018-08-02,CASH,-16.643316896229017,CASH,,CASH,
2018-08-03,CASH,-17.525200815953564,CASH,,CASH,
2018-08-04,CASH,-23.527296562744684,CASH,,CASH,
2018-08-05,CASH,-25.830361988006956,CASH,,CASH,
2018-08-06,CASH,-27.17248853979819,CASH,,CASH,
2018-08-07,CASH,-30.811900892918217,CASH,,CASH,
2018-08-08,CASH,-35.09327213405093,CASH,,CASH,
2018-08-09,CASH,-33.09289235851191,CASH,,CASH,
2018-08-10,CASH,-38.528887572294536,CASH,,CASH,
2018-08-11,CASH,-40.86423332664902,CASH,,CASH,
2018-08-12,CASH,-40.51777687359133,CASH,,CASH,
2018-08-13,CASH,-42.91865462902348,CASH,,CASH,
2018-08-14,CASH,-43.85475027633637,CASH,,CASH,
2018-08-15,CASH,-44.09995390395098,CASH,,CASH,
2018-08-16,CASH,-43.327884884326615,CASH,,CASH,
2018-08-17,CASH,-39.17831565144166,CASH,,CASH,
2018-08-18,CASH,-43.326706760447905,CASH,,CASH,
