variant,switch_gap_threshold,stale_penalty,score,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,missed_leader_pct_of_in_market,pain_bar_pct_of_in_market,sum_leader_gap_ret
gap0_pen0,0.0,0.0,-23.529,9031.72,77.52,-36.64,1.328,1.616,200,69.38,87.73,69.66,50.6085
gap0_pen5,0.0,5.0,-23.552,9009.65,77.47,-36.64,1.327,1.616,200,69.38,87.73,69.66,50.6108
gap5_pen0,5.0,0.0,-23.734,9074.02,77.62,-37.08,1.333,1.67,185,69.38,87.61,69.66,50.6614
gap0_pen10,0.0,10.0,-24.081,8760.47,76.84,-37.16,1.32,1.605,204,69.38,87.73,69.66,50.6254
gap5_pen5,5.0,5.0,-24.81,8856.52,77.08,-38.57,1.328,1.663,187,69.38,87.73,69.66,50.6802
gap5_pen10,5.0,10.0,-24.81,8856.52,77.08,-38.57,1.328,1.663,187,69.38,87.73,69.66,50.6802
gap15_pen0,15.0,0.0,-25.925,7580.99,73.66,-38.4,1.29,1.624,174,69.38,87.39,69.43,50.8743
gap10_pen0,10.0,0.0,-25.989,8209.75,75.4,-39.54,1.31,1.645,182,69.38,87.61,69.77,50.7725
gap10_pen5,10.0,5.0,-26.036,8166.7,75.29,-39.54,1.308,1.643,183,69.38,87.61,69.77,50.7745
gap10_pen10,10.0,10.0,-27.076,7970.71,74.75,-40.97,1.303,1.635,185,69.38,87.73,69.77,50.7933
gap15_pen5,15.0,5.0,-27.145,7067.42,72.14,-39.56,1.275,1.6,178,69.38,87.5,69.55,50.9378
gap15_pen10,15.0,10.0,-27.182,7030.28,72.02,-39.56,1.274,1.599,179,69.38,87.5,69.55,50.9399
