entry_ts,selected,ret_3d_pct,ret_5d_pct,ret_10d_pct,false_start_5d,false_start_10d
2019-03-25,LTCUSDT,2.32,3.84,36.31,0,0
2019-04-05,BNBUSDT,-7.31,-4.58,-8.58,1,1
2019-04-16,BTCUSDT,1.49,1.44,2.56,0,0
2019-06-06,BTCUSDT,-2.18,-3.67,7.45,1,0
2019-06-10,BTCUSDT,2.8,10.18,10.01,0,0
2019-06-20,BNBUSDT,12.22,21.63,16.41,0,0
2019-07-04,BNBUSDT,-1.91,-1.91,-1.91,1,1
2019-08-05,BNBUSDT,-1.58,-1.58,-1.58,1,1
2020-02-09,LINKUSDT,13.92,22.06,10.64,0,0
2020-02-12,ETHUSDT,-0.47,-2.88,-2.88,1,1
2020-05-30,LINKUSDT,1.1,3.44,2.87,0,0
2020-06-24,ETHUSDT,-5.96,-2.98,0.39,1,0
2020-10-11,BNBUSDT,7.95,5.2,6.58,0,0
2020-11-27,BTCUSDT,14.75,11.88,11.67,0,0
2020-12-15,BTCUSDT,18.79,20.58,27.04,0,0
2021-03-18,TRXUSDT,9.69,9.69,14.29,0,0
2021-03-23,BTCUSDT,2.79,4.2,10.13,0,0
2021-03-25,BTCUSDT,8.59,14.37,13.31,0,0
2021-05-11,BTCUSDT,-12.7,-12.7,-12.7,1,1
2021-08-23,BNBUSDT,-9.83,-5.42,10.36,1,0
2021-08-25,ETHUSDT,0.39,-0.07,20.22,1,0
2021-10-09,BTCUSDT,1.75,4.21,16.8,0,0
2021-11-26,ETHUSDT,9.82,14.24,9.66,0,0
2021-12-02,TRXUSDT,-4.01,-4.01,-4.01,1,1
2023-01-13,LTCUSDT,-0.52,-4.33,4.1,1,0
2023-02-11,LTCUSDT,-2.17,0.47,-4.37,0,1
2023-02-14,LTCUSDT,4.34,1.54,-4.59,0,1
2023-03-17,BTCUSDT,1.02,-0.68,-1.14,1,1
2023-04-22,ETHUSDT,0.65,4.82,1.67,0,0
2023-05-27,TRXUSDT,-1.2,-3.24,-8.74,1,1
2023-06-02,TRXUSDT,-5.39,-5.54,-5.54,1,1
2023-07-01,TRXUSDT,-0.45,-0.55,-0.55,1,1
2023-07-13,TRXUSDT,-2.49,-2.51,2.37,1,0
2023-07-23,TRXUSDT,-2.56,-2.56,-6.63,1,1
2023-07-29,TRXUSDT,-4.18,-4.18,-4.18,1,1
2023-10-23,SOLUSDT,-5.66,-4.99,-0.06,1,1
2023-10-27,TRXUSDT,2.04,6.91,4.25,0,0
2024-05-20,BTCUSDT,-3.35,-7.28,-9.14,1,1
2024-09-26,TRXUSDT,2.0,1.52,1.52,0,0
2024-10-20,TRXUSDT,2.15,0.6,3.35,0,0
2024-10-24,TRXUSDT,-1.51,-0.4,0.71,1,0
2024-10-28,TRXUSDT,2.41,2.25,0.59,0,0
2024-11-06,TRXUSDT,-1.41,9.56,7.2,0,0
2025-02-19,BTCUSDT,-0.24,-5.41,-5.55,1,1
2025-05-22,TRXUSDT,-2.3,-2.65,-3.83,1,1
2025-05-24,TRXUSDT,0.23,-0.98,-0.98,1,1
2025-07-09,BTCUSDT,5.41,8.08,28.82,0,0
2025-08-03,ETHUSDT,3.92,4.08,22.93,0,0
