ts,phase49_no_bnb_baseline,phase49_bnb_hybrid_base,phase49_bnb_hybrid_strict
2018-05-04,1.0,1.0,1.0
2018-05-05,1.0,1.0,1.0
2018-05-06,1.0,1.0,1.0
2018-05-07,1.0,1.0,1.0
2018-05-08,1.0,1.0,1.0
2018-05-09,1.0,1.0,1.0
2018-05-10,1.0,1.0,1.0
2018-05-11,1.0,1.0,1.0
2018-05-12,1.0,1.0,1.0
2018-05-13,1.0,1.0,1.0
2018-05-14,1.0,1.0,1.0
2018-05-15,1.0,1.0,1.0
2018-05-16,1.0,1.0,1.0
2018-05-17,1.0,1.0,1.0
2018-05-18,1.0,1.0,1.0
2018-05-19,1.0,1.0,1.0
2018-05-20,1.0,1.0,1.0
2018-05-21,1.0,1.0,1.0
2018-05-22,1.0,1.0,1.0
2018-05-23,1.0,1.0,1.0
2018-05-24,1.0,1.0,1.0
2018-05-25,1.0,1.0,1.0
2018-05-26,1.0,1.0,1.0
2018-05-27,1.0,1.0,1.0
2018-05-28,1.0,1.0,1.0
2018-05-29,1.0,1.0,1.0
2018-05-30,1.0,1.0,1.0
2018-05-31,1.0,1.0,1.0
2018-06-01,1.0,1.0,1.0
2018-06-02,1.0,1.0,1.0
2018-06-03,1.0,1.0,1.0
2018-06-04,1.0,1.0,1.0
2018-06-05,1.0,1.0,1.0
2018-06-06,1.0,1.0,1.0
2018-06-07,1.0,1.0,1.0
2018-06-08,1.0,1.0,1.0
2018-06-09,1.0,1.0,1.0
2018-06-10,1.0,1.0,1.0
2018-06-11,1.0,1.0,1.0
2018-06-12,1.0,1.0,1.0
2018-06-13,1.0,1.0,1.0
2018-06-14,1.0,1.0,1.0
2018-06-15,1.0,1.0,1.0
2018-06-16,1.0,1.0,1.0
2018-06-17,1.0,1.0,1.0
2018-06-18,1.0,1.0,1.0
2018-06-19,1.0,1.0,1.0
2018-06-20,1.0,1.0,1.0
2018-06-21,1.0,1.0,1.0
2018-06-22,1.0,1.0,1.0
2018-06-23,1.0,1.0,1.0
2018-06-24,1.0,1.0,1.0
2018-06-25,1.0,1.0,1.0
2018-06-26,1.0,1.0,1.0
2018-06-27,1.0,1.0,1.0
2018-06-28,1.0,1.0,1.0
2018-06-29,1.0,1.0,1.0
2018-06-30,1.0,1.0,1.0
2018-07-01,1.0,1.0,1.0
2018-07-02,1.0,1.0,1.0
2018-07-03,1.0,1.0,1.0
2018-07-04,1.0,1.0,1.0
2018-07-05,1.0,1.0,1.0
2018-07-06,1.0,1.0,1.0
2018-07-07,1.0,1.0,1.0
2018-07-08,1.0,1.0,1.0
2018-07-09,1.0,1.0,1.0
2018-07-10,1.0,1.0,1.0
2018-07-11,1.0,1.0,1.0
2018-07-12,1.0,1.0,1.0
2018-07-13,1.0,1.0,1.0
2018-07-14,1.0,1.0,1.0
2018-07-15,1.0,1.0,1.0
2018-07-16,1.0,1.0,1.0
2018-07-17,1.0,1.0,1.0
2018-07-18,1.0,1.0,1.0
2018-07-19,1.0,1.0,1.0
2018-07-20,1.0,1.0,1.0
2018-07-21,1.0,1.0,1.0
2018-07-22,1.0,1.0,1.0
2018-07-23,1.0,1.0,1.0
2018-07-24,1.0,1.0,1.0
2018-07-25,1.0,1.0,1.0
2018-07-26,1.0,1.0,1.0
2018-07-27,1.0,1.0,1.0
2018-07-28,1.0,1.0,1.0
2018-07-29,1.0,1.0,1.0
2018-07-30,1.0,1.0,1.0
2018-07-31,1.0,1.0,1.0
2018-08-01,1.0,1.0,1.0
