ts,prev_selected,main_selected,ret_diff_main_minus_prev,ret_diff_main_minus_prev_pct
2024-01-07,BNBUSDT,BTCUSDT,0.0644943069464206,6.4494
2024-02-19,LINKUSDT,ETHUSDT,0.0515574906914358,5.1557
2024-01-12,BNBUSDT,TRXUSDT,0.0473818011846731,4.7382
2024-02-13,LINKUSDT,AVAXUSDT,0.0467845998993458,4.6785
2024-01-21,BNBUSDT,TRXUSDT,0.0461661638069491,4.6166
2024-02-18,LINKUSDT,ETHUSDT,0.0333392582977596,3.3339
2023-12-30,BNBUSDT,TRXUSDT,0.032664890601753,3.2665
2025-01-01,BNBUSDT,ETHUSDT,0.027603182359483197,2.7603
2024-01-05,BNBUSDT,BTCUSDT,0.0274913159204798,2.7491
2024-12-28,BNBUSDT,BTCUSDT,0.024582754812047598,2.4583
2025-09-02,BNBUSDT,ETHUSDT,0.0221763406671026,2.2176
2024-01-18,BNBUSDT,TRXUSDT,0.019486751688374,1.9487
2024-01-04,BNBUSDT,BTCUSDT,0.0160178667668798,1.6018
2023-12-28,BNBUSDT,BTCUSDT,0.0159162085910419,1.5916
2024-01-06,BNBUSDT,BTCUSDT,0.0156915404812086,1.5692
2024-02-11,LINKUSDT,AVAXUSDT,0.012635883228664498,1.2636
2025-01-09,BNBUSDT,BTCUSDT,0.0122084980943704,1.2208
2025-09-29,BNBUSDT,TRXUSDT,0.011163219657888102,1.1163
2025-01-05,BNBUSDT,BTCUSDT,0.010983556198218301,1.0984
2024-01-01,BNBUSDT,TRXUSDT,0.0099023932920783,0.9902
2025-08-30,BNBUSDT,ETHUSDT,0.0091916354382956,0.9192
2025-01-04,BNBUSDT,BTCUSDT,0.0072321080582611,0.7232
2025-08-29,BNBUSDT,ETHUSDT,0.0064486961779384,0.6449
2025-09-30,BNBUSDT,TRXUSDT,0.0058428582118688,0.5843
2023-11-11,BTCUSDT,TRXUSDT,0.0034962593889338,0.3496
2023-04-06,BTCUSDT,ETHUSDT,0.0029066437462948996,0.2907
2025-01-03,BNBUSDT,BTCUSDT,0.0025281036506098996,0.2528
2024-01-15,BNBUSDT,TRXUSDT,0.0019058524265231002,0.1906
2025-01-28,BNBUSDT,ETHUSDT,0.0016539869948878991,0.1654
2025-09-15,AVAXUSDT,DOGEUSDT,5.4969448525999526e-05,0.0055
