ts,prev_selected,main_selected,ret_diff_main_minus_prev,ret_diff_main_minus_prev_pct
2025-10-01,BNBUSDT,TRXUSDT,-0.0588539287219573,-5.8854
2025-01-26,BNBUSDT,ETHUSDT,-0.0340554119433559,-3.4055
2025-09-28,BNBUSDT,TRXUSDT,-0.0337621667442316,-3.3762
2025-09-27,BNBUSDT,TRXUSDT,-0.0280339083098494,-2.8034
2025-01-07,BNBUSDT,BTCUSDT,-0.0136982787491494,-1.3698
2025-01-08,BNBUSDT,BTCUSDT,-0.0112270372505021,-1.1227
2025-09-26,BNBUSDT,TRXUSDT,-0.009987240532387101,-0.9987
2025-09-01,BNBUSDT,TRXUSDT,-0.0078650040022734,-0.7865
2025-01-10,BNBUSDT,SOLUSDT,-0.0058499799350741994,-0.585
2025-01-27,BNBUSDT,ETHUSDT,-0.005762838267374604,-0.5763
2025-08-31,BNBUSDT,ETHUSDT,-0.003650952026062802,-0.3651
2025-01-02,BNBUSDT,BTCUSDT,-0.002955793454327501,-0.2956
2025-09-15,AVAXUSDT,DOGEUSDT,5.4969448525999526e-05,0.0055
2025-01-28,BNBUSDT,ETHUSDT,0.0016539869948878991,0.1654
2025-01-03,BNBUSDT,BTCUSDT,0.0025281036506098996,0.2528
2025-09-30,BNBUSDT,TRXUSDT,0.0058428582118688,0.5843
2025-08-29,BNBUSDT,ETHUSDT,0.0064486961779384,0.6449
2025-01-04,BNBUSDT,BTCUSDT,0.0072321080582611,0.7232
2025-08-30,BNBUSDT,ETHUSDT,0.0091916354382956,0.9192
2025-01-05,BNBUSDT,BTCUSDT,0.010983556198218301,1.0984
2025-09-29,BNBUSDT,TRXUSDT,0.011163219657888102,1.1163
2025-01-09,BNBUSDT,BTCUSDT,0.0122084980943704,1.2208
2025-09-02,BNBUSDT,ETHUSDT,0.0221763406671026,2.2176
2025-01-01,BNBUSDT,ETHUSDT,0.027603182359483197,2.7603
