market_score_floor,min_confidence,max_yz_vol,max_atr_pct,weight_mode,robust_score,median_fold_sharpe,median_fold_sortino,median_fold_cagr_pct,median_fold_return_pct,worst_fold_dd_pct,positive_fold_ratio,full_total_return_pct,full_cagr_pct,full_max_drawdown_pct,full_sharpe,full_sortino,full_trade_count,avg_selected
10.0,35.0,0.7,70.0,full,40.929,1.229,0.82,35.36,215.76,-28.21,1.0,1867.22,29.88,-28.21,1.103,0.833,149,0.22
10.0,35.0,0.7,85.0,full,40.929,1.229,0.82,35.36,215.76,-28.21,1.0,1867.22,29.88,-28.21,1.103,0.833,149,0.22
-15.0,35.0,0.7,70.0,full,38.172,1.071,0.942,33.74,201.96,-29.55,1.0,1971.4,30.46,-29.55,1.078,0.9,147,0.27
-15.0,35.0,0.7,85.0,full,38.172,1.071,0.942,33.74,201.96,-29.55,1.0,1971.4,30.46,-29.55,1.078,0.9,147,0.27
10.0,35.0,0.7,70.0,scaled,37.318,1.173,0.887,21.48,109.51,-17.64,1.0,490.08,16.85,-17.64,1.063,0.796,689,0.22
10.0,35.0,0.7,85.0,scaled,37.318,1.173,0.887,21.48,109.51,-17.64,1.0,490.08,16.85,-17.64,1.063,0.796,689,0.22
0.0,35.0,0.7,85.0,full,36.225,1.093,0.833,33.23,197.61,-31.19,1.0,1734.44,29.08,-31.19,1.061,0.848,154,0.25
0.0,35.0,0.7,70.0,full,36.225,1.093,0.833,33.23,197.61,-31.19,1.0,1734.44,29.08,-31.19,1.061,0.848,154,0.25
10.0,35.0,0.9,70.0,scaled,35.299,1.145,1.044,23.28,121.38,-26.12,1.0,600.33,18.62,-26.44,0.994,0.88,923,0.31
10.0,35.0,0.9,85.0,scaled,35.299,1.145,1.044,23.28,121.38,-26.12,1.0,600.33,18.62,-26.44,0.994,0.88,923,0.31
0.0,35.0,0.7,85.0,scaled,30.252,0.971,0.911,17.77,86.21,-22.41,1.0,456.3,16.25,-22.41,1.003,0.794,772,0.25
0.0,35.0,0.7,70.0,scaled,30.252,0.971,0.911,17.77,86.21,-22.41,1.0,456.3,16.25,-22.41,1.003,0.794,772,0.25
0.0,35.0,0.9,85.0,scaled,30.11,1.025,1.017,20.64,104.1,-29.55,1.0,536.18,17.63,-29.55,0.927,0.864,1020,0.34
0.0,35.0,0.9,70.0,scaled,30.11,1.025,1.017,20.64,104.1,-29.55,1.0,536.18,17.63,-29.55,0.927,0.864,1020,0.34
-15.0,35.0,0.9,85.0,full,27.881,1.109,1.106,41.21,271.35,-50.06,1.0,3340.82,36.41,-50.06,1.003,0.976,149,0.37
-15.0,35.0,0.9,70.0,full,27.881,1.109,1.106,41.21,271.35,-50.06,1.0,3340.82,36.41,-50.06,1.003,0.976,149,0.37
-15.0,35.0,0.9,85.0,scaled,26.831,0.942,0.994,19.68,97.95,-32.23,1.0,662.66,19.51,-32.23,0.979,0.947,1105,0.37
-15.0,35.0,0.9,70.0,scaled,26.831,0.942,0.994,19.68,97.95,-32.23,1.0,662.66,19.51,-32.23,0.979,0.947,1105,0.37
-15.0,35.0,0.7,70.0,scaled,23.921,0.879,0.876,16.82,80.6,-30.76,1.0,482.01,16.71,-30.76,0.992,0.813,844,0.27
-15.0,35.0,0.7,85.0,scaled,23.921,0.879,0.876,16.82,80.6,-30.76,1.0,482.01,16.71,-30.76,0.992,0.813,844,0.27
10.0,40.0,0.7,70.0,scaled,23.785,0.791,0.688,12.84,58.31,-20.59,1.0,260.91,11.92,-20.59,0.822,0.582,636,0.19
10.0,40.0,0.7,85.0,scaled,23.785,0.791,0.688,12.84,58.31,-20.59,1.0,260.91,11.92,-20.59,0.822,0.582,636,0.19
10.0,35.0,0.9,70.0,full,23.572,0.964,0.836,35.36,215.77,-46.33,1.0,2468.75,32.95,-46.33,0.97,0.853,149,0.31
10.0,35.0,0.9,85.0,full,23.572,0.964,0.836,35.36,215.77,-46.33,1.0,2468.75,32.95,-46.33,0.97,0.853,149,0.31
10.0,40.0,0.9,85.0,scaled,23.559,0.85,0.782,15.38,72.29,-27.24,1.0,305.15,13.06,-27.99,0.762,0.644,869,0.27
10.0,40.0,0.9,70.0,scaled,23.559,0.85,0.782,15.38,72.29,-27.24,1.0,305.15,13.06,-27.99,0.762,0.644,869,0.27
10.0,40.0,0.7,85.0,full,18.67,0.73,0.604,17.37,83.85,-32.25,1.0,553.09,17.9,-32.25,0.796,0.557,187,0.19
10.0,40.0,0.7,70.0,full,18.67,0.73,0.604,17.37,83.85,-32.25,1.0,553.09,17.9,-32.25,0.796,0.557,187,0.19
0.0,40.0,0.9,85.0,scaled,15.331,0.677,0.668,12.02,53.97,-33.06,1.0,267.26,12.09,-33.06,0.699,0.623,970,0.31
0.0,40.0,0.9,70.0,scaled,15.331,0.677,0.668,12.02,53.97,-33.06,1.0,267.26,12.09,-33.06,0.699,0.623,970,0.31
0.0,40.0,0.7,85.0,scaled,13.542,0.638,0.548,9.4,40.7,-30.51,1.0,239.53,11.32,-30.51,0.765,0.576,723,0.22
0.0,40.0,0.7,70.0,scaled,13.542,0.638,0.548,9.4,40.7,-30.51,1.0,239.53,11.32,-30.51,0.765,0.576,723,0.22
0.0,40.0,0.7,70.0,full,12.714,0.751,0.555,14.29,66.05,-40.18,1.0,506.82,17.14,-40.18,0.754,0.562,202,0.22
0.0,40.0,0.7,85.0,full,12.714,0.751,0.555,14.29,66.05,-40.18,1.0,506.82,17.14,-40.18,0.754,0.562,202,0.22
0.0,35.0,0.9,70.0,full,10.633,0.86,0.785,30.77,177.01,-52.64,1.0,2061.07,30.95,-52.64,0.914,0.843,158,0.34
0.0,35.0,0.9,85.0,full,10.633,0.86,0.785,30.77,177.01,-52.64,1.0,2061.07,30.95,-52.64,0.914,0.843,158,0.34
-15.0,40.0,0.9,70.0,scaled,9.639,0.61,0.619,11.12,49.33,-40.27,1.0,339.89,13.88,-40.27,0.759,0.705,1055,0.34
-15.0,40.0,0.9,85.0,scaled,9.639,0.61,0.619,11.12,49.33,-40.27,1.0,339.89,13.88,-40.27,0.759,0.705,1055,0.34
-15.0,40.0,0.7,85.0,scaled,8.86,0.638,0.497,8.52,36.46,-37.99,1.0,254.9,11.76,-37.99,0.762,0.596,795,0.25
-15.0,40.0,0.7,70.0,scaled,8.86,0.638,0.497,8.52,36.46,-37.99,1.0,254.9,11.76,-37.99,0.762,0.596,795,0.25
-15.0,40.0,0.7,70.0,full,6.404,0.751,0.584,14.29,66.05,-45.46,1.0,584.03,18.38,-45.46,0.779,0.61,197,0.25
-15.0,40.0,0.7,85.0,full,6.404,0.751,0.584,14.29,66.05,-45.46,1.0,584.03,18.38,-45.46,0.779,0.61,197,0.25
10.0,40.0,0.9,70.0,full,3.859,0.651,0.525,18.98,93.5,-47.94,1.0,649.53,19.33,-47.94,0.691,0.573,215,0.27
10.0,40.0,0.9,85.0,full,3.859,0.651,0.525,18.98,93.5,-47.94,1.0,649.53,19.33,-47.94,0.691,0.573,215,0.27
-15.0,40.0,0.9,85.0,full,-3.276,0.708,0.744,20.15,100.95,-56.57,1.0,898.66,22.38,-56.57,0.739,0.685,227,0.34
-15.0,40.0,0.9,70.0,full,-3.276,0.708,0.744,20.15,100.95,-56.57,1.0,898.66,22.38,-56.57,0.739,0.685,227,0.34
0.0,40.0,0.9,85.0,full,-8.283,0.676,0.528,18.09,88.02,-57.56,1.0,528.31,17.5,-57.56,0.637,0.557,234,0.31
