model,label,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,source,start_date,end_date,days,btc_days_pct,base_days_pct,btc_fast_ma,btc_slow_ma,btc_ret_lb_days,btc_ret_min,btc_risk_ma,btc_risk_buffer,btc_vol_lb,btc_vol_cap,cooldown_days,delta_vs_phase61_restore_trx_sol_base_cagr_pct,delta_vs_phase61_restore_trx_sol_base_max_drawdown_pct,delta_vs_phase61_restore_trx_sol_base_since2021_cagr_pct,delta_vs_phase61_restore_trx_sol_base_since2023_cagr_pct,delta_vs_phase61_restore_trx_sol_base_since2025_cagr_pct
phase61_phase42_core,Phase42 core,15300.6,89.72,-36.56,1.418,1.864,213,69.38,1071.17,60.48,-36.56,675.47,89.54,-36.25,120.5,93.07,-19.53,phase61_compare_summary,,,,,,,,,,,,,,,40.59920103088035,-1.5788144058499611,17.842069210162485,32.530741434948105,13.886051333808226
phase61_restore_trx_sol_base,phase61_restore_trx_sol_base,2986.787334369985,49.12079896911965,-34.98118559415004,1.1329831712965386,1.1216833036739635,0,0.0,535.5683935342543,42.63793078983751,-34.98118559415004,325.28235685214827,57.0092585650519,-24.682831440241248,102.22337784182724,79.18394866619177,-16.76173830884068,phase62_rebuilt_base,2017-08-17,2026-03-17,3135.0,0.0,100.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
phase62_btcov_f20_s100_r20_m12_rm200_rb+00_v30_060_cd0,phase62_btcov_f20_s100_r20_m12_rm200_rb+00_v30_060_cd0,4263.45556111291,55.25729990939388,-49.19773550181436,1.190561769369192,1.2444241782799161,177,46.60287081339713,314.6576928287253,31.406806672289143,-49.19773550181436,288.14515872139214,52.60126175171174,-34.41463753921635,110.97050619635245,85.57975406544497,-17.497600379031585,phase62_overlay,2017-08-17,2026-03-17,3135.0,14.800637958532695,38.59649122807017,20.0,100.0,20.0,0.12,200.0,0.0,30.0,0.06,0.0,6.136500940274232,-14.216549907664316,-11.231124117548369,-4.407996813340162,6.395805399253206
phase62_btcov_f20_s100_r20_m12_rm150_rb-03_v20_045_cd0,phase62_btcov_f20_s100_r20_m12_rm150_rb-03_v20_045_cd0,3764.1213175446524,53.074483612241785,-38.633982227794775,1.1836751852415224,1.2363775264067882,192,49.154704944178626,362.8417799716263,34.21039090402957,-38.48445903233769,288.145158721392,52.60126175171174,-34.41463753921632,110.97050619635213,85.57975406544476,-17.49760037903161,phase62_overlay,2017-08-17,2026-03-17,3135.0,13.014354066985645,37.83094098883573,20.0,100.0,20.0,0.12,150.0,-0.03,20.0,0.045,0.0,3.9536846431221377,-3.6527966336447335,-8.427539885807938,-4.407996813340162,6.395805399252993
phase62_btcov_f20_s100_r20_m12_rm200_rb-03_v30_060_cd0,phase62_btcov_f20_s100_r20_m12_rm200_rb-03_v30_060_cd0,4347.840909486021,55.604164445574675,-45.306240162767786,1.1939444365774705,1.2530313743316974,197,43.22169059011164,331.6471348055093,32.424024004694644,-45.306240162767786,288.14515872139145,52.60126175171167,-34.41463753921634,110.97050619635218,85.57975406544477,-17.497600379031596,phase62_overlay,2017-08-17,2026-03-17,3135.0,14.896331738437002,41.88197767145135,20.0,100.0,20.0,0.12,200.0,-0.03,30.0,0.06,0.0,6.4833654764550275,-10.325054568617745,-10.213906785142868,-4.407996813340233,6.395805399253007
phase62_btcov_f20_s100_r20_m12_rm150_rb-03_v20_060_cd0,phase62_btcov_f20_s100_r20_m12_rm150_rb-03_v20_060_cd0,4840.4349434803025,57.52003522168199,-45.30624016276775,1.2240786249841915,1.2965125434880445,185,44.91228070175438,347.0585138197368,33.31914718198716,-45.30624016276775,288.1451587213913,52.60126175171165,-34.41463753921633,110.97050619635213,85.57975406544476,-17.497600379031596,phase62_overlay,2017-08-17,2026-03-17,3135.0,14.864433811802233,40.22328548644338,20.0,100.0,20.0,0.12,150.0,-0.03,20.0,0.06,0.0,8.39923625256234,-10.325054568617709,-9.31878360785035,-4.4079968133402545,6.395805399252993
phase62_btcov_f20_s100_r20_m12_rm200_rb+00_v30_045_cd0,phase62_btcov_f20_s100_r20_m12_rm200_rb+00_v30_045_cd0,2462.301742247806,45.92024039565163,-42.86132838026696,1.092745867664379,1.1013405354130603,164,51.100478468899524,331.4909887366368,32.41482348918885,-42.86132838026696,288.1451587213914,52.60126175171165,-34.41463753921634,110.97050619635218,85.57975406544477,-17.497600379031596,phase62_overlay,2017-08-17,2026-03-17,3135.0,12.950558213716109,35.94896331738437,20.0,100.0,20.0,0.12,200.0,0.0,30.0,0.045,0.0,-3.2005585734680153,-7.88014278611692,-10.223107300648664,-4.4079968133402545,6.395805399253007
phase62_btcov_f20_s100_r20_m12_rm200_rb+00_v20_060_cd0,phase62_btcov_f20_s100_r20_m12_rm200_rb+00_v20_060_cd0,4209.619804575983,55.03289934750995,-49.19773550181436,1.1932412522332967,1.246560847135935,172,46.698564593301434,329.5832146556532,32.30219490505386,-49.19773550181436,288.1451587213911,52.601261751711625,-34.414637539216365,110.97050619635218,85.57975406544477,-17.497600379031585,phase62_overlay,2017-08-17,2026-03-17,3135.0,14.44976076555024,38.85167464114833,20.0,100.0,20.0,0.12,200.0,0.0,20.0,0.06,0.0,5.912100378390299,-14.216549907664316,-10.335735884783652,-4.407996813340276,6.395805399253007
phase62_btcov_f20_s100_r20_m12_rm200_rb-03_v20_045_cd0,phase62_btcov_f20_s100_r20_m12_rm200_rb-03_v20_045_cd0,3335.9213511993667,50.99412810916573,-38.48445903233769,1.1552971257220452,1.194225913077676,193,48.389154704944175,362.97189129335175,34.21763524814485,-38.48445903233769,288.14515872139117,52.601261751711625,-34.41463753921635,110.97050619635205,85.57975406544469,-17.497600379031585,phase62_overlay,2017-08-17,2026-03-17,3135.0,12.69537480063796,38.91547049441787,20.0,100.0,20.0,0.12,200.0,-0.03,20.0,0.045,0.0,1.8733291400460814,-3.503273438187648,-8.42029554169266,-4.407996813340276,6.395805399252922
phase62_btcov_f20_s100_r20_m12_rm150_rb-03_v30_060_cd0,phase62_btcov_f20_s100_r20_m12_rm150_rb-03_v30_060_cd0,4902.150840674115,57.748035759377395,-45.306240162767764,1.2212400185340178,1.2939408310290876,188,44.81658692185008,331.52582683782157,32.41687647004126,-45.306240162767764,288.14515872139106,52.601261751711604,-34.414637539216365,110.970506196352,85.57975406544465,-17.497600379031585,phase62_overlay,2017-08-17,2026-03-17,3135.0,15.21531100478469,39.96810207336523,20.0,100.0,20.0,0.12,150.0,-0.03,30.0,0.06,0.0,8.627236790257747,-10.325054568617723,-10.221054319796252,-4.407996813340297,6.395805399252879
