model,label,start_date,end_date,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,btc_days_pct,base_days_pct,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,btc_fast_ma,btc_slow_ma,btc_ret_lb_days,btc_ret_min,btc_risk_ma,btc_risk_buffer,btc_vol_lb,btc_vol_cap,weak_base_lb,weak_base_threshold,cooldown_days,source
phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v30_045_wb30_wt+02_cd3,phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v30_045_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,24774.643308327173,101.59102257148743,-33.45815502995456,1.525751300213114,2.012554224312255,844,41.8580375782881,8.455114822546973,49.68684759916493,1398.3394682810474,68.21964559766369,-33.45815502995456,1259.2456285609635,125.67852925530345,-25.866176348777536,149.9093451554402,113.8969907521652,-20.809237249359704,20.0,100.0,30.0,0.12,150.0,-0.03,30.0,0.045,30.0,0.02,3.0,phase63_overlay
phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v20_045_wb30_wt+02_cd3,phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v20_045_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,20788.63214360098,97.16598200217612,-39.323683560058576,1.4850965604565687,1.962841986153478,859,42.34516353514266,8.107167710508003,49.54766875434934,1270.5483225606126,65.36287439504274,-39.323683560058576,1259.2456285609637,125.67852925530345,-25.866176348777525,149.90934515544012,113.89699075216515,-20.809237249359747,20.0,100.0,30.0,0.12,150.0,-0.03,20.0,0.045,30.0,0.02,3.0,phase63_overlay
phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v20_060_wb30_wt+02_cd3,phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v20_060_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,27222.81464394623,104.01043009088981,-33.458155029954526,1.5385690968699333,2.0345609359604224,853,38.72651356993737,9.359777313848296,51.913709116214335,1608.5139636825286,72.51626492015,-33.458155029954526,1259.2456285609628,125.6785292553034,-25.866176348777515,149.90934515543987,113.89699075216492,-20.809237249359757,20.0,100.0,30.0,0.12,150.0,-0.03,20.0,0.06,30.0,0.02,3.0,phase63_overlay
phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v30_060_wb30_wt+02_cd3,phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v30_060_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,26273.505517265658,103.09564579814476,-33.45815502995462,1.5299902599758701,2.024895503899134,853,38.413361169102295,9.394572025052192,52.19206680584551,1549.153025948964,71.34810580777882,-33.45815502995462,1259.2456285609605,125.67852925530327,-25.866176348777547,149.9093451554398,113.89699075216492,-20.809237249359725,20.0,100.0,30.0,0.12,150.0,-0.03,30.0,0.06,30.0,0.02,3.0,phase63_overlay
phase63_btcpref_f20_s100_r30_m12_rm200_rb-03_v20_060_wb30_wt+02_cd3,phase63_btcpref_f20_s100_r30_m12_rm200_rb-03_v20_060_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,22650.80713545139,99.31742254677238,-33.45815502995454,1.5017454810962116,1.966243570489586,852,35.177453027139876,8.977035490605429,55.84551148225469,1705.6125191402728,74.35823401273849,-33.45815502995454,1236.3000259297094,124.48326424065783,-25.866176348777536,149.90934515543995,113.89699075216501,-20.809237249359736,20.0,100.0,30.0,0.12,200.0,-0.03,20.0,0.06,30.0,0.02,3.0,phase63_overlay
phase63_btcpref_f20_s100_r30_m12_rm200_rb-03_v30_060_wb30_wt+02_cd3,phase63_btcpref_f20_s100_r30_m12_rm200_rb-03_v30_060_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,21860.348716929107,98.423681734918,-33.458155029954526,1.4931226936927549,1.9566013792958907,852,34.864300626304804,9.011830201809325,56.12386917188588,1642.877970522012,73.17760237795797,-33.458155029954526,1236.300025929709,124.48326424065779,-25.866176348777525,149.90934515543995,113.89699075216501,-20.809237249359757,20.0,100.0,30.0,0.12,200.0,-0.03,30.0,0.06,30.0,0.02,3.0,phase63_overlay
phase63_btcpref_f20_s100_r30_m12_rm200_rb-03_v20_045_wb30_wt+02_cd3,phase63_btcpref_f20_s100_r30_m12_rm200_rb-03_v20_045_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,17293.27545186674,92.63042251844136,-39.32368356005858,1.4476653751326043,1.8941557903978454,854,39.38761308281141,7.724425887265135,52.887961029923446,1348.439557361427,67.12846620076745,-39.32368356005858,1236.3000259297075,124.48326424065775,-25.866176348777582,149.9093451554399,113.89699075216497,-20.809237249359736,20.0,100.0,30.0,0.12,200.0,-0.03,20.0,0.045,30.0,0.02,3.0,phase63_overlay
phase63_btcpref_f20_s100_r30_m12_rm200_rb-03_v30_045_wb30_wt+02_cd3,phase63_btcpref_f20_s100_r30_m12_rm200_rb-03_v30_045_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,20612.295561258474,96.9536705040815,-33.458155029954526,1.4885915612315717,1.9437614915978656,843,38.3785664578984,8.072372999304106,53.5490605427975,1483.493351157032,70.01573936366592,-33.458155029954526,1236.3000259297053,124.4832642406576,-25.866176348777593,149.90934515543958,113.89699075216475,-20.809237249359757,20.0,100.0,30.0,0.12,200.0,-0.03,30.0,0.045,30.0,0.02,3.0,phase63_overlay
phase63_btcpref_f20_s100_r30_m12_rm200_rb+00_v30_060_wb30_wt+02_cd3,phase63_btcpref_f20_s100_r30_m12_rm200_rb+00_v30_060_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,18215.027420805764,93.89873280019525,-40.92169292993366,1.4523587581848156,1.899012178659029,840,38.30897703549061,8.872651356993737,52.81837160751566,1429.715812653762,68.89081763380874,-40.92169292993366,1221.0356828114798,123.6802821374492,-25.866176348777582,149.90934515543987,113.89699075216492,-20.80923724935978,20.0,100.0,30.0,0.12,200.0,0.0,30.0,0.06,30.0,0.02,3.0,phase63_overlay
phase63_btcpref_f20_s100_r30_m12_rm200_rb+00_v20_060_wb30_wt+02_cd3,phase63_btcpref_f20_s100_r30_m12_rm200_rb+00_v20_060_wb30_wt+02_cd3,2018-05-04,2026-03-16,2874,18874.27321862327,94.77209231734149,-40.9216929299336,1.46098788143228,1.9086857921006997,840,38.62212943632568,8.83785664578984,52.54001391788448,1484.777631463893,70.04222427868908,-40.9216929299336,1221.0356828114782,123.68028213744915,-25.866176348777547,149.90934515544004,113.89699075216507,-20.809237249359768,20.0,100.0,30.0,0.12,200.0,0.0,20.0,0.06,30.0,0.02,3.0,phase63_overlay
