model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,doge_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,asset,signal_days_pct,trigger_days,source,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct,score_lb,doge_fast_ma,doge_slow_ma,doge_min_score,doge_edge_vs_base,doge_risk_ma,doge_risk_buffer,doge_vol_lb,doge_vol_cap,cooldown_days,allow_start,allow_end,doge_data_start,doge_data_end,doge_history_days,doge_non_na_close_ratio,doge_max_gap_days
phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v30_045_wb30_wt+02_cd3,2874,24774.6433083277,101.59102257148795,-33.45815502995442,1.5257513002131136,2.012554224312254,41.8580375782881,8.455114822546973,49.68684759916493,0.0,844,1398.3394682810722,68.21964559766423,-33.45815502995444,1259.2456285609821,125.67852925530438,-25.866176348777348,149.9093451554409,113.89699075216568,-20.80923724935961,,0.0,0,current_phase63_winner,,,,,,,,,,,,,,,,,,,,,,
phase65d_pre2025_default,2874,144450.45139910717,152.1155014885055,-30.948556787142568,1.7759063050977684,2.5147369264915365,41.8580375782881,8.211551844119693,47.390396659707726,2.5400139178844814,812,7807.396058759923,131.56879078371563,-30.948556787142522,2831.8471946322843,186.82717798394773,-27.308279944517267,149.9093451554409,113.89699075216568,-20.80923724935961,DOGE,2.5400139178844814,50,phase65d_doge_time_window_forensic,50.52447891701753,2.509598242811851,63.3491451860514,61.14864872864335,0.0,20.0,20.0,100.0,0.12,0.03,150.0,-0.03,30.0,0.06,3.0,,2024-12-31,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65d_2023_2024_balanced,2874,53553.7706420347,122.27906955642784,-33.45815502995442,1.6641850544145704,2.170260708023116,41.8580375782881,8.315935977731385,47.80793319415449,2.0180932498260264,815,3131.867937907154,94.99341820609281,-33.45815502995444,2831.8471946322843,186.82717798394773,-27.308279944517267,149.9093451554409,113.89699075216568,-20.80923724935961,DOGE,2.0180932498260264,42,phase65d_doge_time_window_forensic,20.688046984939888,0.0,26.773772608428587,61.14864872864335,0.0,20.0,20.0,100.0,0.12,0.03,150.0,-0.03,30.0,0.06,3.0,2023-01-01,2024-12-31,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65d_only_2024,2874,46199.17744138499,118.15317121655941,-33.45815502995442,1.6309880017601799,2.1280846295500595,41.8580375782881,8.315935977731385,48.57341684064022,1.2526096033402923,827,2688.8594843147357,89.54751015246782,-33.45815502995444,2429.9640989064183,173.9362217593687,-25.866176348777348,149.9093451554409,113.89699075216568,-20.80923724935961,DOGE,1.2526096033402923,28,phase65d_doge_time_window_forensic,16.56214864507146,0.0,21.327864554803597,48.25769250406431,0.0,20.0,20.0,100.0,0.12,0.03,150.0,-0.03,30.0,0.06,3.0,2024-01-01,2024-12-31,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65d_post2023_pre2025_soft,2874,37792.91756619261,112.6684014168752,-33.72103206493545,1.5850859861463715,2.0566043983255136,41.8580375782881,8.281141266527488,48.01670146137787,1.8441196938065414,829,2182.503240508357,82.3892973673095,-33.7210320649355,1970.6139146134099,157.3405881030948,-32.6922163670042,149.9093451554409,113.89699075216568,-20.80923724935961,DOGE,1.8441196938065414,53,phase65d_doge_time_window_forensic,11.077378845387244,-0.262877034981031,14.16965176964527,31.66205884779042,0.0,20.0,20.0,100.0,0.08,0.0,150.0,-0.03,30.0,0.06,0.0,2023-01-01,2024-12-31,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65d_2024_h2,2874,37615.91494185409,112.54189423352953,-33.45815502995442,1.6059807145167861,2.1394412209212526,41.8580375782881,8.350730688935283,49.09533750869868,0.6958942240779402,839,2171.841378356272,82.22529500981402,-33.45815502995444,1960.941814378907,156.96504265854134,-25.866176348777348,149.9093451554409,113.89699075216568,-20.80923724935961,DOGE,0.6958942240779402,18,phase65d_doge_time_window_forensic,10.950871662041578,0.0,14.005649412149793,31.286513403236953,0.0,20.0,20.0,100.0,0.12,0.03,150.0,-0.03,30.0,0.06,3.0,2024-07-01,2024-12-31,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65d_2024_h1,2874,30435.531912693637,106.91318773342049,-33.45815502995442,1.5522660762612273,2.004912815646243,41.8580375782881,8.420320111343075,49.16492693110647,0.5567153792623522,832,1739.3265817977615,74.9790827889758,-33.45815502995444,1568.578228585806,140.58339997070544,-25.866176348777348,149.9093451554409,113.89699075216568,-20.80923724935961,DOGE,0.5567153792623522,10,phase65d_doge_time_window_forensic,5.322165161932531,0.0,6.7594371913115765,14.90487071540106,0.0,20.0,20.0,100.0,0.12,0.03,150.0,-0.03,30.0,0.06,3.0,2024-01-01,2024-06-30,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65d_pre2024_only,2874,77561.01078496837,132.9749389741322,-30.948556787142568,1.6794077241596221,2.41814725922416,41.8580375782881,8.350730688935283,48.50382741823243,1.2874043145441894,829,4148.318595040803,105.51269645157686,-30.948556787142522,1475.1608825735052,136.29856344710635,-27.308279944517267,149.9093451554409,113.89699075216568,-20.80923724935961,DOGE,1.2874043145441894,22,phase65d_doge_time_window_forensic,31.383916402644232,2.509598242811851,37.29305085391263,10.620034191801963,0.0,20.0,20.0,100.0,0.12,0.03,150.0,-0.03,30.0,0.06,3.0,,2023-12-31,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65d_pre2025_tight_window,2874,25311.54043029042,102.13886163054737,-33.45815502995442,1.5215865745629837,2.011537193267867,41.8580375782881,8.24634655532359,48.71259568545581,1.1830201809324983,830,1430.679797276823,68.91126149746367,-33.45815502995444,1288.5837403469131,127.18673167296134,-25.866176348777348,149.9093451554409,113.89699075216568,-20.80923724935961,DOGE,1.1830201809324983,19,phase65d_doge_time_window_forensic,0.5478390590594131,0.0,0.6916158997994444,1.5082024176569604,0.0,30.0,30.0,150.0,0.16,0.06,200.0,0.0,20.0,0.045,3.0,2023-10-01,2024-12-31,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65d_2023_2024_stricter,2874,24853.023111492646,101.671639351193,-33.45815502995442,1.515019059572069,1.9993522539335407,41.8580375782881,8.24634655532359,48.05149617258177,1.8441196938065414,829,1403.0607240250233,68.32135943994277,-33.45815502995444,1263.528600722586,125.90009399565356,-27.726106481696554,149.9093451554409,113.89699075216568,-20.80923724935961,DOGE,1.8441196938065414,30,phase65d_doge_time_window_forensic,0.08061677970503922,0.0,0.10171384227854219,0.22156474034918006,0.0,30.0,20.0,100.0,0.16,0.06,150.0,-0.03,20.0,0.045,3.0,2023-01-01,2024-12-31,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65d_pre2025_stricter,2874,21459.756683744774,97.9599747500987,-45.543506667974455,1.4730420836006646,1.8721485213088527,41.8580375782881,8.1419624217119,47.6687543493389,2.3312456506610997,830,1130.0743439311625,61.96260172369523,-45.54350666797446,1263.528600722586,125.90009399565356,-27.726106481696554,149.9093451554409,113.89699075216568,-20.80923724935961,DOGE,2.3312456506610997,36,phase65d_doge_time_window_forensic,-3.6310478213892594,-12.085351638020036,-6.257043873968996,0.22156474034918006,0.0,30.0,20.0,100.0,0.16,0.06,150.0,-0.03,20.0,0.045,3.0,,2024-12-31,2019-07-05,2026-03-17,2448.0,100.0,1.0
