decision_date,period_start,period_end,selected_asset,selected,selected_score,selected_train_total_delta_pct,selected_recent_total_delta_pct,selected_train_dd_worsen_pct,selected_train_triggers
2019-05-04,2019-05-05,2019-05-10,,False,,,,,
2019-05-11,2019-05-12,2019-05-17,,False,,,,,
2019-05-18,2019-05-19,2019-05-24,,False,,,,,
2019-05-25,2019-05-26,2019-05-31,,False,,,,,
2019-06-01,2019-06-02,2019-06-07,,False,,,,,
2019-06-08,2019-06-09,2019-06-14,,False,,,,,
2019-06-15,2019-06-16,2019-06-21,,False,,,,,
2019-06-22,2019-06-23,2019-06-28,,False,,,,,
2019-06-29,2019-06-30,2019-07-05,,False,,,,,
2019-07-06,2019-07-07,2019-07-12,,False,,,,,
2019-07-13,2019-07-14,2019-07-19,,False,,,,,
2019-07-20,2019-07-21,2019-07-26,,False,,,,,
2019-07-27,2019-07-28,2019-08-02,,False,,,,,
2019-08-03,2019-08-04,2019-08-09,,False,,,,,
2019-08-10,2019-08-11,2019-08-16,,False,,,,,
2019-08-17,2019-08-18,2019-08-23,,False,,,,,
2019-08-24,2019-08-25,2019-08-30,,False,,,,,
2019-08-31,2019-09-01,2019-09-06,,False,,,,,
2019-09-07,2019-09-08,2019-09-13,,False,,,,,
2019-09-14,2019-09-15,2019-09-20,,False,,,,,
2019-09-21,2019-09-22,2019-09-27,,False,,,,,
2019-09-28,2019-09-29,2019-10-04,,False,,,,,
2019-10-05,2019-10-06,2019-10-11,,False,,,,,
2019-10-12,2019-10-13,2019-10-18,,False,,,,,
2019-10-19,2019-10-20,2019-10-25,,False,,,,,
2019-10-26,2019-10-27,2019-11-01,,False,,,,,
2019-11-02,2019-11-03,2019-11-08,,False,,,,,
2019-11-09,2019-11-10,2019-11-15,,False,,,,,
2019-11-16,2019-11-17,2019-11-22,,False,,,,,
2019-11-23,2019-11-24,2019-11-29,,False,,,,,
2019-11-30,2019-12-01,2019-12-06,,False,,,,,
2019-12-07,2019-12-08,2019-12-13,,False,,,,,
2019-12-14,2019-12-15,2019-12-20,,False,,,,,
2019-12-21,2019-12-22,2019-12-27,,False,,,,,
2019-12-28,2019-12-29,2020-01-03,,False,,,,,
2020-01-04,2020-01-05,2020-01-10,,False,,,,,
2020-01-11,2020-01-12,2020-01-17,,False,,,,,
2020-01-18,2020-01-19,2020-01-24,,False,,,,,
2020-01-25,2020-01-26,2020-01-31,,False,,,,,
2020-02-01,2020-02-02,2020-02-07,,False,,,,,
2020-02-08,2020-02-09,2020-02-14,,False,,,,,
2020-02-15,2020-02-16,2020-02-21,,False,,,,,
2020-02-22,2020-02-23,2020-02-28,,False,,,,,
2020-02-29,2020-03-01,2020-03-06,,False,,,,,
2020-03-07,2020-03-08,2020-03-13,,False,,,,,
2020-03-14,2020-03-15,2020-03-20,,False,,,,,
2020-03-21,2020-03-22,2020-03-27,,False,,,,,
2020-03-28,2020-03-29,2020-04-03,,False,,,,,
2020-04-04,2020-04-05,2020-04-10,,False,,,,,
2020-04-11,2020-04-12,2020-04-17,,False,,,,,
2020-04-18,2020-04-19,2020-04-24,,False,,,,,
2020-04-25,2020-04-26,2020-05-01,,False,,,,,
2020-05-02,2020-05-03,2020-05-08,,False,,,,,
2020-05-09,2020-05-10,2020-05-15,DOGE,True,62.27983324949121,15.337497927402978,9.705896589596685,0.0,3.0
2020-05-16,2020-05-17,2020-05-22,,False,,,,,
2020-05-23,2020-05-24,2020-05-29,,False,,,,,
2020-05-30,2020-05-31,2020-06-05,ADA,True,244.68955163566258,58.92070698624858,38.92712278907243,0.0,4.0
2020-06-06,2020-06-07,2020-06-12,ADA,True,250.8913926438623,60.41776761162459,39.91618530660635,0.0,4.0
2020-06-13,2020-06-14,2020-06-19,ADA,True,216.77675393847795,48.92510557089347,36.05618936682428,1.1485295081274813,4.0
2020-06-20,2020-06-21,2020-06-26,ADA,True,209.49878644039185,43.16022402839044,36.3985280707414,1.1485295081275062,4.0
2020-06-27,2020-06-28,2020-07-03,ADA,True,212.41795595423787,42.65750259411823,37.316840987054974,1.1485295081274813,4.0
2020-07-04,2020-07-05,2020-07-10,ADA,True,323.7356370564681,64.83456313891958,56.717363558312016,1.1485295081274813,7.0
2020-07-11,2020-07-12,2020-07-17,ADA,True,391.3902156401446,78.36762949754333,68.55610831974724,1.1485295081274813,7.0
2020-07-18,2020-07-19,2020-07-24,ADA,True,385.4520170763936,77.17980101798918,67.5169943586423,1.1485295081274813,7.0
2020-07-25,2020-07-26,2020-07-31,ADA,True,501.4566623883674,100.38441770145386,87.8164244303365,1.1485295081274813,7.0
2020-08-01,2020-08-02,2020-08-07,ADA,True,600.5664873301043,120.20953324879578,105.1594623355175,1.1485295081274813,7.0
2020-08-08,2020-08-09,2020-08-14,ADA,True,705.4647274941711,126.46084672090265,129.03977982449413,1.1485295081274813,7.0
2020-08-15,2020-08-16,2020-08-21,ADA,True,655.9315196046614,128.94336647576984,115.72553294404152,1.1485295081274813,7.0
2020-08-22,2020-08-23,2020-08-28,ADA,True,659.9690969543192,124.43232302202048,118.42656857661194,1.1485295081274813,7.0
2020-08-29,2020-08-30,2020-09-04,ADA,True,302.334301613436,131.11105827040882,26.513344023245537,1.1485295081274813,7.0
2020-09-05,2020-09-06,2020-09-11,ADA,True,273.8107582898075,117.5625365646544,24.46315383199631,1.1485295081274813,7.0
2020-09-12,2020-09-13,2020-09-18,ADA,True,284.44195455443247,118.44091424614943,26.791561267591902,1.1485295081274813,7.0
2020-09-19,2020-09-20,2020-09-25,ADA,True,293.74420256158754,125.17460821710432,26.591988030272603,1.1485295081274813,7.0
2020-09-26,2020-09-27,2020-10-02,ADA,True,294.15374322445956,123.50072732412868,27.322078530856473,1.1485295081274813,7.0
2020-10-03,2020-10-04,2020-10-09,ADA,True,183.01502444066904,122.26712421721892,0.0,1.1485295081274813,7.0
2020-10-10,2020-10-11,2020-10-16,ADA,True,184.8958912287117,123.52103540924736,0.0,1.1485295081274813,7.0
2020-10-17,2020-10-18,2020-10-23,ADA,True,200.64919470903175,134.02323772946073,0.0,1.1485295081274813,7.0
2020-10-24,2020-10-25,2020-10-30,ADA,True,215.4034124511937,143.85938289090203,0.0,1.1485295081274813,7.0
2020-10-31,2020-11-01,2020-11-06,ADA,True,215.4260556490174,143.87447835611783,0.0,1.1485295081274813,7.0
2020-11-07,2020-11-08,2020-11-13,ADA,True,242.29921331108662,161.7899167974973,0.0,1.1485295081274813,7.0
2020-11-14,2020-11-15,2020-11-20,ADA,True,249.85650478946613,166.82811111641698,0.0,1.1485295081274813,7.0
2020-11-21,2020-11-22,2020-11-27,ADA,True,413.63920748728805,276.01657958163156,0.0,1.1485295081274813,7.0
2020-11-28,2020-11-29,2020-12-04,ADA,True,406.15912122422475,271.02985540625605,0.0,1.1485295081274813,7.0
2020-12-05,2020-12-06,2020-12-11,ADA,True,432.41430523760545,288.5333114151765,0.0,1.1485295081274813,7.0
2020-12-12,2020-12-13,2020-12-18,ADA,True,428.2916236494827,285.7848570230947,0.0,1.1485295081274813,7.0
2020-12-19,2020-12-20,2020-12-25,ADA,True,518.3598863445751,345.83036548648965,0.0,1.1485295081274813,7.0
2020-12-26,2020-12-27,2021-01-01,ADA,True,580.863192332845,387.4992361453362,0.0,1.1485295081274813,7.0
2021-01-02,2021-01-03,2021-01-08,ADA,True,729.4480416037701,486.555802325953,0.0,1.1485295081274813,7.0
2021-01-09,2021-01-10,2021-01-15,ADA,True,728.3532910485371,485.8259686224643,0.0,1.1485295081274813,7.0
2021-01-16,2021-01-17,2021-01-22,ADA,True,728.3532910485371,485.8259686224643,0.0,1.1485295081274813,7.0
2021-01-23,2021-01-24,2021-01-29,ADA,True,759.9053186873141,506.8606537149823,0.0,1.1485295081275062,7.0
2021-01-30,2021-01-31,2021-02-05,ADA,True,675.3235840763816,450.4728306410274,0.0,1.148529508127492,7.0
2021-02-06,2021-02-07,2021-02-12,ADA,True,640.4668600064064,427.2350145943773,0.0,1.1485295081275133,7.0
2021-02-13,2021-02-14,2021-02-19,ADA,True,637.5955693133376,424.36371287555846,0.0,0.0,7.0
2021-02-20,2021-02-21,2021-02-26,ADA,True,638.5518220464072,425.00121469760484,0.0,1.0658141036401503e-14,7.0
2021-02-27,2021-02-28,2021-03-05,ADA,True,638.5518220464072,425.00121469760484,0.0,1.0658141036401503e-14,7.0
2021-03-06,2021-03-07,2021-03-12,ADA,True,638.5518220464072,425.00121469760484,0.0,1.0658141036401503e-14,7.0
2021-03-13,2021-03-14,2021-03-19,ADA,True,699.4671822697646,465.6114548465098,0.0,1.0658141036401503e-14,7.0
2021-03-20,2021-03-21,2021-03-26,ADA,True,664.2416721627895,442.1277814418597,0.0,1.0658141036401503e-14,7.0
2021-03-27,2021-03-28,2021-04-02,ADA,True,692.0892349931125,460.6928233287417,0.0,1.0658141036401503e-14,7.0
2021-04-03,2021-04-04,2021-04-09,ADA,True,722.125321154045,480.71688076936334,0.0,1.0658141036401503e-14,7.0
2021-04-10,2021-04-11,2021-04-16,ADA,True,746.6722108651343,497.0814739100896,0.0,1.0658141036401503e-14,7.0
2021-04-17,2021-04-18,2021-04-23,ADA,True,775.8821245623838,516.5547497082558,0.0,1.0658141036401503e-14,7.0
2021-04-24,2021-04-25,2021-04-30,ADA,True,703.3511456361422,468.20076375742815,0.0,1.0658141036401503e-14,7.0
2021-05-01,2021-05-02,2021-05-07,ADA,True,703.3511456361422,468.20076375742815,0.0,1.0658141036401503e-14,7.0
2021-05-08,2021-05-09,2021-05-14,ADA,True,736.2597784746184,490.1398523164123,0.0,0.0,7.0
2021-05-15,2021-05-16,2021-05-21,ADA,True,653.6946185902341,435.09641239348946,0.0,-2.1316282072803006e-14,7.0
2021-05-22,2021-05-23,2021-05-28,ADA,True,668.0655059065366,444.6770039376911,0.0,-2.1316282072803006e-14,7.0
2021-05-29,2021-05-30,2021-06-04,ETH,True,333.6943245636317,87.6233978106485,49.88980696191475,-9.983240864209062,18.0
2021-06-05,2021-06-06,2021-06-11,ETH,True,359.5831097759732,105.08258795220945,49.88980696191475,-9.98324086420903,16.0
2021-06-12,2021-06-13,2021-06-18,ETH,True,373.4204637025166,113.91798457466973,50.110871710127995,-9.98324086420903,14.0
2021-06-19,2021-06-20,2021-06-25,ETH,True,363.04879331021385,112.84655291907222,47.95724098290138,-9.983240864209051,13.0
2021-06-26,2021-06-27,2021-07-02,ETH,True,341.84897441382134,110.06956418245852,43.69865703503339,-9.983240864209044,13.0
2021-07-03,2021-07-04,2021-07-09,ETH,True,335.7170302056174,106.65518947632017,43.446061497784285,-9.983240864209083,13.0
2021-07-10,2021-07-11,2021-07-16,ETH,True,293.9572114389577,88.23723086344825,39.91284128594634,-9.983240864209066,13.0
2021-07-17,2021-07-18,2021-07-23,ETH,True,300.2284884593857,89.59523767862748,40.97140798536112,-9.983240864209051,13.0
2021-07-24,2021-07-25,2021-07-30,ETH,True,242.00643893468288,68.88462148339767,34.1823766773966,-9.983240864209055,13.0
2021-07-31,2021-08-01,2021-08-06,ETH,True,97.72356479762213,57.52407840968897,2.3718617957721673,-9.983240864209066,13.0
2021-08-07,2021-08-08,2021-08-13,ETH,True,83.97075340508873,54.68050227005915,0.0,-9.983240864209044,13.0
2021-08-14,2021-08-15,2021-08-20,ETH,True,83.80922392328013,54.57281594885342,0.0,-7.162187735078561,13.0
2021-08-21,2021-08-22,2021-08-27,ETH,True,89.93677061292804,58.65784707528536,0.0,-7.162187735078589,13.0
2021-08-28,2021-08-29,2021-09-03,ETH,True,85.58044611619307,55.753630744128714,0.0,-7.1621877350785965,13.0
2021-09-04,2021-09-05,2021-09-10,,False,,,,,
2021-09-11,2021-09-12,2021-09-17,,False,,,,,
2021-09-18,2021-09-19,2021-09-24,,False,,,,,
2021-09-25,2021-09-26,2021-10-01,,False,,,,,
2021-10-02,2021-10-03,2021-10-08,,False,,,,,
2021-10-09,2021-10-10,2021-10-15,,False,,,,,
2021-10-16,2021-10-17,2021-10-22,,False,,,,,
2021-10-23,2021-10-24,2021-10-29,,False,,,,,
2021-10-30,2021-10-31,2021-11-05,,False,,,,,
2021-11-06,2021-11-07,2021-11-12,,False,,,,,
2021-11-13,2021-11-14,2021-11-19,,False,,,,,
2021-11-20,2021-11-21,2021-11-26,,False,,,,,
