asset,binance_symbol,cg_rank,cg_id,name,history_days,start_date,end_date,daily_rows,max_gap_days,non_na_close_ratio,file
ETH,ETHUSDT,2,ethereum,Ethereum,2644,2019-01-01,2026-03-28,2644,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\ETHUSDT_1d.csv
BNB,BNBUSDT,4,binancecoin,BNB,2644,2019-01-01,2026-03-28,2644,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\BNBUSDT_1d.csv
XRP,XRPUSDT,5,ripple,XRP,2644,2019-01-01,2026-03-28,2644,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\XRPUSDT_1d.csv
SOL,SOLUSDT,7,solana,Solana,2056,2020-08-11,2026-03-28,2056,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\SOLUSDT_1d.csv
TRX,TRXUSDT,8,tron,TRON,2644,2019-01-01,2026-03-28,2644,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\TRXUSDT_1d.csv
DOGE,DOGEUSDT,10,dogecoin,Dogecoin,2459,2019-07-05,2026-03-28,2459,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\DOGEUSDT_1d.csv
BCH,BCHUSDT,13,bitcoin-cash,Bitcoin Cash,2313,2019-11-28,2026-03-28,2313,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\BCHUSDT_1d.csv
ADA,ADAUSDT,15,cardano,Cardano,2644,2019-01-01,2026-03-28,2644,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\ADAUSDT_1d.csv
LINK,LINKUSDT,18,chainlink,Chainlink,2629,2019-01-16,2026-03-28,2629,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\LINKUSDT_1d.csv
XLM,XLMUSDT,21,stellar,Stellar,2644,2019-01-01,2026-03-28,2644,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\XLMUSDT_1d.csv
LTC,LTCUSDT,24,litecoin,Litecoin,2644,2019-01-01,2026-03-28,2644,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\LTCUSDT_1d.csv
HBAR,HBARUSDT,27,hedera-hashgraph,Hedera,2373,2019-09-29,2026-03-28,2373,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\HBARUSDT_1d.csv
AVAX,AVAXUSDT,29,avalanche-2,Avalanche,2014,2020-09-22,2026-03-28,2014,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\AVAXUSDT_1d.csv
ZEC,ZECUSDT,30,zcash,Zcash,2565,2019-03-21,2026-03-28,2565,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\ZECUSDT_1d.csv
SHIB,SHIBUSDT,31,shiba-inu,Shiba Inu,1784,2021-05-10,2026-03-28,1784,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\SHIBUSDT_1d.csv
SUI,SUIUSDT,32,sui,Sui,1061,2023-05-03,2026-03-28,1061,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\SUIUSDT_1d.csv
TON,TONUSDT,33,the-open-network,Toncoin,598,2024-08-08,2026-03-28,598,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\TONUSDT_1d.csv
TAO,TAOUSDT,35,bittensor,Bittensor,717,2024-04-11,2026-03-28,717,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\TAOUSDT_1d.csv
WLFI,WLFIUSDT,36,world-liberty-financial,World Liberty Financial,209,2025-09-01,2026-03-28,209,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\WLFIUSDT_1d.csv
PAXG,PAXGUSDT,39,pax-gold,PAX Gold,2039,2020-08-28,2026-03-28,2039,1,100.0,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\PAXGUSDT_1d.csv
