asset,selected_days,selected_days_pct,profile
ETH,84,2.9227557411273484,phase67_top100_production_soft_filters
ADA,78,2.7139874739039667,phase67_top100_production_soft_filters
DOGE,60,2.0876826722338206,phase67_top100_production_soft_filters
STX,48,1.6701461377870561,phase67_top100_production_soft_filters
ICP,48,1.6701461377870561,phase67_top100_production_soft_filters
BCH,36,1.2526096033402923,phase67_top100_production_soft_filters
NEO,36,1.2526096033402923,phase67_top100_production_soft_filters
INJ,36,1.2526096033402923,phase67_top100_production_soft_filters
HBAR,24,0.8350730688935281,phase67_top100_production_soft_filters
TRX,18,0.6263048016701461,phase67_top100_production_soft_filters
UNI,12,0.41753653444676403,phase67_top100_production_soft_filters
SOL,12,0.41753653444676403,phase67_top100_production_soft_filters
SHIB,6,0.20876826722338201,phase67_top100_production_soft_filters
