cg_rank,cg_id,symbol,name,market_cap,binance_symbol,base_asset,quote_asset
2,ethereum,ETH,Ethereum,243808964965,ETHUSDT,ETH,USDT
4,binancecoin,BNB,BNB,83992259427,BNBUSDT,BNB,USDT
5,ripple,XRP,XRP,82673048465,XRPUSDT,XRP,USDT
7,solana,SOL,Solana,47659593663,SOLUSDT,SOL,USDT
8,tron,TRX,TRON,30043796779,TRXUSDT,TRX,USDT
10,dogecoin,DOGE,Dogecoin,14237798653,DOGEUSDT,DOGE,USDT
13,bitcoin-cash,BCH,Bitcoin Cash,9660183522,BCHUSDT,BCH,USDT
15,cardano,ADA,Cardano,9218951054,ADAUSDT,ADA,USDT
18,chainlink,LINK,Chainlink,6095614643,LINKUSDT,LINK,USDT
21,stellar,XLM,Stellar,5651097205,XLMUSDT,XLM,USDT
24,litecoin,LTC,Litecoin,4202451923,LTCUSDT,LTC,USDT
27,hedera-hashgraph,HBAR,Hedera,3939877834,HBARUSDT,HBAR,USDT
29,avalanche-2,AVAX,Avalanche,3831822950,AVAXUSDT,AVAX,USDT
30,zcash,ZEC,Zcash,3633004471,ZECUSDT,ZEC,USDT
31,shiba-inu,SHIB,Shiba Inu,3493750096,SHIBUSDT,SHIB,USDT
32,sui,SUI,Sui,3448966411,SUIUSDT,SUI,USDT
33,the-open-network,TON,Toncoin,3080022153,TONUSDT,TON,USDT
35,bittensor,TAO,Bittensor,3052686321,TAOUSDT,TAO,USDT
36,world-liberty-financial,WLFI,World Liberty Financial,2867358082,WLFIUSDT,WLFI,USDT
38,tether-gold,XAUT,Tether Gold,2512768508,XAUTUSDT,XAUT,USDT
39,pax-gold,PAXG,PAX Gold,2314343345,PAXGUSDT,PAXG,USDT
42,uniswap,UNI,Uniswap,2163603712,UNIUSDT,UNI,USDT
43,polkadot,DOT,Polkadot,2143556440,DOTUSDT,DOT,USDT
48,aster-2,ASTER,Aster,1628422766,ASTERUSDT,ASTER,USDT
49,sky,SKY,Sky,1622486058,SKYUSDT,SKY,USDT
51,near,NEAR,NEAR Protocol,1525334285,NEARUSDT,NEAR,USDT
52,aave,AAVE,Aave,1489075846,AAVEUSDT,AAVE,USDT
53,ripple-usd,RLUSD,Ripple USD,1410582427,RLUSDUSDT,RLUSD,USDT
54,pepe,PEPE,Pepe,1406088818,PEPEUSDT,PEPE,USDT
56,ondo-finance,ONDO,Ondo,1341220382,ONDOUSDT,ONDO,USDT
57,bfusd,BFUSD,BFUSD,1318944158,BFUSDUSDT,BFUSD,USDT
59,ethereum-classic,ETC,Ethereum Classic,1274400752,ETCUSDT,ETC,USDT
60,internet-computer,ICP,Internet Computer,1245572960,ICPUSDT,ICP,USDT
65,quant-network,QNT,Quant,1035657145,QNTUSDT,QNT,USDT
66,pump-fun,PUMP,Pump.fun,1020668957,PUMPUSDT,PUMP,USDT
67,polygon-ecosystem-token,POL,POL (ex-MATIC),982207772,POLUSDT,POL,USDT
70,render-token,RENDER,Render,881826083,RENDERUSDT,RENDER,USDT
71,nexo,NEXO,NEXO,875381233,NEXOUSDT,NEXO,USDT
73,midnight-3,NIGHT,Midnight,853009624,NIGHTUSDT,NIGHT,USDT
74,worldcoin-wld,WLD,Worldcoin,842824912,WLDUSDT,WLD,USDT
75,cosmos,ATOM,Cosmos Hub,841963721,ATOMUSDT,ATOM,USDT
76,morpho,MORPHO,Morpho,828614984,MORPHOUSDT,MORPHO,USDT
77,ethena,ENA,Ethena,788301783,ENAUSDT,ENA,USDT
79,aptos,APT,Aptos,749129941,APTUSDT,APT,USDT
81,algorand,ALGO,Algorand,735412731,ALGOUSDT,ALGO,USDT
82,official-trump,TRUMP,Official Trump,697915081,TRUMPUSDT,TRUMP,USDT
84,filecoin,FIL,Filecoin,627768963,FILUSDT,FIL,USDT
91,vechain,VET,VeChain,583131877,VETUSDT,VET,USDT
93,fetch-ai,FET,Artificial Superintelligence Alliance,559377328,FETUSDT,FET,USDT
94,arbitrum,ARB,Arbitrum,554047962,ARBUSDT,ARB,USDT
96,just,JST,JUST,522330826,JSTUSDT,JST,USDT
97,jupiter-exchange-solana,JUP,Jupiter,520157298,JUPUSDT,JUP,USDT
98,bonk,BONK,Bonk,514796194,BONKUSDT,BONK,USDT
99,layerzero,ZRO,LayerZero,509609575,ZROUSDT,ZRO,USDT
103,pancakeswap-token,CAKE,PancakeSwap,455383240,CAKEUSDT,CAKE,USDT
104,virtual-protocol,VIRTUAL,Virtuals Protocol,440493754,VIRTUALUSDT,VIRTUAL,USDT
106,blockstack,STX,Stacks,413572928,STXUSDT,STX,USDT
107,pudgy-penguins,PENGU,Pudgy Penguins,410796832,PENGUUSDT,PENGU,USDT
108,dash,DASH,Dash,408527071,DASHUSDT,DASH,USDT
109,chiliz,CHZ,Chiliz,405491842,CHZUSDT,CHZ,USDT
