model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,candidate_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,asset,trigger_days,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct,delta_vs_phase66g_cagr_pct,delta_vs_phase66g_max_drawdown_pct,delta_vs_phase66g_since2021_cagr_pct,delta_vs_phase66g_since2023_cagr_pct,delta_vs_phase66g_since2025_cagr_pct,forensic_score,keep_candidate,file,history_days,start_date,end_date,cg_rank,name
asset_DOGE,2888,38689.57104275464,112.5195767418298,-33.45815502995445,1.616063545641569,2.167539208725282,42.1398891966759,8.102493074792244,48.44182825484765,1.3157894736842104,845,1965.0360178505484,78.1548109482726,-33.45815502995444,1773.3346077471087,146.7490519596771,-28.456440894775536,149.9093451554409,108.94027003726592,-20.80923724935961,DOGE,38,11.6125069984124,-2.842170943040401e-14,10.573572471911177,23.230288171976,0.0,-0.41749005644253145,-9.858122034397507,-0.2900738454359697,12.676536434910133,0.0,19.02070959273923,True,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\DOGEUSDT_1d.csv,2462,2019-07-05,2026-03-31,10,Dogecoin
asset_NEO,2888,28341.281964863636,104.34070805125408,-36.49774626980161,1.5072034011688316,1.9754416539844522,42.1398891966759,7.998614958448753,49.23822714681441,0.6232686980609419,845,1690.4837754983482,73.37256870535029,-36.49774626980155,1785.6950823708014,147.24973001913483,-25.866176348777426,149.9093451554409,108.94027003726592,-20.80923724935961,NEO,18,3.433638307836688,-3.0395912398471907,5.791330228988869,23.730966231433726,0.0,-8.596358747018243,-12.89771327424467,-5.072316088358278,13.17721449436786,0.0,10.019442277170675,True,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\NEOUSDT_1d.csv,2647,2019-01-01,2026-03-31,179,NEO
asset_STX,2888,30441.585001627864,106.19029947910504,-33.81810302299234,1.522670693290586,2.0752506579898293,42.07063711911358,8.206371191135734,48.961218836565095,0.7617728531855956,840,1739.6911933398396,74.27141372082924,-33.81810302299232,1568.9089925115898,138.1155658675287,-33.81810302299236,149.9093451554409,108.94027003726592,-20.80923724935961,STX,22,5.283229735687641,-0.35994799303792036,6.690175244467824,14.596802079827583,0.0,-6.74676731916729,-10.218070027435399,-4.173471072879323,4.043050342761717,0.0,-4.791508650105095,True,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\STXUSDT_1d.csv,2350,2019-10-25,2026-03-31,106,Stacks
asset_BCH,2888,26840.504743729565,102.9445146053622,-33.45815502995442,1.5366173215496268,2.0408293926225047,42.1398891966759,8.102493074792244,48.61495844875346,1.1426592797783934,847,1522.7779048968084,70.15080613750446,-33.45815502995444,1372.1321970426504,129.08345915876467,-26.04847263644432,162.30296538582226,117.2369176659104,-20.80923724935961,BCH,33,2.037444861944806,0.0,2.56956766114304,5.564695371063564,8.296647628644479,-9.992552192910125,-9.858122034397478,-8.294078656204107,-4.989056366002302,8.296647628644479,-15.514728609747618,True,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\BCHUSDT_1d.csv,2316,2019-11-28,2026-03-31,13,Bitcoin Cash
asset_APT,2888,27700.557620424497,103.75270062256897,-33.45815502995442,1.5432863223006559,2.036405121467807,42.03601108033241,8.414127423822714,49.23822714681441,0.31163434903047094,840,1574.5837199184539,71.17371113487361,-33.45815502995444,1419.1287749830317,131.31316864877118,-26.254550371266383,149.9093451554409,108.94027003726592,-20.80923724935961,APT,9,2.845630879151571,0.0,3.592472658512193,7.794404861070078,0.0,-9.18436617570336,-9.858122034397478,-7.271173658834954,-2.7593468759957887,0.0,-20.617933148333424,True,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\APTUSDT_1d.csv,1260,2022-10-19,2026-03-31,79,Aptos
asset_XTZ,2888,25294.53310459573,101.4333431848403,-33.45815502995446,1.5250902832428015,1.9905493151467406,42.1398891966759,8.206371191135734,49.445983379501385,0.20775623268698062,844,1469.7820257940152,69.07668325065228,-33.45815502995444,1324.0560310421238,126.75097795296755,-25.866176348777437,149.9093451554409,108.94027003726592,-20.80923724935961,XTZ,6,0.5262734414229016,-4.263256414560601e-14,1.4954447742908599,3.2322141652664413,0.0,-11.50372361343203,-9.858122034397521,-9.368201543056287,-7.321537571799425,0.0,-32.06167197766939,True,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\XTZUSDT_1d.csv,2381,2019-09-24,2026-03-31,112,Tezos
asset_ICP,2888,25827.382280013866,101.96305767455591,-33.45815502995442,1.5266792706419896,1.996762261822646,42.1398891966759,8.310249307479225,49.06509695290859,0.48476454293628807,836,1461.7518489742667,68.91137607135256,-33.45815502995444,1316.771311544389,126.39281821085552,-24.084105825817602,149.9093451554409,108.94027003726592,-20.80923724935961,ICP,14,1.0559879311385174,0.0,1.3301375949911431,2.874054423154419,0.0,-10.974009123716414,-9.858122034397478,-9.533508722356004,-7.679697313911447,0.0,-32.24827697217779,True,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\ICPUSDT_1d.csv,1786,2021-05-11,2026-03-31,60,Internet Computer
asset_CHZ,2888,28128.896753088564,104.14709090384532,-33.458155029954426,1.5442124694229447,2.0168900565854266,42.1398891966759,8.206371191135734,49.06509695290859,0.5886426592797784,841,1382.3841218345856,67.23939901433509,-33.45815502995444,1244.7714487314668,122.78240717974684,-25.866176348777348,149.9093451554409,108.94027003726592,-20.80923724935961,CHZ,17,3.240021160427929,-7.105427357601002e-15,-0.34183946202632853,-0.7363566079542636,0.0,-8.789975894427002,-9.858122034397486,-11.205485779373475,-11.29010834502013,0.0,-37.28506580510575,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\CHZUSDT_1d.csv,2396,2019-09-06,2026-03-28,109,Chiliz
asset_SUI,2888,24774.6433083277,100.9070697434174,-33.45815502995442,1.52202514444748,2.0027980750254213,42.1398891966759,8.414127423822714,49.445983379501385,0.0,844,1398.3394682810722,67.58123847636142,-33.45815502995444,1259.2456285609821,123.5187637877011,-25.866176348777348,149.9093451554409,108.94027003726592,-20.80923724935961,SUI,0,0.0,0.0,0.0,0.0,0.0,-12.029997054854931,-9.858122034397478,-10.863646317347147,-10.553751737065866,0.0,-39.05237374962515,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\SUIUSDT_1d.csv,1061,2023-05-03,2026-03-28,32,Sui
asset_TON,2888,24774.6433083277,100.9070697434174,-33.45815502995442,1.52202514444748,2.0027980750254213,42.1398891966759,8.414127423822714,49.445983379501385,0.0,844,1398.3394682810722,67.58123847636142,-33.45815502995444,1259.2456285609821,123.5187637877011,-25.866176348777348,149.9093451554409,108.94027003726592,-20.80923724935961,TON,0,0.0,0.0,0.0,0.0,0.0,-12.029997054854931,-9.858122034397478,-10.863646317347147,-10.553751737065866,0.0,-39.05237374962515,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\TONUSDT_1d.csv,598,2024-08-08,2026-03-28,33,Toncoin
