profile,decision_date,period_start,period_end,incumbent_asset_before,incumbent_hold_periods_before,selected_asset,selected,keep_reason,best_passed_asset,best_passed_score
phase67b_top100_pruned_soft_filters,2019-05-05,2019-05-06,2019-05-11,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-05-12,2019-05-13,2019-05-18,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-05-19,2019-05-20,2019-05-25,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-05-26,2019-05-27,2019-06-01,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-06-02,2019-06-03,2019-06-08,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-06-09,2019-06-10,2019-06-15,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-06-16,2019-06-17,2019-06-22,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-06-23,2019-06-24,2019-06-29,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-06-30,2019-07-01,2019-07-06,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-07-07,2019-07-08,2019-07-13,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-07-14,2019-07-15,2019-07-20,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-07-21,2019-07-22,2019-07-27,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-07-28,2019-07-29,2019-08-03,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-08-04,2019-08-05,2019-08-10,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-08-11,2019-08-12,2019-08-17,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-08-18,2019-08-19,2019-08-24,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-08-25,2019-08-26,2019-08-31,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-09-01,2019-09-02,2019-09-07,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-09-08,2019-09-09,2019-09-14,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-09-15,2019-09-16,2019-09-21,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-09-22,2019-09-23,2019-09-28,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-09-29,2019-09-30,2019-10-05,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-10-06,2019-10-07,2019-10-12,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-10-13,2019-10-14,2019-10-19,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-10-20,2019-10-21,2019-10-26,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-10-27,2019-10-28,2019-11-02,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-11-03,2019-11-04,2019-11-09,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-11-10,2019-11-11,2019-11-16,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-11-17,2019-11-18,2019-11-23,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-11-24,2019-11-25,2019-11-30,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-12-01,2019-12-02,2019-12-07,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-12-08,2019-12-09,2019-12-14,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-12-15,2019-12-16,2019-12-21,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-12-22,2019-12-23,2019-12-28,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2019-12-29,2019-12-30,2020-01-04,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-01-05,2020-01-06,2020-01-11,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-01-12,2020-01-13,2020-01-18,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-01-19,2020-01-20,2020-01-25,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-01-26,2020-01-27,2020-02-01,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2020-02-02,2020-02-03,2020-02-08,,0,,False,best_passed,,
