profile,decision_date,asset,state,state_weeks,history_days,max_gap_days,non_na_close_ratio,admission_train_delta_pct,admission_recent_delta_pct,admission_dd_worsen_pct,admission_trigger_days,admission_quality_score,admission_eligible
phase68_dynamic_admit_base,2019-05-04,2Z,WATCHLIST,1,178,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,AAVE,WATCHLIST,1,1991,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,ADA,WATCHLIST,1,2644,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,ALGO,WATCHLIST,1,2472,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,APT,WATCHLIST,1,1257,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,ARB,WATCHLIST,1,1102,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,ASTER,WATCHLIST,1,174,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,ATOM,WATCHLIST,1,2526,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,AVAX,WATCHLIST,1,2014,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,AXS,WATCHLIST,1,1971,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,BCH,WATCHLIST,1,2313,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,BFUSD,WATCHLIST,1,228,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,BNB,WATCHLIST,1,2644,1,100.0,23.702238230622605,23.702238230622605,-3.297386343070219,20,104.68451248014607,True
phase68_dynamic_admit_base,2019-05-04,BONK,WATCHLIST,1,835,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,CAKE,WATCHLIST,1,1864,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,CFX,WATCHLIST,1,1826,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,CHZ,WATCHLIST,1,2396,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,COMP,WATCHLIST,1,2103,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,CRV,WATCHLIST,1,2052,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,DASH,WATCHLIST,1,2558,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,DCR,WATCHLIST,1,2068,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,DEXE,WATCHLIST,1,1710,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,DOGE,WATCHLIST,1,2459,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,DOT,WATCHLIST,1,2049,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,ENA,WATCHLIST,1,726,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,ENS,WATCHLIST,1,1600,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,ETC,WATCHLIST,1,2644,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,ETH,SUSPENDED,1,2644,1,100.0,-16.90194079437577,-16.90194079437577,-11.437611642252145,16,-68.28324837609702,False
phase68_dynamic_admit_base,2019-05-04,ETHFI,WATCHLIST,1,741,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,FET,WATCHLIST,1,2586,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,FF,WATCHLIST,1,181,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,FIL,WATCHLIST,1,1991,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,FLOKI,WATCHLIST,1,1059,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,FRAX,WATCHLIST,1,73,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,GNO,WATCHLIST,1,1672,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,GRT,WATCHLIST,1,1928,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,HBAR,WATCHLIST,1,2373,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,ICP,WATCHLIST,1,1783,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,INJ,WATCHLIST,1,1985,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,IOTA,SUSPENDED,1,2644,1,100.0,-11.172766895547007,-11.172766895547007,-7.621245113528685,3,-45.234259306074776,False
phase68_dynamic_admit_base,2019-05-04,JASMY,WATCHLIST,1,1588,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,JST,WATCHLIST,1,2056,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,JUP,WATCHLIST,1,788,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,KAIA,WATCHLIST,1,514,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,KITE,WATCHLIST,1,146,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,LDO,WATCHLIST,1,1420,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,LINK,WATCHLIST,1,2629,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,LTC,WATCHLIST,1,2644,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,LUNC,WATCHLIST,1,1297,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,MANA,WATCHLIST,1,2061,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,MORPHO,WATCHLIST,1,177,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,NEAR,WATCHLIST,1,1992,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,NEO,SUSPENDED,1,2644,1,100.0,-17.736205708177955,-17.736205708177955,-12.732407641013255,7,-72.72887425975631,False
phase68_dynamic_admit_base,2019-05-04,NEXO,WATCHLIST,1,1430,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,NIGHT,WATCHLIST,1,18,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,ONDO,WATCHLIST,1,352,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,OP,WATCHLIST,1,1397,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,PAXG,WATCHLIST,1,2039,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,PENDLE,WATCHLIST,1,1000,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,PENGU,WATCHLIST,1,467,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,PEPE,WATCHLIST,1,1059,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,POL,WATCHLIST,1,562,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,PUMP,WATCHLIST,1,199,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,PYTH,WATCHLIST,1,786,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,QNT,WATCHLIST,1,1704,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,RENDER,WATCHLIST,1,611,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,RLUSD,WATCHLIST,1,66,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,S,WATCHLIST,1,437,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,SAND,WATCHLIST,1,2053,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,SEI,WATCHLIST,1,957,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,SHIB,WATCHLIST,1,1784,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,SKY,WATCHLIST,1,193,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,SOL,WATCHLIST,1,2056,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,STRK,WATCHLIST,1,768,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,STX,WATCHLIST,1,2347,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,SUI,WATCHLIST,1,1061,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,SUN,WATCHLIST,1,2015,4,100.0,0.0,0.0,0.0,0,1.8,False
phase68_dynamic_admit_base,2019-05-04,SYRUP,WATCHLIST,1,327,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,TAO,WATCHLIST,1,717,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,THETA,WATCHLIST,1,2545,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,TIA,WATCHLIST,1,880,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,TON,WATCHLIST,1,598,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,TRUMP,WATCHLIST,1,434,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,TRX,SUSPENDED,1,2644,1,100.0,-17.11502322172678,-17.11502322172678,-11.864408081773304,7,-70.08884869233881,False
phase68_dynamic_admit_base,2019-05-04,TWT,WATCHLIST,1,1887,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,UNI,WATCHLIST,1,2019,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,VET,SUSPENDED,1,2644,1,100.0,-10.773110709182145,-10.773110709182145,-6.724983251934603,12,-42.63572051402411,False
phase68_dynamic_admit_base,2019-05-04,VIRTUAL,WATCHLIST,1,352,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,WAL,WATCHLIST,1,170,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,WIF,WATCHLIST,1,754,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,WLD,WATCHLIST,1,979,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,WLFI,WATCHLIST,1,209,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,XAUT,WATCHLIST,1,3,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,XLM,SUSPENDED,1,2644,1,100.0,-11.287564430209063,-11.287564430209063,-9.03115920147338,3,-45.72214882838852,False
phase68_dynamic_admit_base,2019-05-04,XPL,WATCHLIST,1,185,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,XRP,WATCHLIST,1,2644,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,XTZ,WATCHLIST,1,2378,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,ZEC,WATCHLIST,1,2565,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,ZK,WATCHLIST,1,650,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-04,ZRO,WATCHLIST,1,647,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,2Z,WATCHLIST,2,178,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,AAVE,WATCHLIST,2,1991,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,ADA,WATCHLIST,2,2644,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,ALGO,WATCHLIST,2,2472,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,APT,WATCHLIST,2,1257,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,ARB,WATCHLIST,2,1102,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,ASTER,WATCHLIST,2,174,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,ATOM,WATCHLIST,2,2526,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,AVAX,WATCHLIST,2,2014,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,AXS,WATCHLIST,2,1971,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,BCH,WATCHLIST,2,2313,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,BFUSD,WATCHLIST,2,228,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,BNB,APPROVED,1,2644,1,100.0,5.353860026855912,5.265974398520207,-4.212879599223452,24,26.840248229130513,True
phase68_dynamic_admit_base,2019-05-11,BONK,WATCHLIST,2,835,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,CAKE,WATCHLIST,2,1864,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,CFX,WATCHLIST,2,1826,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,CHZ,WATCHLIST,2,2396,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,COMP,WATCHLIST,2,2103,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,CRV,WATCHLIST,2,2052,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,DASH,WATCHLIST,2,2558,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,DCR,WATCHLIST,2,2068,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,DEXE,WATCHLIST,2,1710,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,DOGE,WATCHLIST,2,2459,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,DOT,WATCHLIST,2,2049,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,ENA,WATCHLIST,2,726,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,ENS,WATCHLIST,2,1600,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,ETC,WATCHLIST,2,2644,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,ETH,SUSPENDED,2,2644,1,100.0,-19.479157667698253,-19.1593999597103,-11.437611642252145,16,-78.27714696375371,False
phase68_dynamic_admit_base,2019-05-11,ETHFI,WATCHLIST,2,741,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,FET,WATCHLIST,2,2586,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,FF,WATCHLIST,2,181,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,FIL,WATCHLIST,2,1991,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,FLOKI,WATCHLIST,2,1059,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,FRAX,WATCHLIST,2,73,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,GNO,WATCHLIST,2,1672,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,GRT,WATCHLIST,2,1928,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,HBAR,WATCHLIST,2,2373,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,ICP,WATCHLIST,2,1783,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,INJ,WATCHLIST,2,1985,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,IOTA,SUSPENDED,2,2644,1,100.0,-12.876396302087372,-12.665025408184398,-7.621245113528685,3,-51.84057160216241,False
phase68_dynamic_admit_base,2019-05-11,JASMY,WATCHLIST,2,1588,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,JST,WATCHLIST,2,2056,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,JUP,WATCHLIST,2,788,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,KAIA,WATCHLIST,2,514,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,KITE,WATCHLIST,2,146,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,LDO,WATCHLIST,2,1420,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,LINK,WATCHLIST,2,2629,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,LTC,WATCHLIST,2,2644,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,LUNC,WATCHLIST,2,1297,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,MANA,WATCHLIST,2,2061,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,MORPHO,WATCHLIST,2,177,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,NEAR,WATCHLIST,2,1992,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,NEO,SUSPENDED,2,2644,1,100.0,-20.440631736876718,-20.105091070000427,-12.732407641013255,7,-83.21606288109717,False
phase68_dynamic_admit_base,2019-05-11,NEXO,WATCHLIST,2,1430,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,NIGHT,WATCHLIST,2,18,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,ONDO,WATCHLIST,2,352,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,OP,WATCHLIST,2,1397,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,PAXG,WATCHLIST,2,2039,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,PENDLE,WATCHLIST,2,1000,1,100.0,0.0,0.0,0.0,0,1.95,False
phase68_dynamic_admit_base,2019-05-11,PENGU,WATCHLIST,2,467,1,100.0,0.0,0.0,0.0,0,1.95,False
