model,target_leverage,trend_activation_threshold,stress_off_threshold,stress_on_threshold,annual_borrow_cost_pct,cagr_pct,max_drawdown_pct,calmar,since2023_cagr_pct,since2025_cagr_pct,worst_day_pct,borrow_cost_total_pct,eligible_days,eligible_days_pct,leverage_active_days,leverage_active_days_pct,switch_days_forced_1x,entry_buffer_days_forced_1x,trend_block_days,stress_block_days,selection_count,switch_count,unique_selected_assets,held_asset_now,latest_available_date,delta_vs_realistic_baseline_cagr_pct,delta_vs_realistic_baseline_max_drawdown_pct,delta_vs_realistic_baseline_calmar,delta_vs_realistic_baseline_since2023_cagr_pct,delta_vs_realistic_baseline_since2025_cagr_pct,delta_vs_realistic_baseline_worst_day_pct,delta_vs_realistic_baseline_borrow_cost_total_pct,passes_success_rule
phase68d_1p50x_act_D,1.5,0.0,-0.06,-0.02,12.0,129.92,-23.6,5.5052,150.5,113.55,-13.47,0.8871,54,1.87,54,1.87,45,45,83,43,270,90,4,CASH,2026-03-30,16.929999999999993,0.0,0.7174000000000005,16.25999999999999,0.0,0.0,0.8871,False
phase68d_1p50x_act_A,1.5,-0.05,-0.06,-0.02,12.0,129.9,-23.6,5.5041,150.43,113.55,-13.47,0.9035,55,1.9,55,1.9,45,45,79,46,270,90,4,CASH,2026-03-30,16.91000000000001,0.0,0.7163000000000004,16.189999999999998,0.0,0.0,0.9035,False
phase68d_1p50x_act_G,1.5,0.05,-0.06,-0.02,12.0,129.59,-23.6,5.4912,151.05,113.55,-13.47,0.8542,52,1.8,52,1.8,45,45,86,42,270,90,4,CASH,2026-03-30,16.60000000000001,0.0,0.7034000000000002,16.810000000000002,0.0,0.0,0.8542,False
phase68d_1p50x_act_J,1.5,0.1,-0.06,-0.02,12.0,129.14,-23.6,5.4718,149.83,113.55,-13.47,0.8049,49,1.7,49,1.7,45,45,92,39,270,90,4,CASH,2026-03-30,16.14999999999999,0.0,0.6840000000000002,15.590000000000003,0.0,0.0,0.8049,False
phase68d_1p50x_act_B,1.5,-0.05,-0.08,-0.04,12.0,128.01,-24.43,5.2398,152.22,113.55,-13.47,1.1992,73,2.53,73,2.53,45,45,79,28,270,90,4,CASH,2026-03-30,15.019999999999996,-0.8299999999999983,0.45199999999999996,17.97999999999999,0.0,0.0,1.1992,False
phase68d_1p50x_act_C,1.5,-0.05,-0.1,-0.06,12.0,126.24,-24.43,5.1676,148.33,113.55,-13.47,1.4292,87,3.01,87,3.01,45,45,79,14,270,90,4,CASH,2026-03-30,13.25,-0.8299999999999983,0.37980000000000036,14.090000000000003,0.0,0.0,1.4292,False
phase68d_1p50x_act_E,1.5,0.0,-0.08,-0.04,12.0,127.86,-24.89,5.1372,152.29,113.55,-13.47,1.1663,71,2.46,71,2.46,45,45,83,26,270,90,4,CASH,2026-03-30,14.870000000000005,-1.2899999999999991,0.34940000000000015,18.049999999999983,0.0,0.0,1.1663,False
phase68d_1p50x_act_H,1.5,0.05,-0.08,-0.04,12.0,127.46,-25.06,5.0861,152.84,113.55,-13.47,1.117,68,2.35,68,2.35,45,45,86,26,270,90,4,CASH,2026-03-30,14.469999999999999,-1.4599999999999973,0.29830000000000023,18.599999999999994,0.0,0.0,1.117,False
phase68d_1p50x_act_K,1.5,0.1,-0.08,-0.04,12.0,127.01,-25.06,5.068,151.62,113.55,-13.47,1.0678,65,2.25,65,2.25,45,45,92,23,270,90,4,CASH,2026-03-30,14.02000000000001,-1.4599999999999973,0.2801999999999998,17.379999999999995,0.0,0.0,1.0678,False
phase68d_1p50x_act_F,1.5,0.0,-0.1,-0.06,12.0,126.04,-24.89,5.0644,148.27,113.55,-13.47,1.3799,84,2.91,84,2.91,45,45,83,13,270,90,4,CASH,2026-03-30,13.050000000000011,-1.2899999999999991,0.2766000000000002,14.030000000000001,0.0,0.0,1.3799,False
phase68d_1p50x_act_L,1.5,0.1,-0.1,-0.06,12.0,125.81,-25.06,5.0202,149.23,113.55,-13.47,1.232,75,2.6,75,2.6,45,45,92,13,270,90,4,CASH,2026-03-30,12.820000000000007,-1.4599999999999973,0.23240000000000016,14.98999999999998,0.0,0.0,1.232,False
phase68d_1p50x_act_I,1.5,0.05,-0.1,-0.06,12.0,125.65,-25.06,5.0139,148.81,113.55,-13.47,1.3306,81,2.8,81,2.8,45,45,86,13,270,90,4,CASH,2026-03-30,12.66000000000001,-1.4599999999999973,0.22609999999999975,14.569999999999993,0.0,0.0,1.3306,False
phase68d_66g_1p00x_realistic_baseline,1.0,0.1,-0.08,-0.04,12.0,112.99,-23.6,4.7878,134.24,113.55,-13.47,0.0,65,2.25,0,0.0,45,45,92,23,270,90,4,CASH,2026-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
