model,mode,target_leverage,annual_borrow_cost_pct,tradable_transition_slippage_bps,trend_activation_threshold,dynamic_mid_threshold,dynamic_mid_leverage,dynamic_high_leverage,stress_off_threshold,stress_on_threshold,cagr_pct,max_drawdown_pct,calmar,since2023_cagr_pct,since2025_cagr_pct,worst_day_pct,borrow_cost_total_pct,tradable_slippage_cost_total_pct,governance_switch_count,exposure_days,asset_transition_count,tradable_transition_count,eligible_days,leverage_active_days,leverage_1p00_days,leverage_1p25_days,leverage_1p50_days,trend_block_days,stress_block_days,held_asset_now,latest_available_date,scenario_id,scenario_borrow_cost_pct,scenario_slippage_bps
phase68i_66g_1p00x_baseline,static,1.0,12.0,10.0,0.1,0.5,1.25,1.5,-0.08,-0.04,112.91,-23.68,4.769,134.1,113.55,-13.47,0.0,0.3,3,2888,90,3,516,0,2888,0,0,2000,229,BASELINE_RISK,2026-03-30,bc12_sl10,12.0,10.0
phase68i_66g_1p25x_static,static,1.25,12.0,10.0,0.1,0.5,1.25,1.5,-0.08,-0.04,150.66,-25.74,5.8532,178.0,171.15,-13.47,4.2382,0.3,3,2888,90,3,516,516,2372,516,0,2000,229,BASELINE_RISK,2026-03-30,bc12_sl10,12.0,10.0
phase68i_66g_1p50x_static,static,1.5,12.0,10.0,0.1,0.5,1.25,1.5,-0.08,-0.04,193.65,-28.02,6.9101,228.69,241.96,-13.47,8.4764,0.3,3,2888,90,3,516,516,2372,0,516,2000,229,BASELINE_RISK,2026-03-30,bc12_sl10,12.0,10.0
phase68i_dynamic_ladder_candidate,dynamic,,12.0,10.0,0.1,0.5,1.25,1.5,-0.08,-0.04,189.13,-27.24,6.9439,218.48,223.19,-13.47,7.6879,0.3,3,2888,90,3,516,516,2372,96,420,2000,229,BASELINE_RISK,2026-03-30,bc12_sl10,12.0,10.0
phase68i_66g_1p00x_baseline,static,1.0,12.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,112.83,-23.75,4.7503,133.95,113.55,-13.47,0.0,0.6,3,2888,90,3,516,0,2888,0,0,2000,229,BASELINE_RISK,2026-03-30,bc12_sl20,12.0,20.0
phase68i_66g_1p25x_static,static,1.25,12.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,150.57,-25.74,5.8495,177.83,171.15,-13.47,4.2382,0.6,3,2888,90,3,516,516,2372,516,0,2000,229,BASELINE_RISK,2026-03-30,bc12_sl20,12.0,20.0
phase68i_66g_1p50x_static,static,1.5,12.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,193.54,-28.02,6.9061,228.49,241.96,-13.47,8.4764,0.6,3,2888,90,3,516,516,2372,0,516,2000,229,BASELINE_RISK,2026-03-30,bc12_sl20,12.0,20.0
phase68i_dynamic_ladder_candidate,dynamic,,12.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,189.02,-27.24,6.9399,218.28,223.19,-13.47,7.6879,0.6,3,2888,90,3,516,516,2372,96,420,2000,229,BASELINE_RISK,2026-03-30,bc12_sl20,12.0,20.0
phase68i_66g_1p00x_baseline,static,1.0,12.0,30.0,0.1,0.5,1.25,1.5,-0.08,-0.04,112.75,-23.83,4.7317,133.81,113.55,-13.47,0.0,0.9,3,2888,90,3,516,0,2888,0,0,2000,229,BASELINE_RISK,2026-03-30,bc12_sl30,12.0,30.0
phase68i_66g_1p25x_static,static,1.25,12.0,30.0,0.1,0.5,1.25,1.5,-0.08,-0.04,150.47,-25.74,5.8458,177.66,171.15,-13.47,4.2382,0.9,3,2888,90,3,516,516,2372,516,0,2000,229,BASELINE_RISK,2026-03-30,bc12_sl30,12.0,30.0
