metric,baseline_model,baseline_value,probe_model,probe_value,delta_probe_minus_baseline
cagr_pct,phase67j_no_neo_main,140.35521107916287,phase68l_early_entry_soft_gate_probe,140.35710454051005,0.0018934613471799366
max_drawdown_pct,phase67j_no_neo_main,-26.163554706001946,phase68l_early_entry_soft_gate_probe,-26.163554706001946,0.0
since2023_cagr_pct,phase67j_no_neo_main,198.1911191350214,phase68l_early_entry_soft_gate_probe,198.19682999519372,0.005710860172314369
since2025_cagr_pct,phase67j_no_neo_main,107.26982063318093,phase68l_early_entry_soft_gate_probe,107.26982063318093,0.0
calmar,phase67j_no_neo_main,5.364531412352972,phase68l_early_entry_soft_gate_probe,5.364603782539992,7.237018701999887e-05
early_setup_ready_days,phase67j_no_neo_main,0.0,phase68l_early_entry_soft_gate_probe,4.0,4.0
early_entry_days,phase67j_no_neo_main,0.0,phase68l_early_entry_soft_gate_probe,1.0,1.0
avg_lead_days_vs_full_entry,phase67j_no_neo_main,0.0,phase68l_early_entry_soft_gate_probe,0.0,0.0
false_start_count,phase67j_no_neo_main,0.0,phase68l_early_entry_soft_gate_probe,1.0,1.0
captured_pre_breakout_return_pct,phase67j_no_neo_main,0.0,phase68l_early_entry_soft_gate_probe,0.0,0.0
cash_days,phase67j_no_neo_main,2840.0,phase68l_early_entry_soft_gate_probe,2839.0,-1.0
early_risk_days,phase67j_no_neo_main,0.0,phase68l_early_entry_soft_gate_probe,1.0,1.0
full_risk_days,phase67j_no_neo_main,53.0,phase68l_early_entry_soft_gate_probe,53.0,0.0
risk_state_transition_count,phase67j_no_neo_main,26.0,phase68l_early_entry_soft_gate_probe,27.0,1.0
cash_to_early_transition_count,phase67j_no_neo_main,0.0,phase68l_early_entry_soft_gate_probe,0.0,0.0
early_to_full_transition_count,phase67j_no_neo_main,0.0,phase68l_early_entry_soft_gate_probe,0.0,0.0
early_to_cash_transition_count,phase67j_no_neo_main,0.0,phase68l_early_entry_soft_gate_probe,1.0,1.0
