window,train_start,train_end,test_start,test_end,market_score_floor,min_confidence,max_yz_vol,max_atr_pct,weight_mode,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count
1,2018-05-04,2020-04-22,2020-04-23,2020-10-19,10.0,35.0,0.7,70.0,scaled,33.69,50.16,-10.94,1.788,1.977,93
2,2018-10-31,2020-10-19,2020-10-20,2021-04-17,10.0,35.0,0.7,70.0,scaled,84.87,136.38,-7.87,3.841,4.665,86
3,2019-04-29,2021-04-17,2021-04-18,2021-10-14,-15.0,35.0,0.7,70.0,full,-13.72,-18.67,-19.19,-0.604,-0.245,11
4,2019-10-26,2021-10-14,2021-10-15,2022-04-12,-15.0,35.0,0.7,70.0,full,28.34,41.81,-19.58,1.36,1.208,13
5,2020-04-23,2022-04-12,2022-04-13,2022-10-09,-15.0,35.0,0.7,70.0,full,0.0,0.0,0.0,0.0,0.0,0
6,2020-10-20,2022-10-09,2022-10-10,2023-04-07,10.0,35.0,0.7,70.0,full,1.88,2.64,-4.14,0.285,0.187,1
7,2021-04-18,2023-04-07,2023-04-08,2023-10-04,10.0,35.0,0.7,70.0,scaled,-11.37,-15.55,-16.22,-1.313,-0.732,41
8,2021-10-15,2023-10-04,2023-10-05,2024-04-01,-15.0,35.0,0.7,70.0,full,92.95,150.97,-17.8,2.741,4.232,19
9,2022-04-13,2024-04-01,2024-04-02,2024-09-28,-15.0,35.0,0.7,70.0,full,-20.37,-27.3,-27.63,-1.324,-0.954,12
10,2022-10-10,2024-09-28,2024-09-29,2025-03-27,10.0,35.0,0.7,70.0,scaled,3.19,4.49,-11.41,0.324,0.371,83
11,2023-04-08,2025-03-27,2025-03-28,2025-09-23,10.0,35.0,0.7,70.0,full,76.12,120.86,-14.19,2.263,2.8,10
