asset,first,last,rows
BTC,2017-08-17,2026-08-19,3290
ETH,2017-08-17,2026-08-19,3290
BNB,2017-11-06,2026-08-19,3209
XRP,2018-05-04,2026-08-19,3030
SOL,2020-08-11,2026-08-19,2200
ADA,2018-04-17,2026-08-19,3047
DOGE,2019-07-05,2026-08-19,2603
LINK,2019-01-16,2026-08-19,2773
AVAX,2020-09-22,2026-08-19,2158
LTC,2017-12-13,2026-08-19,3172
TRX,2018-06-11,2026-08-19,2992
DOT,2020-08-18,2026-08-19,2193
APT,2022-10-19,2026-08-19,1401
BCH,2019-11-28,2026-04-06,2322
ICP,2021-05-11,2026-04-06,1792
STX,2019-10-25,2026-08-19,2491
XTZ,2019-09-24,2026-04-06,2387
NEO,2019-01-01,2026-08-19,2788
HBAR,2019-09-29,2026-08-19,2517
