strategy,cagr,mdd,sharpe,calmar,turnover,costs,fee,slippage,funding,trades,median_holding,profitable_folds,fold_count,worst_fold,without_best_day,without_three_trades,liquidations,total_log_growth
phase61_core_rotation,0.443574522873,0.508729348193,0.761650843996,0.871926348359,56.4075232423,0.254170741318,0.0507667709181,0.112815735106,0.0905882352941,63,3,2,3,0,0.0680220596133,-0.0634558176758,0,0.82018298088
phase62_btc_overlay_default,0.152898317812,0.433780332694,0.553304111291,0.352478677081,52.8472302225,0.259140050203,0.0475625072003,0.105695190062,0.105882352941,59,2,2,3,0,0.0654257340769,-0.190436925358,0,0.317863664068
phase63_btc_participation,0.47059053497,0.508729348193,0.785662523834,0.925031230539,58.2071292991,0.271154362261,0.0523864163692,0.116415004716,0.102352941176,65,3,2,3,0,0.0880097335612,-0.0459287080195,0,0.861606736169
phase66g_production_soft_filters,0.432931704756,0.508729348193,0.752364304625,0.851005954922,60.8909711018,0.280996350869,0.0548018739916,0.121782712172,0.104411764706,68,3,2,3,0,0.0601480189279,-0.0703605317956,0,0.803651063233
phase67j_no_neo_main,0.367648925329,0.508729348193,0.692841651728,0.722680786227,59.1034560546,0.276106665844,0.0531931104492,0.118207673042,0.104705882353,66,3,2,3,0,0.011848850831,-0.112713875048,0,0.699477105079
phase68g_66g_1p25x_candidate,0.408817134749,0.571507442031,1.03861622502,0.715331253249,38.8836775071,0.158204064381,0.0349953097564,0.0777675781544,0.0454411764706,37,2,1,3,-0.323940829863,0.237774103588,-0.0844836951873,0,0.765734044292
phase68g_66g_1p50x_candidate,0.444656034438,0.651511445915,1.00345666197,0.682499190499,44.7669973137,0.182765554857,0.0402902975823,0.0895340808042,0.0529411764706,37,2,1,3,-0.381175077301,0.241769567447,-0.117208665561,0,0.821856109236
phase68g_btc_persistence_10d_early_risk_075,0.418060044338,0.565201459178,1.05275236443,0.739665543232,39.568613225,0.163499225764,0.0356117519025,0.0791374738612,0.04875,38,2,1,3,-0.313991491292,0.245894841084,-0.0784772134203,0,0.780343473305
phase68g_etf_flow_impulse_early_risk_cooldown_15,0.362834462382,0.580826089478,0.948305773719,0.624686922567,45.9313494233,0.192098232604,0.041338214481,0.0918629592999,0.0588970588235,52,2,1,3,-0.33864343541,0.197374139913,-0.114365420254,0,0.691598693053
phase68h_dynamic_leverage_ladder,0.374200426997,0.654966044978,0.936243654812,0.571327979315,42.9800882876,0.176186799224,0.0386820794588,0.0859606021177,0.0515441176471,37,2,1,3,-0.387309545629,0.207360174519,-0.130889950885,0,0.71015358341
