strategy,fold,net_return
phase61_core_rotation,2021,0.252167226456
phase61_core_rotation,2022,0
phase61_core_rotation,2023,-0.0658283310083
phase61_core_rotation,2024,0.852956329653
phase61_core_rotation,2025,0.729294619614
phase61_core_rotation,2026,0
phase62_btc_overlay_default,2021,0.508344712762
phase62_btc_overlay_default,2022,0
phase62_btc_overlay_default,2023,0.133148524381
phase62_btc_overlay_default,2024,0.472250961304
phase62_btc_overlay_default,2025,0.248157172822
phase62_btc_overlay_default,2026,0
phase63_btc_participation,2021,0.114974322582
phase63_btc_participation,2022,-0.0709710375234
phase63_btc_participation,2023,-0.085762238618
phase63_btc_participation,2024,0.747522962673
phase63_btc_participation,2025,0.981356393184
phase63_btc_participation,2026,0
phase66g_production_soft_filters,2021,0.114974322582
phase66g_production_soft_filters,2022,-0.0709710375234
phase66g_production_soft_filters,2023,-0.207293327754
phase66g_production_soft_filters,2024,0.624233985378
phase66g_production_soft_filters,2025,0.981356393184
phase66g_production_soft_filters,2026,0
phase67j_no_neo_main,2021,0.114974322582
phase67j_no_neo_main,2022,-0.0709710375234
phase67j_no_neo_main,2023,-0.0693521853947
phase67j_no_neo_main,2024,0.323225636278
phase67j_no_neo_main,2025,0.981356393184
phase67j_no_neo_main,2026,0
phase68g_66g_1p25x_candidate,2021,0.0583802791112
phase68g_66g_1p25x_candidate,2022,0
phase68g_66g_1p25x_candidate,2023,-0.2659892418
phase68g_66g_1p25x_candidate,2024,1.12298790184
phase68g_66g_1p25x_candidate,2025,-0.0199759958476
phase68g_66g_1p25x_candidate,2026,0
phase68g_66g_1p50x_candidate,2021,0.00502696139236
phase68g_66g_1p50x_candidate,2022,0
phase68g_66g_1p50x_candidate,2023,-0.31204528111
phase68g_66g_1p50x_candidate,2024,1.40651340205
phase68g_66g_1p50x_candidate,2025,-0.0398426270753
phase68g_66g_1p50x_candidate,2026,0
phase68g_btc_persistence_10d_early_risk_075,2021,0.0820485688541
phase68g_btc_persistence_10d_early_risk_075,2022,0
phase68g_btc_persistence_10d_early_risk_075,2023,-0.277502295207
phase68g_btc_persistence_10d_early_risk_075,2024,1.12298790184
phase68g_btc_persistence_10d_early_risk_075,2025,-0.0151604331099
phase68g_btc_persistence_10d_early_risk_075,2026,0
phase68g_etf_flow_impulse_early_risk_cooldown_15,2021,0.0820485688541
phase68g_etf_flow_impulse_early_risk_cooldown_15,2022,0
phase68g_etf_flow_impulse_early_risk_cooldown_15,2023,-0.277502295207
phase68g_etf_flow_impulse_early_risk_cooldown_15,2024,1.00740118085
phase68g_etf_flow_impulse_early_risk_cooldown_15,2025,-0.0360026662211
phase68g_etf_flow_impulse_early_risk_cooldown_15,2026,0.000959031443828
phase68h_dynamic_leverage_ladder,2021,-0.00123097447016
phase68h_dynamic_leverage_ladder,2022,0
phase68h_dynamic_leverage_ladder,2023,-0.288310208704
phase68h_dynamic_leverage_ladder,2024,1.34013562444
phase68h_dynamic_leverage_ladder,2025,-0.0886000053039
phase68h_dynamic_leverage_ladder,2026,0
phase68j_phase68g_66g_1p25x_candidate_g1_adverse_cd2,2021,0.0401355074852
phase68j_phase68g_66g_1p25x_candidate_g1_adverse_cd2,2022,0
phase68j_phase68g_66g_1p25x_candidate_g1_adverse_cd2,2023,-0.264706417191
phase68j_phase68g_66g_1p25x_candidate_g1_adverse_cd2,2024,1.12227561243
phase68j_phase68g_66g_1p25x_candidate_g1_adverse_cd2,2025,-0.031707304216
phase68j_phase68g_66g_1p25x_candidate_g1_adverse_cd2,2026,0
phase68j_phase68g_66g_1p25x_candidate_g2_dd5_cd3,2021,0.0814094666788
phase68j_phase68g_66g_1p25x_candidate_g2_dd5_cd3,2022,0
phase68j_phase68g_66g_1p25x_candidate_g2_dd5_cd3,2023,-0.252541602865
phase68j_phase68g_66g_1p25x_candidate_g2_dd5_cd3,2024,1.12298790184
phase68j_phase68g_66g_1p25x_candidate_g2_dd5_cd3,2025,-0.0256961426086
phase68j_phase68g_66g_1p25x_candidate_g2_dd5_cd3,2026,0
phase68j_phase68g_66g_1p50x_candidate_g1_adverse_cd2,2021,-0.00474982738871
phase68j_phase68g_66g_1p50x_candidate_g1_adverse_cd2,2022,0
phase68j_phase68g_66g_1p50x_candidate_g1_adverse_cd2,2023,-0.309592459156
phase68j_phase68g_66g_1p50x_candidate_g1_adverse_cd2,2024,1.40490190535
phase68j_phase68g_66g_1p50x_candidate_g1_adverse_cd2,2025,-0.126303074338
phase68j_phase68g_66g_1p50x_candidate_g1_adverse_cd2,2026,0
phase68j_phase68g_66g_1p50x_candidate_g2_dd5_cd3,2021,0.0782427526026
phase68j_phase68g_66g_1p50x_candidate_g2_dd5_cd3,2022,0
phase68j_phase68g_66g_1p50x_candidate_g2_dd5_cd3,2023,-0.283813799916
phase68j_phase68g_66g_1p50x_candidate_g2_dd5_cd3,2024,1.40651340205
phase68j_phase68g_66g_1p50x_candidate_g2_dd5_cd3,2025,-0.0342413555289
phase68j_phase68g_66g_1p50x_candidate_g2_dd5_cd3,2026,0
phase68j_phase68h_dynamic_leverage_ladder_g1_adverse_cd2,2021,-0.0164810007016
phase68j_phase68h_dynamic_leverage_ladder_g1_adverse_cd2,2022,0
phase68j_phase68h_dynamic_leverage_ladder_g1_adverse_cd2,2023,-0.28577276213
phase68j_phase68h_dynamic_leverage_ladder_g1_adverse_cd2,2024,1.33935047921
phase68j_phase68h_dynamic_leverage_ladder_g1_adverse_cd2,2025,-0.170669938211
phase68j_phase68h_dynamic_leverage_ladder_g1_adverse_cd2,2026,0
phase68j_phase68h_dynamic_leverage_ladder_g2_dd5_cd3,2021,0.0715289287459
phase68j_phase68h_dynamic_leverage_ladder_g2_dd5_cd3,2022,0
phase68j_phase68h_dynamic_leverage_ladder_g2_dd5_cd3,2023,-0.272736726881
phase68j_phase68h_dynamic_leverage_ladder_g2_dd5_cd3,2024,1.34013562444
phase68j_phase68h_dynamic_leverage_ladder_g2_dd5_cd3,2025,-0.08328316975
phase68j_phase68h_dynamic_leverage_ladder_g2_dd5_cd3,2026,0
A_selector,2021,0.252167226456
A_selector,2022,0
A_selector,2023,-0.0658283310083
A_selector,2024,0.852956329653
A_selector,2025,0.729294619614
A_selector,2026,0
B_permission,2021,0.0135056794643
B_permission,2022,0
B_permission,2023,-0.29106727777
B_permission,2024,0.962545842647
B_permission,2025,0.0561928604553
B_permission,2026,0
C1_soft_governance_only,2021,0.0135056794643
C1_soft_governance_only,2022,0
C1_soft_governance_only,2023,-0.298442996679
C1_soft_governance_only,2024,0.962545842647
C1_soft_governance_only,2025,0.0561928604553
C1_soft_governance_only,2026,0
C_soft_filters,2021,0.107991180296
C_soft_filters,2022,0
C_soft_filters,2023,0.392094245304
C_soft_filters,2024,0.86605017599
C_soft_filters,2025,-0.00511043458312
C_soft_filters,2026,0
D_pruning,2021,0.107991180296
D_pruning,2022,0
D_pruning,2023,-0.218567624592
D_pruning,2024,0.86605017599
D_pruning,2025,-0.00511043458312
D_pruning,2026,0
E_exposure_125,2021,0.0583802791112
E_exposure_125,2022,0
E_exposure_125,2023,-0.2659892418
E_exposure_125,2024,1.12298790184
E_exposure_125,2025,-0.0199759958476
E_exposure_125,2026,0
E_persistence_bridge,2021,0.0820485688541
E_persistence_bridge,2022,0
E_persistence_bridge,2023,-0.277502295207
E_persistence_bridge,2024,1.12298790184
E_persistence_bridge,2025,-0.0151604331099
E_persistence_bridge,2026,0
F_ETF_no_cooldown,2021,0.0820485688541
F_ETF_no_cooldown,2022,0
F_ETF_no_cooldown,2023,-0.277502295207
F_ETF_no_cooldown,2024,1.05435592034
F_ETF_no_cooldown,2025,0.0462944263483
F_ETF_no_cooldown,2026,-0.0440674901593
G_current,2021,0.0820485688541
G_current,2022,0
G_current,2023,-0.277502295207
G_current,2024,1.00740118085
G_current,2025,-0.0360026662211
G_current,2026,0.000959031443828
H_replace_selector,2021,2.3072266392
H_replace_selector,2022,0
H_replace_selector,2023,-0.075546607975
H_replace_selector,2024,0.26348699235
H_replace_selector,2025,-0.30526647966
H_replace_selector,2026,0.000959031443828
I_slow_hysteresis,2021,-0.0271877907983
I_slow_hysteresis,2022,0
I_slow_hysteresis,2023,0.100646814566
I_slow_hysteresis,2024,0.0490499259297
I_slow_hysteresis,2025,-0.256489774774
I_slow_hysteresis,2026,0.000959031443828
phase2_vol_adjusted,2021,-0.0420810279336
phase2_vol_adjusted,2022,-0.349620031596
phase2_vol_adjusted,2023,0.284836968997
phase2_vol_adjusted,2024,0.175374887037
phase2_vol_adjusted,2025,0.0480163250703
phase2_vol_adjusted,2026,0.0105907278876
phase2_regime_allocation,2021,0.995060844761
phase2_regime_allocation,2022,0
phase2_regime_allocation,2023,0.0194305179609
phase2_regime_allocation,2024,-0.192992529546
phase2_regime_allocation,2025,-0.031267073386
phase2_regime_allocation,2026,0
phase2_slow_hysteresis,2021,0.611713886505
phase2_slow_hysteresis,2022,-0.375445733814
phase2_slow_hysteresis,2023,0.213070754588
phase2_slow_hysteresis,2024,-0.00652535237664
phase2_slow_hysteresis,2025,-0.0669083584715
phase2_slow_hysteresis,2026,0.0105907278876
phase2_ensemble,2021,0.224139405994
phase2_ensemble,2022,-0.378173194874
phase2_ensemble,2023,0.746763657446
phase2_ensemble,2024,-0.0986659542103
phase2_ensemble,2025,-0.206538762082
phase2_ensemble,2026,-0.0045184007035
BTC_hold,2021,0.413009840425
BTC_hold,2022,-0.68362862875
BTC_hold,2023,1.26092947408
BTC_hold,2024,0.956681713521
BTC_hold,2025,-0.171803146594
BTC_hold,2026,-0.24113611292
BTC_SMA200,2021,-0.054790369794
BTC_SMA200,2022,0
BTC_SMA200,2023,0.584633538664
BTC_SMA200,2024,0.409570421819
BTC_SMA200,2025,-0.244592174576
BTC_SMA200,2026,0
S_core_unpruned,2021,0.114974322582
S_core_unpruned,2022,-0.0709710375234
S_core_unpruned,2023,-0.215296930863
S_core_unpruned,2024,0.624233985378
S_core_unpruned,2025,0.981356393184
S_core_unpruned,2026,0
S_reference_before_NEO_pruning,2021,0.114974322582
S_reference_before_NEO_pruning,2022,-0.0709710375234
S_reference_before_NEO_pruning,2023,-0.144671493507
S_reference_before_NEO_pruning,2024,0.323225636278
S_reference_before_NEO_pruning,2025,0.981356393184
S_reference_before_NEO_pruning,2026,0
S_NEO_only_not_pruned,2021,0.107991180296
S_NEO_only_not_pruned,2022,0
S_NEO_only_not_pruned,2023,-0.218567624592
S_NEO_only_not_pruned,2024,0.86605017599
S_NEO_only_not_pruned,2025,-0.00511043458312
S_NEO_only_not_pruned,2026,0
S_SSOT_shortlist_current,2021,0.0820485688541
S_SSOT_shortlist_current,2022,0
S_SSOT_shortlist_current,2023,-0.219479289376
S_SSOT_shortlist_current,2024,1.00740118085
S_SSOT_shortlist_current,2025,-0.0360026662211
S_SSOT_shortlist_current,2026,0.000959031443827
S_economic_route_current,2021,0.0204419393453
S_economic_route_current,2022,0
S_economic_route_current,2023,-0.329571389784
S_economic_route_current,2024,0.748672739354
S_economic_route_current,2025,-0.0086566562201
S_economic_route_current,2026,0.000959031443828
S_ETF_extra_day,2021,0.0820485688541
S_ETF_extra_day,2022,0
S_ETF_extra_day,2023,-0.277502295207
S_ETF_extra_day,2024,0.946634238265
S_ETF_extra_day,2025,-0.0478113346944
S_ETF_extra_day,2026,0.0163974210352
S_current_without_ETF,2021,0.0820485688541
S_current_without_ETF,2022,0
S_current_without_ETF,2023,-0.277502295207
S_current_without_ETF,2024,1.12298790184
S_current_without_ETF,2025,-0.0151604331099
S_current_without_ETF,2026,0
