date,published_asset_label,published_exposure,published_gross,published_net,economic_asset,chosen_asset,executed_regime,original_economic_source_asset,asset_label_mismatch,executed_held_asset,signal_data_day,signal_available_at,gross_strategy_return,net_strategy_return,exposure,removed_net_percentage_points,removed_gross_percentage_points,identity_and_gross_definition_delta_pp,timing_and_executed_exposure_delta_pp,explicit_cost_delta_pp,reason
2018-05-05,CASH,0.0,0.0,0.0,CASH,,CASH,CASH,False,CASH,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-06,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-07,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-05,2018-05-06T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-08,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-06,2018-05-07T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-09,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-07,2018-05-08T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-10,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-08,2018-05-09T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-11,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-09,2018-05-10T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-12,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-10,2018-05-11T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-13,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-11,2018-05-12T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-14,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-12,2018-05-13T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-15,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-13,2018-05-14T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-16,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-14,2018-05-15T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-17,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-15,2018-05-16T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-18,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-16,2018-05-17T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-19,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-17,2018-05-18T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-20,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-18,2018-05-19T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-21,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-19,2018-05-20T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-22,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-20,2018-05-21T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-23,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-21,2018-05-22T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-24,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-22,2018-05-23T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-25,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-23,2018-05-24T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-26,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-24,2018-05-25T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-27,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-25,2018-05-26T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-28,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-26,2018-05-27T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-29,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-27,2018-05-28T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-30,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-28,2018-05-29T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-05-31,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-29,2018-05-30T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-06-01,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-30,2018-05-31T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-06-02,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-05-31,2018-06-01T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-06-03,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-06-01,2018-06-02T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-06-04,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-06-02,2018-06-03T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-06-05,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-06-03,2018-06-04T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-06-06,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-06-04,2018-06-05T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-06-07,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-06-05,2018-06-06T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-06-08,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-06-06,2018-06-07T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-06-09,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-06-07,2018-06-08T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-06-10,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-06-08,2018-06-09T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-06-11,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-06-09,2018-06-10T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-06-12,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-06-10,2018-06-11T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-06-13,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-06-11,2018-06-12T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-06-14,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-06-12,2018-06-13T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
2018-06-15,CASH,0.0,0.0,0.0,CASH,,BASE,CASH,False,CASH,2018-06-13,2018-06-14T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,causal_timing_and_execution_costs
