date,model_index,btc_index,model_authorized_exposure_x,model_authorized_return_net,model_authorized_return_gross,model_transition_cost,model_asset_transition_day
2018-05-06,1.0,1.0154406011941528,0.0,0.0,0.0,0.0,False
2018-05-07,1.0,0.9945460160592959,0.0,0.0,0.0,0.0,False
2018-05-08,1.0,0.9640724727197859,0.0,0.0,0.0,0.0,False
2018-05-09,1.0,0.9448219065266625,0.0,0.0,0.0,0.0,False
2018-05-10,1.0,0.9584105414865143,0.0,0.0,0.0,0.0,False
2018-05-11,1.0,0.9267253448630841,0.0,0.0,0.0,0.0,False
2018-05-12,1.0,0.8653428042001235,0.0,0.0,0.0,0.0,False
2018-05-13,1.0,0.872497426394894,0.0,0.0,0.0,0.0,False
2018-05-14,1.0,0.8935258389952645,0.0,0.0,0.0,0.0,False
2018-05-15,1.0,0.8918437306979617,0.0,0.0,0.0,0.0,False
2018-05-16,1.0,0.8711138562898909,0.0,0.0,0.0,0.0,False
2018-05-17,1.0,0.8575252213300392,0.0,0.0,0.0,0.0,False
2018-05-18,1.0,0.827549927939057,0.0,0.0,0.0,0.0,False
2018-05-19,1.0,0.8480553839818818,0.0,0.0,0.0,0.0,False
2018-05-20,1.0,0.8475900761787111,0.0,0.0,0.0,0.0,False
2018-05-21,1.0,0.8778021412394481,0.0,0.0,0.0,0.0,False
2018-05-22,1.0,0.8633817171093267,0.0,0.0,0.0,0.0,False
2018-05-23,1.0,0.8211982705373687,0.0,0.0,0.0,0.0,False
2018-05-24,1.0,0.7722822730080297,0.0,0.0,0.0,0.0,False
2018-05-25,1.0,0.7802130945027794,0.0,0.0,0.0,0.0,False
2018-05-26,1.0,0.7676539015853407,0.0,0.0,0.0,0.0,False
2018-05-27,1.0,0.7549927939057031,0.0,0.0,0.0,0.0,False
2018-05-28,1.0,0.7555064854848672,0.0,0.0,0.0,0.0,False
2018-05-29,1.0,0.7308009059089974,0.0,0.0,0.0,0.0,False
2018-05-30,1.0,0.7687852583899526,0.0,0.0,0.0,0.0,False
2018-05-31,1.0,0.7599413218035824,0.0,0.0,0.0,0.0,False
2018-06-01,1.0,0.770538398188182,0.0,0.0,0.0,0.0,False
2018-06-02,1.0,0.7742443895408688,0.0,0.0,0.0,0.0,False
2018-06-03,1.0,0.7861653283920116,0.0,0.0,0.0,0.0,False
2018-06-04,1.0,0.7941383570105003,0.0,0.0,0.0,0.0,False
2018-06-05,1.0,0.7707432571546222,0.0,0.0,0.0,0.0,False
2018-06-06,1.0,0.7851183858348775,0.0,0.0,0.0,0.0,False
2018-06-07,1.0,0.7884280420012353,0.0,0.0,0.0,0.0,False
2018-06-08,1.0,0.791752110356187,0.0,0.0,0.0,0.0,False
2018-06-09,1.0,0.7827300802964793,0.0,0.0,0.0,0.0,False
2018-06-10,1.0,0.7712301832406835,0.0,0.0,0.0,0.0,False
2018-06-11,1.0,0.6964175416924027,0.0,0.0,0.0,0.0,False
2018-06-12,1.0,0.707432571546222,0.0,0.0,0.0,0.0,False
2018-06-13,1.0,0.672225653695697,0.0,0.0,0.0,0.0,False
2018-06-14,1.0,0.6478052295655754,0.0,0.0,0.0,0.0,False
2018-06-15,1.0,0.6834126003705991,0.0,0.0,0.0,0.0,False
2018-06-16,1.0,0.6567850525015442,0.0,0.0,0.0,0.0,False
2018-06-17,1.0,0.6673358039942351,0.0,0.0,0.0,0.0,False
