policy,fold,variant,cagr,max_drawdown,calmar,sharpe,total_return,turnover,cost_drag,max_realized_exposure,without_best_day_cagr,without_top_three_trades_cagr,asset_log_growth_share,trade_log_growth_share,net_log_growth,asset_log_growth,trade_log_growth_sum,log_reconciliation_error,trade_log_reconciliation_error,bankrupt,days,closed_episodes
robust_1.25__cross_sectional,2021,cross_sectional_180_monthly_v25,0.8352342990560884,0.09863549651076975,8.467887612497508,3.1093105168866835,0.8344717585668235,1.8816926688248317,0.015330562478477795,0.4250773472479689,0.6887920704906203,-0.016631126834204757,0.6375521503263534,0.6375521503263534,0.6067565700731825,"[0.0, -0.01675949765900353, 0.0, 0.0, 0.06293760745710494, 0.0, 0.17373950430028293, 0.0, 0.0, 0.3868389559748002, 0.0, 0.0]",0.6067565700731845,1.9984014443252818e-15,1.9984014443252818e-15,False,365,4
robust_1.25__cross_sectional,2022,cross_sectional_180_monthly_v50,-0.47189038701410624,0.48950251479851725,-0.9640203528031714,-2.3248560281426145,-0.4716595546987711,1.8113107530945514,0.041012054777014154,0.5086645239740768,-0.49867701337239934,-0.47189038701410846,1000000.0,1000000.0,-0.6380144202914977,"[0.0, -0.34552320779497564, 0.0, 0.0, -0.1367042918416794, 0.0, 0.0, 0.0, 0.0, 0.0, -0.15578692065484503, 0.0]",-0.6380144202915001,2.3314683517128287e-15,2.4424906541753444e-15,False,365,3
robust_1.25__cross_sectional,2023,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,False,365,0
robust_1.25__cross_sectional,2024,cross_sectional_180_monthly_v50,0.262121221016663,0.38123317151553293,0.6875614206776421,0.8186037875933032,0.26272467943167976,5.31920099566894,0.06363281417273867,1.166248727822579,0.16534025100616456,-0.15826131137158383,1.0986184898922737,1.0986184898922737,0.23327183023996548,"[0.0, 0.0, -0.1401196440704019, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2562767458726377, 0.14963451264168454, -0.03251978420395851]",0.23327183023996184,3.635980405647388e-15,3.635980405647388e-15,False,366,4
robust_1.25__cross_sectional,2025,cross_sectional_365_monthly_v25,-0.06332567429826386,0.1939400990388953,-0.32652182097506144,-0.32117191237787435,-0.06328373161633827,2.072766419273029,0.026814032267539187,0.5125318363647987,-0.1252128878948765,-0.08106947054258429,1000000.0,1000000.0,-0.06537485115480593,"[0.0, 0.0, 0.0, 0.0, 0.011899826284229377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007212207941360099, -0.084486885380397]",-0.06537485115480753,1.5959455978986625e-15,1.5959455978986625e-15,False,365,3
robust_1.25__cross_sectional,2026,cross_sectional_90_monthly_v25,0.12646323505198964,0.10805896173888851,1.170316954900722,0.9432623117823998,0.09130728706631541,3.8001423340575102,0.0644017558822876,0.5381114794555789,0.07052117833074867,-0.0021270466118491482,0.801963890433614,0.801963890433614,0.0873763235326613,"[0.0, 0.0, -0.0015623699189619518, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0700726563520392, 0.01886603709958556, 0.0]",0.08737632353266281,1.5126788710517758e-15,1.5126788710517758e-15,False,268,3
robust_1.25__dual_momentum,2021,dual_momentum_365_monthly_v25,0.13566458742954457,0.11085733126378394,1.2237764149917338,0.9448242302300117,0.13556570261833034,1.479312133924269,0.012187970811125276,0.3103953439433359,0.09023900950109542,-0.034819260017386666,1.156905783001988,1.156905783001988,0.12713094316898216,"[0.002729621525821713, 0.0, 0.0, 0.0, 0.004766644450851115, 0.0, 0.0, 0.14707852335069255, 0.0, -0.02744384615838149, 0.0, 0.0]",0.12713094316898388,1.7208456881689926e-15,1.7208456881689926e-15,False,365,5
robust_1.25__dual_momentum,2022,dual_momentum_180_monthly_v50,-0.32416712492103683,0.35780558174557375,-0.9059867745482619,-1.8748500687916423,-0.3239858564587459,3.514411624668712,0.024774980002790242,0.5241268675918513,-0.3501586610897338,-0.32470954050559375,1000000.0,1000000.0,-0.3915412807597395,"[0.0, -0.2011493186950035, 0.0, 0.0, -0.17440022253949494, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015991739525241203, 0.0]",-0.39154128075973965,1.6653345369377348e-16,1.6653345369377348e-16,False,365,4
robust_1.25__dual_momentum,2023,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,False,365,0
robust_1.25__dual_momentum,2024,dual_momentum_180_monthly_v50,0.20345439879507698,0.38123317151553293,0.5336744386284011,0.6926671431389946,0.20391213478758297,5.291322720893092,0.05947054731812955,1.166248727822579,0.11117207112375382,-0.19738761174629615,1.3809772803730587,1.3809772803730587,0.18557636647244974,"[0.0, 0.0, -0.18781510783791602, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2562767458726377, 0.1496345126416858, -0.03251978420395892]",0.18557636647244857,1.1657341758564144e-15,1.1657341758564144e-15,False,366,4
