policy,partition,overlay,base_cagr,cagr,delta_cagr,base_dd,max_drawdown,delta_dd
robust_1.25__all_calmar__cat4,robust_1.25,cat4,0.023359903088155276,-0.04224031520666782,-0.0656002182948231,0.5679346750926513,0.646682228940064,0.07874755384741272
robust_1.25__all_calmar__trail3,robust_1.25,trail3,0.023359903088155276,-0.05914769417799992,-0.0825075972661552,0.5679346750926513,0.6659245094503017,0.09798983435765041
robust_1.25__all_calmar__tp25_trail3,robust_1.25,tp25_trail3,0.023359903088155276,-0.07557634833517957,-0.09893625142333484,0.5679346750926513,0.6678865766270563,0.09995190153440503
robust_1.25__all_calmar__tp50_trail3,robust_1.25,tp50_trail3,0.023359903088155276,-0.08808242419745682,-0.1114423272856121,0.5679346750926513,0.6656990582601989,0.09776438316754765
aggressive_1.25__all_calmar__cat4,aggressive_1.25,cat4,0.05867571333402943,0.0078079025619812725,-0.05086781077204816,0.4620079680689978,0.4904127895251055,0.028404821456107676
aggressive_1.25__all_calmar__trail3,aggressive_1.25,trail3,0.05867571333402943,-0.033919917612504236,-0.09259563094653367,0.4620079680689978,0.6781353464418138,0.21612737837281604
aggressive_1.25__all_calmar__tp25_trail3,aggressive_1.25,tp25_trail3,0.05867571333402943,-0.04716499748781022,-0.10584071082183966,0.4620079680689978,0.6729582517357746,0.21095028366677682
aggressive_1.25__all_calmar__tp50_trail3,aggressive_1.25,tp50_trail3,0.05867571333402943,-0.05721605184634404,-0.11589176518037347,0.4620079680689978,0.652973035089742,0.19096506702074423
aggressive_1.5__all_calmar__cat4,aggressive_1.5,cat4,0.05264456619294999,0.0018544595427647526,-0.05079010665018524,0.47868968539805745,0.5101598468273165,0.03147016142925907
aggressive_1.5__all_calmar__trail3,aggressive_1.5,trail3,0.05264456619294999,-0.038056961067189365,-0.09070152726013936,0.47868968539805745,0.6859576855861034,0.20726800018804592
aggressive_1.5__all_calmar__tp25_trail3,aggressive_1.5,tp25_trail3,0.05264456619294999,-0.05127423106606477,-0.10391879725901476,0.47868968539805745,0.6809621499285233,0.20227246453046588
aggressive_1.5__all_calmar__tp50_trail3,aggressive_1.5,tp50_trail3,0.05264456619294999,-0.0615662787449579,-0.1142108449379079,0.47868968539805745,0.6620535063446022,0.1833638209465448
aggressive_2__all_calmar__cat4,aggressive_2,cat4,0.0532715992868531,0.0024446293503814776,-0.05082696993647162,0.47690688090776134,0.5107507263090618,0.033843845401300476
aggressive_2__all_calmar__trail3,aggressive_2,trail3,0.0532715992868531,-0.03498464812098989,-0.08825624740784299,0.47690688090776134,0.6801637467350476,0.2032568658272863
aggressive_2__all_calmar__tp25_trail3,aggressive_2,tp25_trail3,0.0532715992868531,-0.048451690214297516,-0.10172328950115062,0.47690688090776134,0.675482075480794,0.19857519457303263
aggressive_2__all_calmar__tp50_trail3,aggressive_2,tp50_trail3,0.0532715992868531,-0.0591512926437181,-0.1124228919305712,0.47690688090776134,0.6570371228752954,0.18013024196753402
aggressive_2.5__all_calmar__cat4,aggressive_2.5,cat4,0.0532715992868531,0.0024446293503814776,-0.05082696993647162,0.47690688090776134,0.5107507263090618,0.033843845401300476
aggressive_2.5__all_calmar__trail3,aggressive_2.5,trail3,0.0532715992868531,-0.032575353906880156,-0.08584695319373326,0.47690688090776134,0.6755586779989093,0.198651797091148
aggressive_2.5__all_calmar__tp25_trail3,aggressive_2.5,tp25_trail3,0.0532715992868531,-0.046274907612285365,-0.09954650689913846,0.47690688090776134,0.6712028927263259,0.1942960118185646
aggressive_2.5__all_calmar__tp50_trail3,aggressive_2.5,tp50_trail3,0.0532715992868531,-0.057090580582604966,-0.11036217986945807,0.47690688090776134,0.6527081737630007,0.17580129285523938
aggressive_3__all_calmar__cat4,aggressive_3,cat4,0.0532715992868531,0.0024446293503814776,-0.05082696993647162,0.47690688090776134,0.5107507263090618,0.033843845401300476
aggressive_3__all_calmar__trail3,aggressive_3,trail3,0.0532715992868531,-0.03266103562774936,-0.08593263491460246,0.47690688090776134,0.6757233814208736,0.19881650051311228
aggressive_3__all_calmar__tp25_trail3,aggressive_3,tp25_trail3,0.0532715992868531,-0.04635942510565583,-0.09963102439250893,0.47690688090776134,0.671369904374191,0.19446302346642963
aggressive_3__all_calmar__tp50_trail3,aggressive_3,tp50_trail3,0.0532715992868531,-0.05717418880497649,-0.11044578809182959,0.47690688090776134,0.6528846835934919,0.1759778026857306
